A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,label
-0.73333,-0.46667,-0.46667,-0.60000,-0.73333,-0.06667,0.06667,-0.73333,0.20000,0.46667,-0.06667,-0.06667,-0.86667,0.06667,-0.33333,-0.20000,26
-0.46667,-0.06667,-0.33333,-0.33333,-0.33333,-0.33333,0.20000,-0.20000,-0.46667,0.06667,-0.06667,0.20000,-0.73333,0.20000,-0.06667,0.33333,16
-0.06667,0.33333,0.06667,-0.06667,-0.46667,0.06667,0.06667,-0.33333,0.33333,0.46667,-0.73333,0.06667,-0.73333,-0.33333,-0.33333,0.33333,19
-0.46667,0.20000,-0.33333,-0.06667,-0.46667,-0.06667,-0.06667,0.73333,-0.86667,-0.06667,-0.20000,0.06667,-0.60000,0.06667,-1.00000,0.06667,8
-0.20000,-0.06667,0.06667,-0.33333,-0.46667,-0.06667,-0.20000,-0.60000,-0.06667,0.33333,-0.06667,0.20000,-0.60000,0.06667,-0.60000,-0.06667,8
-0.46667,-0.06667,-0.33333,-0.33333,-0.60000,-0.46667,0.60000,-0.73333,-0.33333,0.73333,-0.06667,-0.33333,-0.86667,0.33333,-0.86667,-0.06667,6
-0.20000,0.33333,0.06667,0.06667,-0.46667,-0.06667,0.06667,-0.73333,-0.33333,0.33333,-0.06667,0.06667,-0.33333,0.06667,-0.86667,0.06667,14
-0.86667,-1.00000,-0.73333,-1.00000,-0.86667,-0.20000,0.33333,-0.06667,-0.73333,-0.06667,-0.33333,0.06667,-0.73333,-0.06667,-0.46667,0.20000,18
-0.33333,0.20000,-0.06667,-0.20000,-0.06667,-0.06667,-0.06667,-0.73333,-0.46667,0.20000,0.06667,0.20000,-0.06667,-0.20000,-0.73333,0.06667,13
-0.86667,-1.00000,-0.73333,-0.86667,-0.86667,-0.33333,-0.06667,0.06667,-0.20000,-0.06667,-0.20000,-0.20000,-0.73333,0.06667,-0.60000,0.06667,4
-0.73333,-0.06667,-0.46667,-0.33333,-0.86667,0.20000,0.06667,-0.46667,-0.73333,-0.33333,0.73333,0.06667,-0.60000,0.33333,-1.00000,0.06667,22
-0.60000,0.46667,-0.33333,0.06667,-0.60000,0.73333,-0.46667,-0.33333,-0.60000,0.60000,-0.86667,0.06667,-0.73333,-0.20000,-0.46667,0.20000,1
-0.60000,-0.06667,-0.33333,-0.33333,-0.33333,0.06667,-0.06667,-0.46667,-0.46667,-0.06667,-0.20000,-0.06667,-0.46667,-0.20000,0.06667,0.73333,11
-0.60000,0.06667,-0.33333,-0.20000,-0.46667,0.06667,0.06667,-0.46667,-0.33333,0.20000,-0.33333,-0.46667,-0.60000,0.06667,-0.60000,-0.06667,4
0.06667,0.46667,0.20000,0.06667,-0.20000,-0.06667,0.06667,-0.60000,-0.20000,0.33333,-0.33333,-0.06667,-0.46667,-0.20000,-0.20000,0.06667,19
-0.06667,0.46667,0.33333,0.06667,0.20000,0.20000,-0.06667,-0.60000,-0.20000,0.33333,-0.46667,-0.06667,-0.33333,-0.20000,-0.46667,0.20000,8
-0.33333,-0.33333,-0.33333,-0.06667,-0.60000,-0.60000,-0.06667,-0.20000,0.60000,-0.06667,-0.20000,1.00000,-1.00000,0.06667,-0.06667,-0.20000,5
-0.73333,-0.46667,-0.33333,-0.60000,-0.73333,-0.06667,0.06667,-0.73333,0.20000,0.46667,-0.06667,-0.06667,-0.86667,0.06667,-0.33333,-0.20000,26
-0.46667,-0.06667,-0.20000,-0.33333,-0.46667,0.06667,0.20000,0.06667,-0.46667,-0.06667,-0.06667,-0.06667,-0.60000,0.06667,-0.60000,0.06667,15
-0.46667,-0.20000,-0.46667,-0.06667,-0.33333,0.06667,0.06667,-0.20000,-0.73333,-0.06667,-0.06667,0.46667,-0.60000,0.20000,-0.33333,0.06667,17
-0.33333,0.33333,-0.06667,0.20000,-0.60000,0.06667,-0.33333,0.20000,0.06667,-0.20000,-0.46667,0.06667,-0.60000,0.06667,-0.46667,0.06667,17
-0.60000,-0.06667,-0.60000,-0.33333,-0.86667,-0.86667,-0.86667,-0.33333,-0.33333,-1.00000,-0.86667,-0.20000,-1.00000,0.06667,-1.00000,0.06667,12
-0.86667,-0.86667,-0.73333,-0.86667,-1.00000,-0.06667,0.20000,-0.46667,-0.73333,-0.06667,0.73333,0.06667,-0.73333,0.33333,-1.00000,0.06667,22
-0.73333,-0.86667,-0.60000,-0.73333,-0.86667,0.06667,-0.06667,-0.60000,0.06667,-0.20000,-0.20000,0.06667,-0.73333,0.06667,-0.33333,0.06667,24
0.06667,0.20000,0.33333,0.06667,0.60000,-0.06667,-0.20000,-0.33333,-0.33333,-0.06667,-0.20000,0.06667,-0.06667,0.33333,-0.20000,0.20000,22
-0.33333,0.33333,0.06667,-0.06667,0.46667,0.20000,-0.20000,-0.73333,-0.73333,0.06667,-0.46667,0.06667,0.33333,-0.33333,-0.60000,-0.20000,13
-0.33333,-0.20000,-0.33333,-0.46667,-0.60000,-0.46667,0.20000,-0.86667,-0.06667,0.33333,0.33333,-0.20000,-0.86667,0.33333,-0.73333,-0.46667,25
-0.73333,-0.33333,-0.46667,-0.46667,-0.60000,0.20000,-0.20000,-0.46667,-0.20000,0.33333,-0.46667,-0.20000,-0.73333,0.06667,-0.60000,0.06667,4
-0.60000,0.06667,-0.33333,-0.20000,-0.33333,-0.06667,-0.06667,-0.46667,0.06667,-0.06667,-0.06667,0.06667,-0.60000,0.06667,-0.33333,0.33333,5
-0.46667,-0.06667,-0.20000,-0.33333,-0.46667,0.46667,-0.06667,-0.60000,-0.33333,0.33333,-0.86667,-0.46667,-0.33333,0.20000,-0.86667,-0.06667,14
-0.46667,0.33333,-0.20000,-0.06667,-0.73333,0.20000,-0.46667,-0.60000,-0.73333,0.06667,-0.86667,0.06667,-0.60000,-0.06667,-0.60000,0.06667,1
-0.60000,-0.46667,-0.46667,-0.60000,-0.60000,-0.06667,-0.06667,-0.20000,-0.06667,-0.06667,-0.20000,-0.33333,-0.73333,0.06667,-0.60000,-0.06667,4
-0.46667,0.06667,-0.33333,-0.20000,-0.46667,0.20000,0.20000,-0.20000,-0.46667,-0.06667,-0.33333,0.06667,-0.60000,0.06667,0.33333,-0.06667,26
-0.60000,-0.33333,-0.33333,-0.60000,-0.73333,-0.33333,0.20000,-0.60000,-0.46667,0.33333,0.06667,0.06667,-0.33333,0.06667,-1.00000,-0.06667,14
-0.46667,0.46667,-0.33333,0.06667,-0.73333,-0.06667,-0.06667,-0.46667,-0.46667,-0.06667,-0.20000,0.06667,-0.60000,0.06667,-0.46667,0.06667,24
-0.46667,0.20000,-0.20000,-0.06667,-0.06667,-0.20000,0.06667,-0.86667,-0.46667,0.33333,0.06667,-0.06667,-0.20000,0.46667,-0.46667,-0.33333,6
-0.20000,0.20000,-0.33333,-0.46667,-0.73333,-0.20000,0.20000,-0.46667,-0.33333,-0.46667,-0.46667,0.33333,-0.33333,0.33333,-0.73333,0.06667,14
-0.60000,-0.46667,-0.46667,-0.06667,-0.86667,-1.00000,-0.86667,-0.20000,-0.20000,-1.00000,-1.00000,-0.20000,-1.00000,0.06667,-1.00000,0.06667,12
-0.46667,-0.33333,-0.20000,-0.46667,-0.60000,-0.06667,0.06667,-0.73333,-0.33333,0.33333,-0.20000,-0.20000,-0.33333,0.20000,-0.86667,-0.06667,14
