A1,A2,A3,A4,A5,A6,A7,A8,A9,label
524.7940719572,0.1874483617,0.0321140582,228.8002278843,6843.5984811891,29.9108027316,60.2048797607,220.7372120052,556.828334181,1
330,0.2268928028,0.2652900463,121.1542006708,3163.2394719946,26.1092017815,69.7173614502,99.0849640003,400.2257759827,1
551.8792873985,0.2324778564,0.0635299848,264.80493543,11888.3918269139,44.8949027616,77.793296814,253.7852997781,656.7694494025,1
380,0.2408554368,0.2862339973,137.6401108553,5402.1711804018,39.2485238993,88.7584457397,105.1985680477,493.7018135024,1
362.83126591,0.200712864,0.2443460953,124.9125593692,3290.4624462766,26.3421265475,69.3893890381,103.8665518819,424.7965033868,1
389.8729777095,0.1500983157,0.0977384381,118.6258142706,2475.557077623,20.8686203154,49.7571487427,107.6861641614,429.3857878604,1
290.4551411532,0.1441641962,0.0530580093,74.6350666441,1189.5452129019,15.9381543608,35.7033309937,65.5413244609,330.2672928957,1
275.6773933601,0.15393804,0.1877974275,91.5278933393,1756.2348373883,19.1879739969,39.3051834106,82.6586821528,331.5883016673,1
470,0.2131047017,0.2254965394,184.5900565767,8185.3608372261,44.3434548373,84.4824829102,164.1225107308,603.3157150786,1
423,0.2195624199,0.2617993878,172.371241023,6108.1062965247,35.4357621392,79.056350708,153.1729028745,558.274515328,1
410,0.3178244568,0.2974041045,255.8151790765,10622.5471101291,41.5243033993,67.5232086182,246.7428255438,508.5403560169,1
500,0.2272418686,0.0509636142,219.2955022803,9819.4496142339,44.7772503865,76.8684997559,207.2666404204,602.5278406267,1
438.7801572296,0.21240657,0.060737458,120.9015964126,4879.4955758694,40.3592319759,80.7917785645,89.9437864191,525.4201494351,1
366.9423790985,0.2801253449,0.252025544,172.7455537387,7064.8159090557,40.8972373306,75.6043243408,155.3222849252,471.5881953798,1
485.6688054544,0.2302089283,0.1340412866,253.8936986073,8135.968359074,32.0447825358,64.8554458618,245.4705306437,541.363975057,1
390,0.3583160954,0.2038544566,245.6861030662,10055.83687254,40.929612001,70.3247833252,236.4901696665,477.5483599605,1
269.4959462918,0.2075196481,0.0383972435,80.4110854818,1963.6052480989,24.4195838961,44.7401542664,66.8383093174,329.0906470766,1
300,0.1900663555,0.1668534765,97.1081295111,3039.5613030204,31.3007913789,51.3539733887,82.4181920286,387.0782275399,1
325,0.2246238747,0.286932129,229.2158633923,5705.3320895085,24.8906511315,35.6027145386,227.2647937395,462.7030069339,1
294.4748456196,0.2066469834,0.4677482395,194.8710353479,5541.2561262519,28.4355041084,36.7657966614,191.8048904696,445.5132993662,1
500,0.1926843494,0.1947787445,144.6885779146,3055.0129631204,21.114403135,96.563369751,107.751102979,542.897088892,1
211,0.0539306739,0.0942477796,30.7534434583,151.9845775553,4.9420344672,14.2683744431,27.24312366,217.1307040276,2
196.856714179,0.0200712864,0.0907571211,28.5931261347,82.0588885292,2.8698816682,7.9687833786,27.6615159531,200.7493364347,2
245,0.189019158,0.081681409,62.9029550923,1235.9833558899,19.6490507334,42.152015686,46.6903554272,292.3762384463,2
