A1,A2,A3,A4,A5,A6,A7,A8,A9,L1,L2,L3,L4,L5,L6
524.79407,0.18745,0.03211,228.80023,6843.59848,29.91080,60.20488,220.73721,556.82833,1,2,2,2,2,2
330.00000,0.22689,0.26529,121.15420,3163.23947,26.10920,69.71736,99.08496,400.22578,1,2,2,2,2,2
551.87929,0.23248,0.06353,264.80494,11888.39183,44.89490,77.79330,253.78530,656.76945,1,2,2,2,2,2
380.00000,0.24086,0.28623,137.64011,5402.17118,39.24852,88.75845,105.19857,493.70181,1,2,2,2,2,2
362.83127,0.20071,0.24435,124.91256,3290.46245,26.34213,69.38939,103.86655,424.79650,1,2,2,2,2,2
389.87298,0.15010,0.09774,118.62581,2475.55708,20.86862,49.75715,107.68616,429.38579,1,2,2,2,2,2
290.45514,0.14416,0.05306,74.63507,1189.54521,15.93815,35.70333,65.54132,330.26729,1,2,2,3,3,3
275.67739,0.15394,0.18780,91.52789,1756.23484,19.18797,39.30518,82.65868,331.58830,1,3,2,3,3,3
470.00000,0.21310,0.22550,184.59006,8185.36084,44.34345,84.48248,164.12251,603.31572,1,2,2,2,2,2
423.00000,0.21956,0.26180,172.37124,6108.10630,35.43576,79.05635,153.17290,558.27452,1,2,2,2,2,2
410.00000,0.31782,0.29740,255.81518,10622.54711,41.52430,67.52321,246.74283,508.54036,1,2,2,2,2,2
500.00000,0.22724,0.05096,219.29550,9819.44961,44.77725,76.86850,207.26664,602.52784,1,2,2,2,2,2
438.78016,0.21241,0.06074,120.90160,4879.49558,40.35923,80.79178,89.94379,525.42015,1,2,2,2,2,2
366.94238,0.28013,0.25203,172.74555,7064.81591,40.89724,75.60432,155.32228,471.58820,1,2,2,2,2,2
485.66881,0.23021,0.13404,253.89370,8135.96836,32.04478,64.85545,245.47053,541.36398,1,2,2,2,2,2
390.00000,0.35832,0.20385,245.68610,10055.83687,40.92961,70.32478,236.49017,477.54836,1,2,2,2,2,2
269.49595,0.20752,0.03840,80.41109,1963.60525,24.41958,44.74015,66.83831,329.09065,1,2,2,2,2,2
300.00000,0.19007,0.16685,97.10813,3039.56130,31.30079,51.35397,82.41819,387.07823,1,3,2,3,3,3
325.00000,0.22462,0.28693,229.21586,5705.33209,24.89065,35.60271,227.26479,462.70301,1,2,2,2,2,2
