A1,A2,A3,A4,A5,A6,A7,L1,L2,L3,L4,L5,L6,L7,L8
49.00000,29.00000,48.00000,5.00000,56.00000,24.00000,35.00000,1,2,2,2,2,2,2,2
7.00000,4.00000,48.00000,5.00000,54.00000,35.00000,44.00000,1,2,2,2,2,2,2,2
56.00000,4.00000,48.00000,5.00000,49.00000,37.00000,46.00000,1,2,2,2,2,2,2,2
59.00000,49.00000,48.00000,5.00000,52.00000,45.00000,36.00000,1,2,2,2,2,2,2,2
23.00000,32.00000,48.00000,5.00000,55.00000,25.00000,35.00000,1,2,2,2,2,2,2,2
67.00000,39.00000,48.00000,5.00000,36.00000,38.00000,46.00000,1,3,3,3,3,3,3,2
29.00000,28.00000,48.00000,5.00000,44.00000,23.00000,34.00000,1,2,2,2,2,2,2,2
21.00000,34.00000,48.00000,5.00000,51.00000,28.00000,39.00000,1,2,2,2,2,2,2,2
2.00000,44.00000,48.00000,5.00000,46.00000,51.00000,57.00000,1,2,2,2,2,2,2,2
42.00000,4.00000,48.00000,5.00000,56.00000,18.00000,3.00000,1,2,2,2,2,2,2,2
42.00000,24.00000,48.00000,5.00000,57.00000,27.00000,37.00000,1,2,2,2,2,2,2,2
25.00000,48.00000,48.00000,5.00000,44.00000,17.00000,29.00000,1,2,2,2,2,2,2,2
39.00000,32.00000,48.00000,5.00000,46.00000,24.00000,35.00000,1,2,2,2,2,2,2,2
51.00000,5.00000,48.00000,5.00000,46.00000,32.00000,35.00000,1,2,2,2,2,2,2,2
22.00000,43.00000,48.00000,5.00000,48.00000,16.00000,28.00000,1,2,2,2,2,2,2,2
25.00000,4.00000,48.00000,5.00000,46.00000,44.00000,52.00000,1,2,2,2,2,2,2,2
34.00000,45.00000,48.00000,5.00000,38.00000,24.00000,35.00000,1,2,2,2,2,2,2,2
44.00000,27.00000,48.00000,5.00000,55.00000,52.00000,58.00000,1,2,2,2,2,2,2,2
23.00000,4.00000,48.00000,5.00000,39.00000,28.00000,38.00000,1,2,2,2,2,2,2,2
41.00000,57.00000,48.00000,5.00000,39.00000,21.00000,32.00000,1,2,2,2,2,2,2,2
4.00000,45.00000,48.00000,5.00000,38.00000,22.00000,0.00000,1,2,2,2,2,2,2,2
31.00000,23.00000,48.00000,5.00000,73.00000,5.00000,14.00000,1,2,2,2,2,2,2,2
51.00000,54.00000,48.00000,5.00000,41.00000,34.00000,43.00000,1,2,2,2,2,2,2,2
3.00000,16.00000,48.00000,5.00000,56.00000,11.00000,23.00000,1,2,2,2,2,2,2,2
36.00000,39.00000,48.00000,5.00000,48.00000,22.00000,23.00000,1,2,2,2,2,2,2,2
29.00000,37.00000,48.00000,5.00000,48.00000,44.00000,52.00000,1,2,2,2,2,2,2,2
25.00000,4.00000,48.00000,5.00000,47.00000,33.00000,42.00000,1,2,2,2,2,2,2,2
21.00000,51.00000,48.00000,5.00000,5.00000,32.00000,41.00000,1,2,2,2,2,2,2,2
43.00000,37.00000,48.00000,5.00000,53.00000,35.00000,44.00000,1,2,2,2,2,2,2,2
43.00000,39.00000,48.00000,5.00000,47.00000,31.00000,41.00000,1,2,2,2,2,2,2,2
53.00000,38.00000,48.00000,5.00000,44.00000,26.00000,36.00000,1,2,2,2,2,2,2,2
34.00000,33.00000,48.00000,5.00000,38.00000,35.00000,44.00000,1,2,2,2,2,2,2,2
56.00000,51.00000,48.00000,5.00000,34.00000,37.00000,46.00000,1,2,2,2,2,2,2,2
4.00000,29.00000,48.00000,5.00000,42.00000,35.00000,44.00000,1,2,2,2,2,2,2,2
24.00000,35.00000,48.00000,5.00000,31.00000,19.00000,31.00000,1,2,2,2,2,2,2,2
36.00000,54.00000,48.00000,5.00000,41.00000,38.00000,46.00000,1,2,2,2,2,2,2,2
29.00000,52.00000,48.00000,5.00000,42.00000,29.00000,39.00000,1,2,2,2,2,2,2,2
65.00000,47.00000,48.00000,5.00000,59.00000,3.00000,4.00000,1,2,2,2,2,2,2,2
32.00000,42.00000,48.00000,5.00000,35.00000,28.00000,38.00000,1,2,2,2,2,2,2,2
38.00000,46.00000,48.00000,5.00000,48.00000,22.00000,29.00000,1,2,2,2,2,2,2,2
33.00000,45.00000,48.00000,5.00000,52.00000,32.00000,41.00000,1,2,2,2,2,2,2,2
3.00000,37.00000,48.00000,5.00000,59.00000,41.00000,49.00000,1,2,3,3,3,3,3,2
4.00000,5.00000,48.00000,5.00000,45.00000,39.00000,47.00000,1,2,2,2,2,2,2,2
28.00000,38.00000,48.00000,5.00000,5.00000,33.00000,42.00000,1,2,2,2,2,2,2,2
61.00000,45.00000,48.00000,5.00000,48.00000,35.00000,41.00000,1,2,2,2,2,2,2,2
17.00000,38.00000,48.00000,5.00000,45.00000,42.00000,5.00000,1,2,2,2,2,2,2,2
44.00000,35.00000,48.00000,5.00000,55.00000,55.00000,61.00000,1,2,2,2,2,2,2,2
43.00000,4.00000,48.00000,5.00000,39.00000,28.00000,39.00000,1,2,2,2,2,2,2,2
42.00000,35.00000,48.00000,5.00000,58.00000,15.00000,27.00000,1,2,2,2,2,2,2,2
23.00000,33.00000,48.00000,5.00000,43.00000,33.00000,43.00000,1,2,2,2,2,2,2,2
37.00000,52.00000,48.00000,5.00000,42.00000,42.00000,36.00000,1,2,2,2,2,2,2,2
29.00000,3.00000,48.00000,5.00000,45.00000,3.00000,17.00000,1,2,2,2,2,2,2,2
22.00000,36.00000,48.00000,5.00000,35.00000,39.00000,47.00000,1,2,2,2,2,2,2,2
23.00000,58.00000,48.00000,5.00000,37.00000,53.00000,59.00000,1,2,3,3,3,3,3,2
47.00000,47.00000,48.00000,5.00000,22.00000,16.00000,26.00000,1,2,2,2,2,2,2,2
54.00000,47.00000,48.00000,5.00000,28.00000,33.00000,42.00000,1,2,2,2,2,2,2,2
51.00000,37.00000,48.00000,5.00000,35.00000,36.00000,45.00000,1,2,2,2,2,2,2,2
