A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80,A81,A82,A83,A84,A85,A86,A87,A88,A89,A90,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15
0.79691,0.38194,0.79691,0.37731,0.79884,0.37731,0.79497,0.37731,0.77563,0.35417,0.73501,0.32639,0.67505,0.30093,0.59381,0.29398,0.49710,0.32407,0.41586,0.38426,0.34816,0.45833,0.28820,0.57639,0.26499,0.72685,0.26112,0.82639,0.26306,0.81944,0.27079,0.72685,0.28820,0.60648,0.33075,0.50694,0.38685,0.42593,0.45261,0.37037,0.53965,0.32870,0.62089,0.31481,0.68472,0.32176,0.73308,0.34028,0.76402,0.37037,0.77756,0.37963,0.76015,0.36806,0.70793,0.32407,0.62863,0.29861,0.53965,0.30787,0.44487,0.35185,0.36170,0.42130,0.29787,0.53241,0.28240,0.64815,0.29400,0.74537,0.31141,0.83565,0.31335,0.87963,0.30561,0.83796,0.29594,0.74074,0.30368,0.62269,0.34043,0.51389,0.39845,0.42593,0.47389,0.36111,0.55899,0.31250,0.63830,0.29398,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.67892,0.27315,0.68085,0.27315,0.68085,0.27315,0.68085,0.27315,0.67892,0.26852,0.66344,0.25694,0.63830,0.24769,0.59961,0.24074,0.54159,0.23843,0.47195,0.25231,0.39652,0.28009,0.33075,0.32407,0.27079,0.39583,0.21470,0.48611,0.18182,0.58796,0.16248,0.66667,0.14894,0.72685,0.14507,0.75694,0.14894,0.74074,0.16054,0.68056,0.18375,0.59491,0.23404,0.49537,0.29014,0.40741,0.36170,0.33565,0.43907,0.28704,0.51644,0.25926,0.59381,0.25000,0.66151,0.26852,0.70600,0.29398,0.73694,0.31944,0.74275,0.31944,0.72921,0.30324,0.69826,0.27315,0.64603,0.24769,0.57447,0.23148,0.49130,0.23380,0.41586,0.26620,0.34623,0.32639,0.28627,0.40509,0.23404,0.48843,0.19536,0.57407,0.17795,0.63657,0.17215,0.67361,0.17021,0.69213,0.17215,0.69213,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.72147,0.23611,0.72340,0.23611,0.72340,0.23611,0.72340,0.23611,0.72340,0.23611,0.71567,0.23380,0.67505,0.22685,0.59188,0.22685,0.49710,0.25000,0.42747,0.31250,0.36944,0.38194,0.30948,0.49306,0.27853,0.62269,0.26306,0.71528,0.26112,0.76389,0.25919,0.76620,0.27466,0.69676,0.30754,0.55787,0.37718,0.43056,0.46035,0.35185,0.55899,0.30556,0.65377,0.29861,0.73114,0.29630,0.79304,0.30556,0.82012,0.31481,0.80851,0.30787,0.75629,0.28704,0.66538,0.27083,0.54932,0.26157,0.45841,0.31481,0.39458,0.39120,0.33849,0.48843,0.30754,0.59722,0.28820,0.67130,0.28046,0.71759,0.28046,0.73148,0.28820,0.68750,0.31141,0.58102,0.36750,0.46759,0.44101,0.37731,0.52031,0.30556,0.59768,0.25926,0.67118,0.25231,0.73501,0.26620,0.78143,0.27778,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.56480,0.32407,0.56286,0.32407,0.56093,0.32407,0.55899,0.32407,0.55899,0.32407,0.55126,0.31019,0.52224,0.28472,0.46615,0.26852,0.39072,0.28241,0.31141,0.32176,0.24371,0.38657,0.17795,0.44676,0.12186,0.55787,0.10251,0.67824,0.09865,0.75694,0.09671,0.75000,0.09284,0.68750,0.10832,0.59722,0.13926,0.50694,0.17988,0.42361,0.23598,0.36111,0.30754,0.30556,0.39845,0.25926,0.48936,0.23843,0.56867,0.25231,0.62282,0.28472,0.64990,0.29861,0.64797,0.28935,0.62089,0.26620,0.56286,0.25231,0.47969,0.25231,0.38491,0.28241,0.30368,0.33565,0.24565,0.40046,0.20503,0.45139,0.17602,0.50694,0.15667,0.57870,0.14120,0.63194,0.13926,0.62037,0.16054,0.55556,0.20503,0.49074,0.26306,0.42361,0.33269,0.34722,0.41006,0.28009,0.49130,0.24306,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.67118,0.38426,0.67118,0.38657,0.67311,0.38657,0.67311,0.38426,0.67311,0.37963,0.65957,0.36574,0.61702,0.35880,0.55706,0.38889,0.49323,0.45370,0.46615,0.52315,0.46228,0.62037,0.47389,0.71759,0.54545,1.00000,0.47969,0.80556,0.44874,0.70370,0.45068,0.59259,0.46809,0.48611,0.51064,0.38426,0.56673,0.29630,0.64603,0.24306,0.74662,0.25926,0.83559,0.34259,0.87621,0.44676,0.87234,0.48148,0.86267,0.44907,0.84913,0.38657,0.82785,0.32407,0.77950,0.25926,0.69826,0.23611,0.60348,0.26620,0.52805,0.32639,0.47776,0.40046,0.44874,0.46528,0.43907,0.53009,0.42940,0.62269,0.44487,0.75231,0.45648,0.84028,0.51257,0.98380,0.50870,0.96991,0.47195,0.81713,0.46422,0.76389,0.44101,0.64120,0.45068,0.54167,0.47776,0.44213,0.53191,0.34259,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.83366,0.35880,0.83752,0.37731,0.82979,0.38426,0.83172,0.37731,0.83172,0.41667,0.80077,0.50231,0.73114,0.57639,0.63636,0.63426,0.54545,0.66667,0.47195,0.65278,0.42553,0.61111,0.41006,0.55093,0.41393,0.47685,0.42747,0.40046,0.44681,0.34028,0.46035,0.32639,0.45841,0.36806,0.46422,0.43519,0.49323,0.49769,0.53965,0.54630,0.61315,0.57176,0.70406,0.56944,0.78723,0.54398,0.84139,0.48611,0.86460,0.39815,0.86460,0.31713,0.86654,0.26852,0.87234,0.30093,0.87041,0.38426,0.84720,0.46759,0.78917,0.52546,0.70600,0.57407,0.60542,0.61343,0.50290,0.61574,0.43714,0.55324,0.41586,0.45833,0.42553,0.37037,0.44681,0.32176,0.45455,0.35185,0.46035,0.43519,0.49130,0.51157,0.55706,0.56019,0.64603,0.57870,0.74662,0.56713,0.83752,0.52546,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.71567,0.68056,0.71373,0.68056,0.70986,0.68981,0.71180,0.68287,0.71567,0.65741,0.71373,0.65509,0.69439,0.58102,0.64990,0.52083,0.60348,0.49769,0.53965,0.50926,0.45648,0.52083,0.36557,0.54167,0.32302,0.63889,0.25532,0.72917,0.21857,0.80324,0.21083,0.81250,0.22437,0.76389,0.24758,0.65046,0.30948,0.59259,0.34816,0.54861,0.44294,0.50000,0.54932,0.48843,0.62476,0.46065,0.68859,0.49306,0.73501,0.56481,0.76983,0.61574,0.78723,0.63426,0.77756,0.61111,0.73888,0.55556,0.67311,0.45833,0.59574,0.47222,0.51064,0.49306,0.40426,0.51852,0.33849,0.57407,0.29594,0.59259,0.26306,0.68519,0.23598,0.75231,0.22437,0.76620,0.23017,0.74306,0.24758,0.67824,0.30174,0.61111,0.35397,0.57639,0.41006,0.52315,0.49130,0.48611,0.55899,0.48380,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.77563,0.60417,0.77563,0.60417,0.77950,0.59722,0.75629,0.53935,0.70793,0.44444,0.64217,0.39815,0.54352,0.43519,0.42940,0.48380,0.37524,0.53935,0.32882,0.60880,0.31721,0.73148,0.31335,0.75694,0.31335,0.75000,0.31141,0.64352,0.34816,0.56713,0.37718,0.51852,0.44101,0.48148,0.52998,0.45833,0.61122,0.45602,0.65957,0.43981,0.70019,0.49537,0.72921,0.53009,0.73308,0.64352,0.74662,0.64583,0.74468,0.60185,0.73308,0.50231,0.70213,0.48148,0.64990,0.44676,0.58607,0.44213,0.50870,0.43056,0.43133,0.45370,0.35977,0.49306,0.33075,0.54861,0.30368,0.60185,0.28627,0.69907,0.29207,0.78704,0.28433,0.74306,0.29207,0.62963,0.32689,0.56481,0.36750,0.51852,0.45648,0.45833,0.54545,0.45370,0.61509,0.47685,0.66344,0.46759,0.71180,0.53472,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.77756,0.63426,0.77563,0.63426,0.77369,0.61806,0.75822,0.50694,0.71373,0.40509,0.65184,0.38426,0.56286,0.36574,0.46228,0.39352,0.38878,0.43519,0.34623,0.48380,0.32882,0.53472,0.31141,0.57176,0.29207,0.61806,0.29594,0.73380,0.29014,0.72454,0.29981,0.58796,0.34236,0.51852,0.42166,0.45139,0.51451,0.41667,0.58994,0.43287,0.64797,0.44444,0.69246,0.45602,0.74662,0.51852,0.80464,0.56713,0.84139,0.61574,0.84526,0.60648,0.81625,0.55556,0.75242,0.46991,0.66731,0.40972,0.58027,0.43056,0.49323,0.42130,0.40619,0.44676,0.33849,0.51157,0.29594,0.55787,0.23017,0.59954,0.17795,0.68519,0.16248,0.71759,0.17408,0.70370,0.23598,0.58102,0.32108,0.52778,0.38298,0.46991,0.46422,0.43750,0.55899,0.44213,0.63250,0.46296,0.68085,0.48380,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.74468,0.58565,0.74468,0.59028,0.74662,0.58333,0.73501,0.55787,0.71180,0.47222,0.65764,0.43287,0.59188,0.45139,0.50290,0.45139,0.41199,0.47685,0.36557,0.53704,0.31528,0.56250,0.27466,0.67593,0.24952,0.71759,0.25145,0.71991,0.26112,0.67130,0.30561,0.59028,0.35590,0.50694,0.45455,0.46296,0.53191,0.47222,0.60542,0.47454,0.65764,0.46991,0.70793,0.55324,0.73888,0.62037,0.74855,0.64583,0.74662,0.64352,0.73308,0.59722,0.69439,0.49769,0.62863,0.45370,0.52998,0.43519,0.41973,0.44676,0.32108,0.46296,0.24371,0.52546,0.20890,0.63889,0.17988,0.73380,0.16634,0.79167,0.16828,0.78704,0.18762,0.73611,0.21857,0.62500,0.27273,0.52778,0.36557,0.46528,0.47002,0.45833,0.56286,0.45602,0.62282,0.45370,0.66538,0.48148,0.71567,0.53935,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.78917,0.53935,0.78723,0.55093,0.78723,0.53704,0.78723,0.55787,0.78337,0.51389,0.76015,0.45833,0.71567,0.41667,0.64603,0.39815,0.56480,0.41204,0.47195,0.43519,0.41779,0.46528,0.35977,0.52315,0.32108,0.58102,0.29014,0.65741,0.28627,0.68287,0.28627,0.65046,0.28433,0.51852,0.37331,0.41435,0.49710,0.36343,0.61122,0.38426,0.68665,0.31481,0.73694,0.42824,0.76209,0.51620,0.79304,0.57176,0.80851,0.60417,0.81238,0.60417,0.80271,0.58102,0.76789,0.46528,0.71180,0.37269,0.63443,0.33796,0.52611,0.34028,0.42747,0.35185,0.33849,0.37269,0.28046,0.42593,0.24758,0.51389,0.23211,0.61574,0.21663,0.69444,0.20696,0.73148,0.20890,0.72454,0.21083,0.70370,0.22824,0.62963,0.25532,0.52083,0.32689,0.45370,0.43714,0.41435,0.53191,0.40741,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.83752,0.59491,0.83752,0.59259,0.84139,0.58565,0.83946,0.57639,0.82979,0.55093,0.81625,0.51852,0.77950,0.48380,0.70986,0.41204,0.65377,0.45833,0.59188,0.45602,0.52224,0.46528,0.45648,0.48611,0.41006,0.53472,0.37331,0.57639,0.35203,0.62269,0.32882,0.68056,0.32302,0.69907,0.33269,0.64815,0.37524,0.57870,0.44294,0.49537,0.53191,0.47454,0.61315,0.47222,0.67311,0.47222,0.73114,0.46528,0.78917,0.52546,0.82205,0.57639,0.83559,0.60648,0.83366,0.61111,0.82592,0.58333,0.79884,0.52315,0.75048,0.45833,0.68472,0.42593,0.61896,0.44213,0.53578,0.43981,0.45068,0.45833,0.38491,0.49074,0.34043,0.55093,0.30368,0.59259,0.27466,0.63426,0.26112,0.67130,0.26112,0.68750,0.28433,0.65046,0.33462,0.59491,0.40039,0.49074,0.51064,0.46065,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.29014,0.31019,0.29594,0.30556,0.30174,0.29630,0.32108,0.28009,0.36170,0.25463,0.42940,0.23148,0.52998,0.22685,0.64797,0.25000,0.74855,0.31481,0.82592,0.41667,0.87427,0.52315,0.88395,0.62037,0.88201,0.65278,0.86654,0.66898,0.85687,0.67593,0.84139,0.66435,0.80464,0.58565,0.74275,0.47917,0.67505,0.38194,0.58994,0.30093,0.49710,0.24074,0.40039,0.22222,0.29400,0.25000,0.21470,0.30787,0.18375,0.33565,0.18182,0.33333,0.18956,0.31713,0.22050,0.29630,0.29594,0.25000,0.40426,0.21296,0.53578,0.20139,0.67505,0.24769,0.78143,0.33796,0.84333,0.44444,0.86460,0.53935,0.85880,0.59259,0.85300,0.61806,0.82592,0.59259,0.78917,0.50926,0.73694,0.40509,0.67118,0.30324,0.59574,0.22685,0.49903,0.18287,0.40039,0.18287,0.31335,0.22222,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.20890,0.26157,0.21470,0.25231,0.22244,0.26157,0.26112,0.24306,0.33656,0.23843,0.43714,0.25463,0.53191,0.30093,0.59961,0.38194,0.64023,0.48611,0.65571,0.57639,0.65957,0.64815,0.65957,0.68519,0.65377,0.68981,0.64217,0.66204,0.61896,0.59722,0.57640,0.50926,0.52031,0.39120,0.44487,0.28241,0.36557,0.20833,0.27660,0.15972,0.19149,0.14815,0.13153,0.17593,0.08897,0.21991,0.08317,0.21528,0.10058,0.20139,0.12959,0.16898,0.17602,0.15741,0.22050,0.16204,0.31528,0.15972,0.42553,0.18519,0.52998,0.24306,0.61122,0.33102,0.66151,0.42593,0.68472,0.50926,0.68859,0.57870,0.67118,0.61574,0.64603,0.60185,0.62669,0.55787,0.59768,0.48380,0.54159,0.37963,0.46422,0.28935,0.35783,0.24074,0.25145,0.22222,0.18375,0.21065,0.14507,0.21759,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.19923,0.30324,0.19536,0.30093,0.19729,0.30324,0.19536,0.30093,0.20696,0.28704,0.27853,0.27315,0.37911,0.26157,0.47389,0.28704,0.55126,0.34954,0.62089,0.43287,0.66925,0.53241,0.70406,0.61806,0.70986,0.66204,0.70600,0.67130,0.70019,0.68981,0.69246,0.68519,0.68085,0.62500,0.64410,0.50000,0.58414,0.37500,0.49516,0.29167,0.38491,0.25000,0.26306,0.25000,0.18569,0.28241,0.15474,0.30093,0.12766,0.30324,0.12573,0.30093,0.13153,0.29630,0.14313,0.30093,0.18569,0.28241,0.26692,0.25463,0.38878,0.24074,0.51257,0.26620,0.61702,0.34028,0.67505,0.42824,0.70986,0.52778,0.73501,0.61574,0.74081,0.64583,0.73694,0.65972,0.73114,0.65509,0.72340,0.59722,0.69439,0.49769,0.65184,0.39352,0.58607,0.30556,0.48356,0.24769,0.37137,0.24074,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.21857,0.34722,0.21857,0.34491,0.22244,0.34491,0.23211,0.34028,0.27273,0.31944,0.33656,0.30324,0.42166,0.30787,0.50290,0.34722,0.56093,0.43056,0.61122,0.53009,0.65377,0.61806,0.68472,0.67824,0.69052,0.70370,0.68085,0.70602,0.66538,0.69444,0.64023,0.62500,0.59768,0.52546,0.52998,0.43519,0.45068,0.36343,0.36750,0.32407,0.27853,0.33796,0.18569,0.37037,0.14120,0.38889,0.13346,0.40741,0.12959,0.40741,0.13346,0.40741,0.13733,0.38657,0.16054,0.37037,0.22244,0.34028,0.30948,0.30556,0.40812,0.28935,0.50870,0.32639,0.58994,0.40972,0.64603,0.51852,0.69052,0.61574,0.70406,0.67361,0.69246,0.67824,0.67698,0.64583,0.64990,0.57407,0.61702,0.47222,0.55513,0.37731,0.47582,0.30556,0.38104,0.26852,0.29400,0.29398,0.22824,0.35648,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.24565,0.31713,0.24371,0.31481,0.24178,0.31713,0.25532,0.30093,0.28820,0.28241,0.34043,0.26389,0.40812,0.26389,0.47389,0.28704,0.53772,0.32407,0.59768,0.38426,0.64603,0.46065,0.68279,0.54861,0.70019,0.62269,0.70019,0.67361,0.69632,0.69213,0.69052,0.68750,0.67892,0.65741,0.64990,0.58565,0.60928,0.48843,0.55126,0.39120,0.47389,0.31713,0.36750,0.28241,0.25725,0.28241,0.18182,0.30556,0.15087,0.31250,0.14120,0.31713,0.13733,0.32176,0.14120,0.31250,0.15667,0.29861,0.19342,0.28704,0.25145,0.26389,0.34236,0.25231,0.43714,0.25694,0.52418,0.29861,0.59574,0.39120,0.66344,0.49306,0.71373,0.57407,0.72534,0.59722,0.71954,0.60417,0.71180,0.62037,0.69246,0.57176,0.64217,0.47222,0.57834,0.37269,0.49903,0.30324,0.40812,0.27778,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.25145,0.29167,0.25532,0.29398,0.25532,0.29167,0.25919,0.28241,0.30948,0.26852,0.38685,0.25231,0.48356,0.26852,0.58221,0.32870,0.66151,0.40972,0.70600,0.52083,0.73501,0.60417,0.75629,0.65741,0.74468,0.69907,0.73308,0.69907,0.72534,0.69676,0.72534,0.65509,0.70793,0.61806,0.67505,0.52778,0.61702,0.42361,0.53191,0.33102,0.42166,0.27778,0.30561,0.27778,0.20696,0.30093,0.16441,0.31250,0.15474,0.31944,0.15280,0.31250,0.15474,0.31713,0.17408,0.30324,0.21857,0.28241,0.30368,0.25000,0.42166,0.23843,0.55126,0.26620,0.66731,0.34259,0.74855,0.45370,0.78917,0.56250,0.80077,0.63194,0.79110,0.64120,0.77756,0.64583,0.76596,0.64583,0.74275,0.59722,0.70793,0.50231,0.64603,0.38657,0.56480,0.29861,0.47582,0.24537,0.37911,0.23148,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
