A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,L1,L2,L3
14.23000,1.71000,2.43000,15.60000,127,2.80000,3.06000,0.28000,2.29000,5.64000,1.04000,3.92000,1065,1,2,2
13.20000,1.78000,2.14000,11.20000,100,2.65000,2.76000,0.26000,1.28000,4.38000,1.05000,3.40000,1050,1,2,2
13.16000,2.36000,2.67000,18.60000,101,2.80000,3.24000,0.30000,2.81000,5.68000,1.03000,3.17000,1185,1,2,2
14.37000,1.95000,2.50000,16.80000,113,3.85000,3.49000,0.24000,2.18000,7.80000,0.86000,3.45000,1480,1,2,2
13.24000,2.59000,2.87000,21.00000,118,2.80000,2.69000,0.39000,1.82000,4.32000,1.04000,2.93000,735,1,2,2
14.20000,1.76000,2.45000,15.20000,112,3.27000,3.39000,0.34000,1.97000,6.75000,1.05000,2.85000,1450,1,2,2
14.39000,1.87000,2.45000,14.60000,96,2.50000,2.52000,0.30000,1.98000,5.25000,1.02000,3.58000,1290,1,2,2
14.06000,2.15000,2.61000,17.60000,121,2.60000,2.51000,0.31000,1.25000,5.05000,1.06000,3.58000,1295,1,2,2
14.83000,1.64000,2.17000,14.00000,97,2.80000,2.98000,0.29000,1.98000,5.20000,1.08000,2.85000,1045,1,2,2
13.86000,1.35000,2.27000,16.00000,98,2.98000,3.15000,0.22000,1.85000,7.22000,1.01000,3.55000,1045,1,2,2
14.10000,2.16000,2.30000,18.00000,105,2.95000,3.32000,0.22000,2.38000,5.75000,1.25000,3.17000,1510,1,2,2
14.12000,1.48000,2.32000,16.80000,95,2.20000,2.43000,0.26000,1.57000,5.00000,1.17000,2.82000,1280,1,2,2
13.75000,1.73000,2.41000,16.00000,89,2.60000,2.76000,0.29000,1.81000,5.60000,1.15000,2.90000,1320,1,2,2
14.75000,1.73000,2.39000,11.40000,91,3.10000,3.69000,0.43000,2.81000,5.40000,1.25000,2.73000,1150,1,2,2
14.38000,1.87000,2.38000,12.00000,102,3.30000,3.64000,0.29000,2.96000,7.50000,1.20000,3.00000,1547,1,2,2
13.63000,1.81000,2.70000,17.20000,112,2.85000,2.91000,0.30000,1.46000,7.30000,1.28000,2.88000,1310,1,2,2
14.30000,1.92000,2.72000,20.00000,120,2.80000,3.14000,0.33000,1.97000,6.20000,1.07000,2.65000,1280,1,2,2
13.83000,1.57000,2.62000,20.00000,115,2.95000,3.40000,0.40000,1.72000,6.60000,1.13000,2.57000,1130,1,2,2
14.19000,1.59000,2.48000,16.50000,108,3.30000,3.93000,0.32000,1.86000,8.70000,1.23000,2.82000,1680,1,2,2
13.64000,3.10000,2.56000,15.20000,116,2.70000,3.03000,0.17000,1.66000,5.10000,0.96000,3.36000,845,1,2,2
14.06000,1.63000,2.28000,16.00000,126,3.00000,3.17000,0.24000,2.10000,5.65000,1.09000,3.71000,780,1,2,2
12.93000,3.80000,2.65000,18.60000,102,2.41000,2.41000,0.25000,1.98000,4.50000,1.03000,3.52000,770,1,2,2
13.71000,1.86000,2.36000,16.60000,101,2.61000,2.88000,0.27000,1.69000,3.80000,1.11000,4.00000,1035,1,2,2
12.85000,1.60000,2.52000,17.80000,95,2.48000,2.37000,0.26000,1.46000,3.93000,1.09000,3.63000,1015,1,2,2
13.50000,1.81000,2.61000,20.00000,96,2.53000,2.61000,0.28000,1.66000,3.52000,1.12000,3.82000,845,1,2,2
13.05000,2.05000,3.22000,25.00000,124,2.63000,2.68000,0.47000,1.92000,3.58000,1.13000,3.20000,830,1,2,2
13.39000,1.77000,2.62000,16.10000,93,2.85000,2.94000,0.34000,1.45000,4.80000,0.92000,3.22000,1195,1,2,2
13.30000,1.72000,2.14000,17.00000,94,2.40000,2.19000,0.27000,1.35000,3.95000,1.02000,2.77000,1285,1,2,2
13.87000,1.90000,2.80000,19.40000,107,2.95000,2.97000,0.37000,1.76000,4.50000,1.25000,3.40000,915,1,2,2
14.02000,1.68000,2.21000,16.00000,96,2.65000,2.33000,0.26000,1.98000,4.70000,1.04000,3.59000,1035,1,2,2
13.73000,1.50000,2.70000,22.50000,101,3.00000,3.25000,0.29000,2.38000,5.70000,1.19000,2.71000,1285,1,2,2
13.58000,1.66000,2.36000,19.10000,106,2.86000,3.19000,0.22000,1.95000,6.90000,1.09000,2.88000,1515,1,2,2
13.68000,1.83000,2.36000,17.20000,104,2.42000,2.69000,0.42000,1.97000,3.84000,1.23000,2.87000,990,1,2,2
13.76000,1.53000,2.70000,19.50000,132,2.95000,2.74000,0.50000,1.35000,5.40000,1.25000,3.00000,1235,1,2,2
13.51000,1.80000,2.65000,19.00000,110,2.35000,2.53000,0.29000,1.54000,4.20000,1.10000,2.87000,1095,1,2,2
13.48000,1.81000,2.41000,20.50000,100,2.70000,2.98000,0.26000,1.86000,5.10000,1.04000,3.47000,920,1,2,2
13.28000,1.64000,2.84000,15.50000,110,2.60000,2.68000,0.34000,1.36000,4.60000,1.09000,2.78000,880,1,2,2
13.05000,1.65000,2.55000,18.00000,98,2.45000,2.43000,0.29000,1.44000,4.25000,1.12000,2.51000,1105,1,2,2
13.07000,1.50000,2.10000,15.50000,98,2.40000,2.64000,0.28000,1.37000,3.70000,1.18000,2.69000,1020,1,2,2
14.22000,3.99000,2.51000,13.20000,128,3.00000,3.04000,0.20000,2.08000,5.10000,0.89000,3.53000,760,1,2,2
13.56000,1.71000,2.31000,16.20000,117,3.15000,3.29000,0.34000,2.34000,6.13000,0.95000,3.38000,795,1,2,2
13.41000,3.84000,2.12000,18.80000,90,2.45000,2.68000,0.27000,1.48000,4.28000,0.91000,3.00000,1035,1,2,2
13.88000,1.89000,2.59000,15.00000,101,3.25000,3.56000,0.17000,1.70000,5.43000,0.88000,3.56000,1095,1,2,2
13.24000,3.98000,2.29000,17.50000,103,2.64000,2.63000,0.32000,1.66000,4.36000,0.82000,3.00000,680,1,2,2
13.05000,1.77000,2.10000,17.00000,107,3.00000,3.00000,0.28000,2.03000,5.04000,0.88000,3.35000,885,1,2,2
14.21000,4.04000,2.44000,18.90000,111,2.85000,2.65000,0.30000,1.25000,5.24000,0.87000,3.33000,1080,1,2,2
14.38000,3.59000,2.28000,16.00000,102,3.25000,3.17000,0.27000,2.19000,4.90000,1.04000,3.44000,1065,1,2,2
13.90000,1.68000,2.12000,16.00000,101,3.10000,3.39000,0.21000,2.14000,6.10000,0.91000,3.33000,985,1,2,2
14.10000,2.02000,2.40000,18.80000,103,2.75000,2.92000,0.32000,2.38000,6.20000,1.07000,2.75000,1060,1,2,2
13.94000,1.73000,2.27000,17.40000,108,2.88000,3.54000,0.32000,2.08000,8.90000,1.12000,3.10000,1260,1,2,2
13.05000,1.73000,2.04000,12.40000,92,2.72000,3.27000,0.17000,2.91000,7.20000,1.12000,2.91000,1150,1,2,2
13.83000,1.65000,2.60000,17.20000,94,2.45000,2.99000,0.22000,2.29000,5.60000,1.24000,3.37000,1265,1,2,2
13.82000,1.75000,2.42000,14.00000,111,3.88000,3.74000,0.32000,1.87000,7.05000,1.01000,3.26000,1190,1,2,2
13.77000,1.90000,2.68000,17.10000,115,3.00000,2.79000,0.39000,1.68000,6.30000,1.13000,2.93000,1375,1,2,2
13.74000,1.67000,2.25000,16.40000,118,2.60000,2.90000,0.21000,1.62000,5.85000,0.92000,3.20000,1060,1,2,2
13.56000,1.73000,2.46000,20.50000,116,2.96000,2.78000,0.20000,2.45000,6.25000,0.98000,3.03000,1120,1,2,2
14.22000,1.70000,2.30000,16.30000,118,3.20000,3.00000,0.26000,2.03000,6.38000,0.94000,3.31000,970,1,2,2
13.29000,1.97000,2.68000,16.80000,102,3.00000,3.23000,0.31000,1.66000,6.00000,1.07000,2.84000,1270,1,2,2
13.72000,1.43000,2.50000,16.70000,108,3.40000,3.67000,0.19000,2.04000,6.80000,0.89000,2.87000,1285,1,2,2
12.37000,0.94000,1.36000,10.60000,88,1.98000,0.57000,0.28000,0.42000,1.95000,1.05000,1.82000,520,2,1,2
12.33000,1.10000,2.28000,16.00000,101,2.05000,1.09000,0.63000,0.41000,3.27000,1.25000,1.67000,680,2,1,2
12.64000,1.36000,2.02000,16.80000,100,2.02000,1.41000,0.53000,0.62000,5.75000,0.98000,1.59000,450,2,1,2
13.67000,1.25000,1.92000,18.00000,94,2.10000,1.79000,0.32000,0.73000,3.80000,1.23000,2.46000,630,2,1,2
12.37000,1.13000,2.16000,19.00000,87,3.50000,3.10000,0.19000,1.87000,4.45000,1.22000,2.87000,420,2,1,2
12.17000,1.45000,2.53000,19.00000,104,1.89000,1.75000,0.45000,1.03000,2.95000,1.45000,2.23000,355,2,1,2
12.37000,1.21000,2.56000,18.10000,98,2.42000,2.65000,0.37000,2.08000,4.60000,1.19000,2.30000,678,2,1,2
13.11000,1.01000,1.70000,15.00000,78,2.98000,3.18000,0.26000,2.28000,5.30000,1.12000,3.18000,502,2,1,2
12.37000,1.17000,1.92000,19.60000,78,2.11000,2.00000,0.27000,1.04000,4.68000,1.12000,3.48000,510,2,1,2
13.34000,0.94000,2.36000,17.00000,110,2.53000,1.30000,0.55000,0.42000,3.17000,1.02000,1.93000,750,2,1,2
12.21000,1.19000,1.75000,16.80000,151,1.85000,1.28000,0.14000,2.50000,2.85000,1.28000,3.07000,718,2,1,2
12.29000,1.61000,2.21000,20.40000,103,1.10000,1.02000,0.37000,1.46000,3.05000,0.90600,1.82000,870,2,1,2
