A1,A2,A3,A4,A5,A6,A7,A8,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10
0.58000,0.61000,0.47000,0.13000,0.50000,0.00000,0.48000,0.22000,1,2,2,2,2,2,2,2,2,2
0.43000,0.67000,0.48000,0.27000,0.50000,0.00000,0.53000,0.22000,1,2,2,3,3,3,3,3,3,3
0.64000,0.62000,0.49000,0.15000,0.50000,0.00000,0.53000,0.22000,1,3,2,3,3,3,3,3,3,3
0.58000,0.44000,0.57000,0.13000,0.50000,0.00000,0.54000,0.22000,3,1,2,3,3,3,3,3,3,3
0.42000,0.44000,0.48000,0.54000,0.50000,0.00000,0.48000,0.22000,1,2,2,2,2,2,2,2,2,2
0.51000,0.40000,0.56000,0.17000,0.50000,0.50000,0.49000,0.22000,3,3,1,3,3,3,3,3,2,3
0.50000,0.54000,0.48000,0.65000,0.50000,0.00000,0.53000,0.22000,1,2,2,2,2,2,2,2,2,2
0.48000,0.45000,0.59000,0.20000,0.50000,0.00000,0.58000,0.34000,2,1,2,2,2,2,2,2,2,2
0.55000,0.50000,0.66000,0.36000,0.50000,0.00000,0.49000,0.22000,1,2,2,2,2,2,2,2,2,2
0.40000,0.39000,0.60000,0.15000,0.50000,0.00000,0.58000,0.30000,3,2,1,3,3,3,3,3,3,3
0.43000,0.39000,0.54000,0.21000,0.50000,0.00000,0.53000,0.27000,3,1,2,3,3,3,3,3,3,3
0.42000,0.37000,0.59000,0.20000,0.50000,0.00000,0.52000,0.29000,2,1,2,2,2,2,2,2,2,2
0.40000,0.42000,0.57000,0.35000,0.50000,0.00000,0.53000,0.25000,2,2,1,2,2,2,2,2,2,2
0.60000,0.40000,0.52000,0.46000,0.50000,0.00000,0.53000,0.22000,1,3,2,3,3,3,3,3,3,3
0.66000,0.55000,0.45000,0.19000,0.50000,0.00000,0.46000,0.22000,1,3,2,3,3,3,3,3,3,3
0.46000,0.44000,0.52000,0.11000,0.50000,0.00000,0.50000,0.22000,2,2,1,2,2,2,2,2,2,2
0.47000,0.39000,0.50000,0.11000,0.50000,0.00000,0.49000,0.40000,3,2,1,3,3,3,3,3,3,3
0.58000,0.47000,0.54000,0.11000,0.50000,0.00000,0.51000,0.26000,3,1,2,3,3,3,3,3,3,3
0.50000,0.34000,0.55000,0.21000,0.50000,0.00000,0.49000,0.22000,3,1,2,3,3,3,3,3,3,3
0.61000,0.60000,0.55000,0.21000,0.50000,0.00000,0.50000,0.25000,3,1,2,3,3,3,3,3,3,3
0.45000,0.40000,0.50000,0.16000,0.50000,0.00000,0.50000,0.22000,2,2,1,2,2,2,2,2,2,2
0.43000,0.44000,0.48000,0.22000,0.50000,0.00000,0.51000,0.22000,2,2,1,2,2,2,2,2,2,2
0.73000,0.63000,0.42000,0.30000,0.50000,0.00000,0.49000,0.22000,2,2,1,2,2,2,2,2,2,2
0.43000,0.53000,0.52000,0.13000,0.50000,0.00000,0.55000,0.22000,2,2,1,2,2,2,2,2,2,2
0.46000,0.53000,0.52000,0.15000,0.50000,0.00000,0.58000,0.22000,2,2,1,2,2,2,2,2,2,2
0.51000,0.51000,0.52000,0.51000,0.50000,0.00000,0.54000,0.22000,1,2,2,2,2,2,2,2,2,2
0.59000,0.45000,0.53000,0.19000,0.50000,0.00000,0.59000,0.27000,2,2,1,2,2,2,2,2,2,2
0.57000,0.47000,0.60000,0.18000,0.50000,0.00000,0.51000,0.22000,3,2,1,3,3,3,3,3,3,3
0.63000,0.67000,0.57000,0.24000,0.50000,0.00000,0.49000,0.22000,1,2,2,2,2,2,2,2,2,2
0.80000,0.88000,0.36000,0.39000,0.50000,0.00000,0.56000,0.33000,2,2,2,1,2,2,2,2,2,2
