A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80,A81,A82,A83,A84,A85,A86,A87,A88,A89,A90,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15
0.67818,-0.36678,0.68422,-0.38127,0.68494,-0.37738,0.67431,-0.37107,0.62673,-0.42856,0.52559,-0.50000,0.37529,-0.56687,0.16280,-0.57692,-0.08450,-0.49360,-0.29384,-0.31628,-0.46540,-0.09446,-0.56481,0.25246,-0.50000,0.39795,-0.46073,0.96619,-0.45258,0.94928,-0.44228,0.70832,-0.43518,0.34837,-0.42929,0.03677,-0.33848,-0.19332,-0.19467,-0.32248,0.07123,-0.44445,0.32493,-0.52350,0.50611,-0.49664,0.63107,-0.45860,0.70070,-0.43503,0.72413,-0.42622,0.68108,-0.34837,0.57175,-0.47799,0.36674,-0.53893,0.14823,-0.47531,-0.11963,-0.33539,-0.34129,-0.04373,-0.50352,0.29215,-0.54916,0.56863,-0.46760,0.78099,-0.42273,1.00000,-0.34475,1.00000,-0.33891,0.67014,-0.37106,0.47618,-0.39368,0.41035,-0.37768,0.15951,-0.25691,-0.02408,-0.06313,-0.16618,0.12079,-0.29759,0.27238,-0.34565,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.39771,-0.66144,0.40960,-0.66250,0.40639,-0.66038,0.40367,-0.65407,0.39632,-0.66348,0.35348,-0.68989,0.28671,-0.71337,0.17674,-0.72435,0.02348,-0.73075,-0.15641,-0.68051,-0.34606,-0.59609,-0.46297,-0.46231,-0.48707,-0.33164,-0.56263,0.13802,-0.63361,0.38590,-0.68627,0.55358,-0.76851,0.68386,-0.90571,0.75918,-0.97414,0.71333,-1.00000,0.55050,-0.89974,0.30720,-0.68264,0.00000,-0.49143,-0.24831,-0.30098,-0.47134,-0.09739,-0.63841,0.10344,-0.71037,0.28929,-0.67742,0.46242,-0.62892,0.54898,-0.55140,0.62822,-0.44445,0.61722,-0.42155,0.56564,-0.34111,0.46605,-0.33707,0.35250,-0.40055,0.20370,-0.49856,0.00001,-0.60493,-0.11778,-0.59639,-0.25104,-0.48691,-0.39202,-0.29101,-0.54527,0.05776,-0.69957,0.31900,-0.74098,0.52409,-0.69857,0.62100,-0.67525,0.58176,-0.66536,0.56200,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.49885,-0.76176,0.51028,-0.76251,0.50684,-0.76101,0.50458,-0.75471,0.50230,-0.75238,0.47908,-0.75316,0.37529,-0.77071,0.15815,-0.76282,-0.08450,-0.69871,-0.26540,-0.51437,-0.41289,-0.30945,-0.51388,0.01640,-0.46982,0.16838,-0.45647,0.69578,-0.45690,0.81408,-0.46841,0.80951,-0.46759,0.59999,-0.48885,0.18394,-0.36432,-0.17998,-0.17333,-0.37460,0.12400,-0.50978,0.41057,-0.57047,0.62346,-0.57046,0.78156,-0.55413,0.83849,-0.57063,0.79769,-0.59562,0.67199,-0.57419,0.47153,-0.62264,0.17994,-0.63863,-0.04942,-0.45680,-0.24403,-0.23078,-0.39857,0.12537,-0.48010,0.44944,-0.53478,0.62466,-0.50001,0.71182,-0.49547,0.72221,-0.40043,0.50000,-0.32636,0.08900,-0.21594,-0.14816,-0.09473,-0.23405,0.02146,-0.39263,0.18047,-0.45783,0.35235,-0.44024,0.48120,-0.40484,0.56031,-0.38258,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.12645,-0.52352,0.13043,-0.52502,0.12329,-0.52203,0.11467,-0.51572,0.11059,-0.51112,0.08373,-0.54429,0.00698,-0.61147,-0.14418,-0.64743,-0.34271,-0.60896,-0.54977,-0.48881,-0.72316,-0.29642,-0.82870,-0.11476,-0.81896,0.02551,-0.80893,0.60563,-0.81896,0.79717,-0.83442,0.76785,-0.90278,0.57419,-1.00000,0.29765,-1.00000,0.03999,-0.94667,-0.17264,-0.75724,-0.35294,-0.49120,-0.55032,-0.21761,-0.67785,0.01941,-0.73885,0.22091,-0.72318,0.35631,-0.65027,0.42141,-0.54194,0.43052,-0.57233,0.34851,-0.62617,0.20470,-0.62347,-0.03350,-0.60001,-0.28402,-0.39358,-0.48945,-0.18538,-0.64028,-0.03082,-0.68056,0.04900,-0.74090,0.12344,-0.69166,0.21686,-0.69456,0.20417,-0.71070,0.20105,-0.70527,0.23406,-0.67811,0.09816,-0.55413,-0.03012,-0.36048,-0.20117,-0.18415,-0.37266,-0.02334,-0.46173,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.37931,-0.36050,0.38672,-0.35627,0.38812,-0.35222,0.38531,-0.35219,0.38248,-0.35872,0.34418,-0.39241,0.23542,-0.40764,0.07442,-0.31410,-0.09390,-0.13462,-0.17062,0.06710,-0.18378,0.36157,-0.12036,0.65245,0.12500,1.00000,0.01911,0.91550,-0.03880,0.66759,-0.03704,0.36308,-0.00461,0.01289,0.03226,-0.31773,0.14213,-0.56665,0.33865,-0.68077,0.63589,-0.64051,0.88412,-0.44296,0.99022,-0.13423,0.98057,-0.07007,0.94299,-0.24295,0.89425,-0.40984,0.84054,-0.47098,0.74032,-0.65408,0.53075,-0.70716,0.30352,-0.58643,0.08613,-0.40307,-0.05488,-0.09622,-0.13818,0.12922,-0.16068,0.28291,-0.14352,0.47552,-0.10910,0.77776,-0.02784,0.89760,0.10879,1.00000,0.09014,1.00000,-0.02738,0.92098,-0.10300,0.82209,-0.16348,0.53614,-0.11201,0.28864,-0.04553,0.00268,0.05836,-0.23483,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.76553,-0.42946,0.78031,-0.38127,0.75800,-0.35849,0.76147,-0.37107,0.76037,-0.25713,0.68372,-0.01900,0.51048,0.19108,0.26511,0.36538,0.03285,0.45513,-0.15641,0.42493,-0.27447,0.33551,-0.27314,0.18033,-0.16809,-0.15307,-0.09553,-0.07043,-0.04310,-0.21690,-0.01525,-0.32143,-0.02778,-0.31613,-0.08684,-0.17056,-0.05425,0.01335,0.04533,0.17264,0.27176,0.24183,0.54155,0.21475,0.76527,0.14765,0.90290,-0.05733,0.94774,-0.36723,0.93102,-0.57376,0.93167,-0.62580,0.95899,-0.54086,0.93622,-0.30840,0.89648,-0.04939,0.73205,0.12614,0.50837,0.34109,0.24123,0.48878,-0.00241,0.49019,-0.12500,0.30260,-0.17728,-0.00618,-0.09637,-0.32530,-0.03346,-0.49738,-0.02724,-0.41270,-0.05263,-0.08205,-0.04291,0.15336,0.09129,0.32532,0.29938,0.38192,0.50497,0.29222,0.67314,0.18205,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.48507,0.44202,0.48740,0.43751,0.47488,0.47168,0.47707,0.45913,0.48388,0.40318,0.47441,0.39873,0.42190,0.20382,0.29767,0.05127,0.17370,-0.01281,0.00947,0.02876,-0.19809,0.08143,-0.37962,0.15410,-0.37068,0.20408,-0.47346,0.72958,-0.55172,0.90985,-0.57735,0.92857,-0.58796,0.78709,-0.64269,0.45149,-0.54520,0.28666,-0.48267,0.17915,-0.19261,0.03922,0.13852,-0.02012,0.35452,-0.09395,0.51942,-0.03821,0.62945,0.03954,0.70575,0.13115,0.74487,0.39355,0.73575,0.30188,0.62642,0.15267,0.47293,-0.07408,0.25357,-0.01539,0.02626,0.13703,-0.24589,0.25844,-0.41008,0.38934,-0.46296,0.40058,-0.53636,0.59877,-0.51605,0.66866,-0.51464,0.50784,-0.51363,0.48149,-0.51580,0.55623,-0.46352,0.41717,-0.35456,0.36748,-0.19755,0.24199,-0.01781,0.10455,0.11283,0.08708,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.62759,0.23512,0.63387,0.23126,0.63928,0.22012,0.58258,0.06919,0.46544,-0.18096,0.30234,-0.30380,0.05827,-0.19744,-0.23255,-0.05127,-0.38028,0.10256,-0.50711,0.30353,-0.54178,0.67427,-0.50461,0.76392,-0.39223,0.44898,-0.35032,0.52113,-0.26293,0.33521,-0.20261,0.17262,-0.06943,-0.00001,0.08189,-0.10369,0.26100,-0.10666,0.37599,-0.12705,0.50922,0.02615,0.60705,0.10066,0.62837,0.43625,0.66506,0.38216,0.65320,0.12994,0.61840,-0.13662,0.54443,-0.03226,0.43507,-0.14465,0.26650,-0.15264,0.07293,-0.14813,-0.15313,-0.06463,-0.34606,0.13703,-0.42390,0.33146,-0.49639,0.45658,-0.48611,0.66570,-0.46818,0.87037,-0.40900,0.64459,-0.36820,0.19895,-0.30397,0.07406,-0.25475,0.13679,-0.12018,0.01226,0.06580,0.04819,0.23423,0.12537,0.33465,0.06165,0.42024,0.20316,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.63218,0.31662,0.63387,0.31250,0.62556,0.27674,0.58716,-0.01887,0.47926,-0.28889,0.32559,-0.34177,0.10488,-0.38854,-0.15349,-0.30128,-0.34742,-0.18588,-0.46445,-0.04152,-0.51313,0.12052,-0.50926,0.23934,-0.43965,0.15817,-0.38429,0.74085,-0.39223,0.71831,-0.37690,0.35118,-0.30555,0.10322,-0.19604,-0.12375,0.00261,-0.21999,0.18400,-0.14658,0.36675,-0.11766,0.51134,-0.11409,0.66260,0.07383,0.81067,0.16561,0.89073,0.16384,0.88505,0.10929,0.81322,0.17421,0.67654,-0.08175,0.45785,-0.23987,0.24705,-0.14813,-0.00001,-0.15076,-0.23150,0.02041,-0.40515,0.24157,-0.51558,0.35014,-0.62038,0.41788,-0.73636,0.59877,-0.67879,0.57831,-0.62343,0.36648,-0.50104,0.11111,-0.35580,0.16110,-0.28326,0.04295,-0.11252,0.00603,0.11608,0.03791,0.27130,0.05093,0.35797,0.08708,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0.55402,0.18496,0.56063,0.19375,0.56166,0.18238,0.53211,0.11951,0.47466,-0.10476,0.33954,-0.20886,0.17483,-0.15287,-0.05581,-0.14102,-0.29108,-0.07052,-0.41707,0.10545,-0.54654,0.19871,-0.59722,0.53443,-0.53447,0.37755,-0.48196,0.70704,-0.45690,0.58874,-0.36384,0.35714,-0.27314,0.07095,-0.11165,-0.09032,0.04909,-0.06000,0.22668,-0.02931,0.39314,-0.04574,0.55163,0.16778,0.64303,0.36913,0.66990,0.38216,0.65797,0.23165,0.61840,0.08743,0.52620,0.01292,0.38497,-0.12579,0.13439,-0.17132,-0.14353,-0.10493,-0.42585,-0.04001,-0.63247,0.21865,-0.71896,0.55057,-0.80337,0.77592,-0.77316,0.89627,-0.75909,0.87037,-0.62313,0.62650,-0.52719,0.18848,-0.42138,-0.01058,-0.25895,-0.00303,-0.09013,0.01226,0.10402,0.05423,0.25050,0.06705,0.33863,0.09382,0.42802,0.21372,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
