A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,L1,L2,L3,L4,L5,L6
0.63077,0.60000,0.54023,0.00826,0.38462,0.36364,0.17895,-0.21875,0.37500,0.45631,0.09474,-0.15625,0.90769,0.80000,0.74737,0.18400,0.62500,0.65049,0.43158,-0.12500,0.38462,0.47573,0.13684,-0.18750,0.93846,0.90385,0.86667,0.20000,0.50769,0.82524,0.64211,0.10938,0.38462,0.55340,0.32632,-0.09375,2,2,1,2,2,2
0.38462,0.36364,0.21839,-0.23967,0.38462,0.36364,0.09474,-0.15625,0.25000,0.45631,0.09474,-0.21875,0.63077,0.54545,0.43158,-0.10400,0.37500,0.47573,0.13684,-0.18750,0.38462,0.39806,0.13684,-0.23438,0.50769,0.80769,0.73333,0.13600,0.38462,0.55340,0.32632,-0.09375,0.38462,0.39806,0.13684,-0.21875,2,2,1,2,2,2
0.38462,0.36364,0.12644,-0.17355,0.26154,0.36364,0.09474,-0.21875,0.37500,0.30097,0.09474,-0.21875,0.38462,0.38182,0.13684,-0.16800,0.37500,0.39806,0.13684,-0.23438,0.38462,0.39806,0.13684,-0.18750,0.38462,0.53846,0.40000,-0.07200,0.38462,0.39806,0.13684,-0.21875,0.38462,0.39806,0.13684,-0.21875,2,2,1,2,2,2
0.26154,0.36364,0.12644,-0.23967,0.38462,0.21818,0.09474,-0.21875,0.25000,0.30097,0.01053,-0.26562,0.38462,0.30909,0.13684,-0.21600,0.37500,0.39806,0.13684,-0.18750,0.13846,0.39806,0.13684,-0.18750,0.38462,0.38462,0.20000,-0.20000,0.38462,0.39806,0.13684,-0.21875,0.38462,0.47573,0.13684,-0.21875,2,2,1,2,2,2
0.38462,0.21818,0.12644,-0.23967,0.26154,0.21818,0.01053,-0.26562,0.25000,0.45631,0.09474,-0.21875,0.38462,0.30909,0.13684,-0.16800,0.12500,0.39806,0.13684,-0.18750,0.13846,0.39806,0.22105,-0.12500,0.38462,0.38462,0.20000,-0.20000,0.38462,0.47573,0.13684,-0.21875,0.23077,0.55340,0.24211,-0.09375,2,2,1,2,2,2
0.26154,0.21818,0.03448,-0.28926,0.26154,0.36364,0.09474,-0.21875,0.12500,0.45631,0.09474,-0.21875,0.13846,0.30909,0.13684,-0.16800,0.12500,0.39806,0.22105,-0.12500,0.13846,0.47573,0.43158,-0.07812,0.38462,0.46154,0.20000,-0.20000,0.23077,0.55340,0.24211,-0.09375,0.23077,0.55340,0.24211,-0.09375,2,2,1,2,2,2
0.13846,0.36364,0.21839,-0.17355,0.13846,0.36364,0.17895,-0.09375,0.25000,0.37864,0.17895,-0.21875,0.26154,0.45455,0.43158,-0.05600,0.25000,0.65049,0.43158,-0.07812,0.26154,0.55340,0.32632,-0.12500,0.23077,0.53846,0.40000,-0.07200,0.23077,0.47573,0.13684,-0.15625,0.23077,0.47573,0.13684,-0.21875,2,2,1,2,2,2
0.13846,0.36364,0.21839,-0.10744,0.26154,0.29091,0.17895,-0.21875,0.12500,0.30097,0.09474,-0.26562,0.26154,0.54545,0.43158,-0.05600,0.25000,0.55340,0.32632,-0.12500,0.26154,0.32039,0.05263,-0.23438,0.23077,0.46154,0.20000,-0.13600,0.23077,0.47573,0.13684,-0.21875,0.23077,0.32039,0.05263,-0.21875,2,2,1,2,2,2
0.13846,0.21818,0.03448,-0.28926,0.13846,0.29091,0.09474,-0.32812,0.12500,0.30097,-0.15789,-0.26562,0.13846,0.16364,0.13684,-0.28000,0.12500,0.32039,0.05263,-0.23438,0.13846,0.24272,0.05263,-0.29688,0.10769,0.23077,0.02222,-0.32800,0.23077,0.16505,-0.09474,-0.34375,0.23077,0.16505,-0.09474,-0.40625,2,2,2,1,2,2
0.13846,0.29091,0.12644,-0.35537,0.13846,0.21818,-0.15789,-0.26562,0.12500,0.20388,-0.07368,-0.26562,0.13846,0.23636,0.05263,-0.21600,0.12500,0.24272,0.05263,-0.29688,0.13846,0.16505,0.05263,-0.29688,0.23077,0.15385,-0.04444,-0.32800,0.23077,0.16505,-0.09474,-0.40625,0.10769,0.16505,-0.03158,-0.34375,2,2,2,1,2,2
0.01538,0.21818,-0.14943,-0.35537,0.01538,0.12727,-0.07368,-0.26562,0.00000,0.20388,0.01053,-0.26562,0.13846,0.09091,-0.13684,-0.28000,0.12500,0.16505,-0.13684,-0.40625,-0.01538,0.16505,-0.22105,-0.35938,0.10769,0.23077,0.02222,-0.32800,0.10769,0.16505,-0.09474,-0.40625,-0.01538,0.16505,-0.17895,-0.40625,2,2,2,1,2,2
-0.10769,0.12727,-0.24138,-0.35537,-0.10769,0.05455,-0.15789,-0.26562,-0.12500,0.30097,-0.07368,-0.21875,-0.10769,0.01818,-0.22105,-0.39200,-0.12500,0.08738,-0.22105,-0.40625,-0.01538,0.08738,-0.22105,-0.35938,-0.01538,-0.07692,-0.31111,-0.39200,-0.01538,-0.06796,-0.34737,-0.48438,-0.13846,-0.06796,-0.26316,-0.34375,3,3,3,1,3,2
-0.10769,0.05455,-0.14943,-0.28926,-0.10769,0.21818,-0.07368,-0.21875,0.12500,0.30097,0.28421,-0.21875,-0.10769,0.01818,-0.22105,-0.39200,-0.03125,0.08738,-0.22105,-0.35938,0.13846,0.24272,-0.13684,-0.29688,-0.01538,-0.07692,-0.31111,-0.47200,-0.13846,-0.06796,-0.26316,-0.34375,-0.13846,-0.06796,-0.03158,-0.21875,3,3,3,1,3,2
-0.10769,0.21818,-0.05747,-0.23967,0.13846,0.21818,0.28421,-0.21875,0.25000,0.37864,0.17895,-0.15625,-0.01538,0.01818,-0.22105,-0.34400,0.12500,0.24272,-0.13684,-0.29688,0.13846,0.32039,0.13684,-0.18750,-0.13846,-0.07692,-0.22222,-0.32800,-0.13846,-0.06796,-0.03158,-0.21875,0.10769,0.08738,-0.03158,-0.15625,3,3,3,1,3,2
0.26154,0.21818,0.12644,-0.17355,0.26154,0.36364,0.28421,-0.09375,0.37500,0.53398,0.36842,-0.03125,0.38462,0.38182,0.13684,-0.10400,0.37500,0.47573,0.22105,-0.12500,0.50769,0.55340,0.43158,-0.07812,0.23077,0.38462,0.20000,-0.13600,0.38462,0.39806,0.32632,-0.09375,0.38462,0.39806,0.24211,-0.09375,2,2,1,2,2,2
0.50769,0.43636,0.42529,-0.10744,0.50769,0.52727,0.28421,-0.03125,0.50000,0.53398,0.36842,-0.09375,0.50769,0.45455,0.43158,0.00800,0.50000,0.65049,0.32632,-0.07812,0.50769,0.47573,0.32632,-0.07812,0.50769,0.53846,0.40000,-0.07200,0.50769,0.55340,0.13684,-0.09375,0.50769,0.55340,0.24211,-0.15625,2,2,1,2,2,2
0.38462,0.29091,0.33333,-0.17355,0.26154,0.12727,0.36842,-0.09375,0.50000,0.45631,0.17895,-0.09375,0.50769,0.38182,0.22105,-0.10400,0.37500,0.39806,0.22105,-0.12500,0.50769,0.39806,0.13684,-0.12500,0.38462,0.38462,0.31111,-0.13600,0.50769,0.47573,0.24211,-0.09375,0.50769,0.47573,0.24211,-0.09375,2,2,1,2,2,2
0.26154,0.12727,0.42529,-0.10744,0.50769,0.36364,0.17895,-0.09375,0.62500,0.70874,0.28421,-0.03125,0.38462,0.30909,0.22105,-0.10400,0.50000,0.39806,0.13684,-0.12500,0.50769,0.47573,0.32632,-0.07812,0.50769,0.46154,0.31111,-0.07200,0.50769,0.47573,0.24211,-0.09375,0.38462,0.47573,0.32632,-0.09375,2,2,1,2,2,2
0.63077,0.60000,0.42529,0.00826,0.63077,0.52727,0.47368,-0.03125,0.37500,0.53398,0.28421,-0.09375,0.50769,0.54545,0.43158,0.00800,0.50000,0.65049,0.51579,-0.07812,0.63077,0.65049,0.64211,-0.01562,0.50769,0.61538,0.40000,0.00800,0.66154,0.55340,0.24211,-0.01562,0.66154,0.63107,0.32632,-0.01562,2,2,1,2,2,2
0.38462,0.43636,0.33333,-0.10744,0.38462,0.29091,0.28421,-0.09375,0.37500,0.37864,0.17895,-0.03125,0.63077,0.54545,0.32632,-0.05600,0.50000,0.47573,0.32632,-0.12500,0.78462,0.55340,0.32632,-0.07812,0.50769,0.61538,0.51111,0.00800,0.66154,0.55340,0.32632,-0.09375,0.66154,0.55340,0.32632,-0.09375,2,2,1,2,2,2
0.38462,0.29091,0.21839,-0.04132,0.38462,0.36364,0.28421,-0.09375,0.37500,0.53398,0.28421,-0.09375,0.78462,0.45455,0.32632,-0.05600,0.62500,0.65049,0.43158,-0.01562,0.63077,0.65049,0.43158,-0.01562,0.66154,0.53846,0.40000,-0.07200,0.66154,0.55340,0.24211,-0.09375,0.50769,0.55340,0.24211,-0.01562,2,2,1,2,2,2
0.38462,0.43636,0.33333,-0.10744,0.50769,0.52727,0.36842,-0.03125,0.50000,0.63107,0.47368,-0.09375,0.63077,0.54545,0.43158,0.00800,0.62500,0.55340,0.32632,-0.01562,0.63077,0.55340,0.43158,-0.07812,0.50769,0.53846,0.31111,0.00800,0.50769,0.55340,0.24211,-0.09375,0.50769,0.55340,0.24211,-0.09375,2,2,1,2,2,2
0.50769,0.52727,0.42529,-0.04132,0.50769,0.52727,0.47368,-0.09375,0.50000,0.63107,0.36842,-0.09375,0.63077,0.45455,0.32632,0.00800,0.62500,0.55340,0.43158,-0.07812,0.50769,0.55340,0.43158,-0.07812,0.50769,0.53846,0.31111,-0.07200,0.50769,0.55340,0.24211,-0.09375,0.50769,0.55340,0.24211,-0.09375,2,2,1,2,2,2
0.50769,0.52727,0.42529,-0.10744,0.63077,0.43636,0.17895,-0.09375,0.50000,0.53398,0.17895,-0.09375,0.50769,0.45455,0.43158,-0.05600,0.50000,0.55340,0.43158,-0.07812,0.50769,0.47573,0.22105,-0.12500,0.50769,0.53846,0.31111,-0.07200,0.50769,0.47573,0.24211,-0.09375,0.66154,0.47573,0.24211,-0.09375,2,2,1,2,2,2
0.63077,0.43636,0.21839,-0.10744,0.50769,0.43636,0.17895,-0.09375,0.37500,0.53398,0.28421,-0.15625,0.50769,0.45455,0.43158,-0.05600,0.50000,0.47573,0.22105,-0.12500,0.50769,0.47573,0.32632,-0.01562,0.50769,0.46154,0.31111,-0.07200,0.66154,0.47573,0.24211,-0.09375,0.50769,0.55340,0.24211,-0.09375,2,2,1,2,2,2
0.50769,0.29091,0.21839,-0.17355,0.38462,0.29091,0.17895,-0.15625,0.50000,0.53398,0.09474,-0.15625,0.50769,0.45455,0.32632,-0.05600,0.50000,0.47573,0.22105,-0.18750,0.50769,0.47573,0.22105,-0.07812,0.50769,0.61538,0.40000,0.00800,0.50769,0.55340,0.32632,-0.09375,0.50769,0.55340,0.32632,-0.09375,2,2,1,2,2,2
0.38462,0.29091,0.21839,-0.17355,0.50769,0.43636,0.09474,-0.15625,0.50000,0.45631,0.09474,-0.15625,0.50769,0.38182,0.22105,-0.16800,0.50000,0.47573,0.22105,-0.07812,0.38462,0.39806,0.13684,-0.12500,0.50769,0.53846,0.40000,-0.07200,0.50769,0.55340,0.32632,-0.09375,0.50769,0.55340,0.24211,-0.15625,2,2,1,2,2,2
0.50769,0.36364,0.12644,-0.17355,0.50769,0.29091,0.17895,-0.15625,0.37500,0.45631,0.17895,-0.15625,0.38462,0.30909,0.13684,-0.10400,0.37500,0.47573,0.22105,-0.18750,0.50769,0.39806,0.13684,-0.12500,0.50769,0.53846,0.31111,-0.13600,0.38462,0.39806,0.13684,-0.09375,0.23077,0.39806,0.05263,-0.21875,2,2,1,2,2,2
0.50769,0.52727,0.21839,-0.10744,0.50769,0.43636,0.28421,-0.09375,0.37500,0.53398,0.17895,-0.09375,0.50769,0.23636,0.13684,-0.16800,0.37500,0.39806,0.22105,-0.12500,0.50769,0.47573,0.32632,-0.12500,0.50769,0.30769,0.11111,-0.13600,0.50769,0.47573,0.05263,-0.15625,0.50769,0.47573,0.24211,-0.15625,2,2,1,2,2,2
0.38462,0.43636,0.21839,-0.10744,0.38462,0.43636,0.28421,-0.03125,0.37500,0.53398,0.36842,-0.09375,0.50769,0.38182,0.32632,-0.10400,0.50000,0.55340,0.32632,-0.12500,0.50769,0.47573,0.22105,-0.12500,0.50769,0.46154,0.31111,-0.13600,0.50769,0.47573,0.32632,-0.15625,0.38462,0.47573,0.13684,-0.15625,2,2,1,2,2,2
0.38462,0.43636,0.42529,-0.10744,0.50769,0.43636,0.28421,-0.09375,0.50000,0.53398,0.17895,-0.09375,0.50769,0.38182,0.22105,-0.10400,0.50000,0.47573,0.32632,-0.12500,0.50769,0.39806,0.13684,-0.12500,0.38462,0.46154,0.20000,-0.13600,0.38462,0.39806,0.24211,-0.15625,0.38462,0.47573,0.13684,-0.15625,2,2,1,2,2,2
0.50769,0.43636,0.33333,-0.10744,0.50769,0.43636,0.17895,-0.09375,0.37500,0.53398,0.17895,-0.09375,0.50769,0.38182,0.32632,-0.10400,0.50000,0.39806,0.13684,-0.12500,0.38462,0.39806,0.13684,-0.12500,0.38462,0.38462,0.31111,-0.13600,0.38462,0.47573,0.13684,-0.15625,0.50769,0.39806,0.05263,-0.21875,2,2,1,2,2,2
0.50769,0.43636,0.21839,-0.10744,0.38462,0.43636,0.17895,-0.09375,0.37500,0.45631,0.28421,-0.15625,0.50769,0.30909,0.13684,-0.10400,0.37500,0.39806,0.13684,-0.12500,0.38462,0.39806,0.13684,-0.18750,0.38462,0.46154,0.20000,-0.13600,0.50769,0.39806,0.05263,-0.21875,0.38462,0.39806,0.13684,-0.21875,3,3,1,2,3,3
0.38462,0.36364,0.33333,-0.17355,0.38462,0.29091,0.01053,-0.15625,0.25000,0.37864,0.09474,-0.15625,0.38462,0.30909,0.13684,-0.16800,0.37500,0.39806,0.05263,-0.18750,0.26154,0.24272,-0.03158,-0.23438,0.38462,0.38462,0.20000,-0.20000,0.23077,0.32039,0.05263,-0.21875,0.23077,0.39806,0.05263,-0.15625,3,3,1,2,3,3
0.38462,0.29091,0.03448,-0.17355,0.26154,0.29091,0.09474,-0.15625,0.25000,0.30097,0.09474,-0.15625,0.38462,0.30909,0.05263,-0.16800,0.25000,0.24272,-0.03158,-0.23438,0.26154,0.16505,-0.03158,-0.29688,0.23077,0.30769,0.11111,-0.20000,0.23077,0.39806,0.05263,-0.15625,0.23077,0.32039,0.05263,-0.15625,3,3,1,2,3,3
0.26154,0.21818,0.12644,-0.17355,0.13846,0.12727,0.01053,-0.21875,-0.12500,-0.02913,-0.07368,-0.21875,0.26154,0.09091,-0.03158,-0.28000,-0.03125,-0.06796,-0.22105,-0.23438,-0.35385,-0.47573,-0.22105,-0.29688,0.23077,0.30769,0.11111,-0.13600,0.23077,0.24272,0.13684,-0.21875,0.10769,0.00971,-0.03158,-0.21875,2,2,2,2,1,2
0.13846,0.12727,0.03448,-0.23967,-0.10769,-0.09091,-0.07368,-0.21875,-0.37500,-0.32039,-0.41053,-0.26562,-0.01538,-0.12727,-0.22105,-0.21600,-0.37500,-0.47573,-0.22105,-0.29688,-0.47692,-0.33981,-0.22105,-0.23438,0.23077,0.23077,0.20000,-0.20000,0.10769,0.00971,-0.03158,-0.21875,0.10769,0.08738,-0.03158,-0.21875,2,2,2,2,1,2
-0.35385,-0.36364,-0.42529,-0.28926,-0.23077,-0.16364,-0.15789,-0.26562,0.25000,0.30097,0.17895,-0.15625,-0.47692,-0.38182,-0.22105,-0.21600,-0.03125,0.00971,0.05263,-0.18750,0.26154,0.32039,0.05263,-0.12500,0.10769,0.07692,0.02222,-0.20000,0.38462,0.39806,0.13684,-0.15625,0.38462,0.39806,0.13684,-0.15625,2,2,2,2,1,2
