A1,A2,A3,A4,A5,A6,A7,A8,A9,L1,L2,L3,L4,L5,L6,L7
-0.53535,-0.02142,-0.12500,0.01403,-0.30769,0.02560,-0.01961,0.28732,0.21543,2,1,2,2,2,2,2
-0.43434,-0.02567,0.10938,0.01403,-0.39744,0.02753,0.09804,0.42857,0.32476,2,2,2,1,2,2,2
-0.47475,-0.02567,-0.04688,0.01403,-0.23077,0.02523,0.00654,0.22953,0.15113,1,2,2,2,2,2,2
-0.79798,-0.02567,-0.14062,0.01403,-0.30769,0.02694,0.15033,0.28732,0.17042,1,2,2,2,2,2,2
-0.79798,-0.02567,-0.09375,0.01403,-0.28846,0.02368,0.18954,0.28090,0.15113,1,2,2,2,2,2,2
0.17172,-0.02567,0.04688,0.01300,-0.37821,0.02568,-0.33333,0.39968,0.40193,2,2,2,2,1,2,2
-0.41414,-0.02567,-0.06250,0.01403,-0.41026,0.02642,-0.04575,0.40931,0.34405,2,2,2,1,2,2,2
-0.43434,-0.02587,0.15625,0.01326,-0.22436,0.02531,0.15033,0.26485,0.15113,1,2,2,2,2,2,2
-0.47475,-0.02405,-0.12500,0.01403,-0.30769,0.02560,-0.07190,0.28732,0.22186,2,2,2,1,2,2,2
-0.79798,-0.02567,0.25000,0.01223,-0.30769,0.02560,0.46405,0.36758,0.17042,1,2,2,2,2,2,2
-0.79798,-0.02567,-0.10938,0.01352,-0.35897,0.02560,0.17647,0.34189,0.22186,1,2,2,2,2,2,2
-0.63636,-0.02567,-0.01562,0.01403,-0.25000,0.02709,0.12418,0.25201,0.14469,1,2,2,2,2,2,2
-0.77778,-0.02526,-0.12500,0.01403,-0.27564,0.02612,0.13725,0.25522,0.14469,1,2,2,2,2,2,2
-0.79798,-0.02567,-0.10938,0.01403,-0.40385,0.02598,0.16340,0.39326,0.27331,1,2,2,2,2,2,2
-0.71717,-0.02567,0.23438,0.01403,-0.27564,0.02501,0.39869,0.32905,0.15113,1,2,2,2,2,2,2
-0.71717,-0.02567,0.06250,0.01429,-0.27564,0.02442,0.25490,0.29374,0.15113,1,2,2,2,2,2,2
-0.59596,-0.02567,0.00000,0.01352,-0.25000,0.02531,0.12418,0.25843,0.14469,1,2,2,2,2,2,2
-0.55556,-0.02567,-0.09375,0.01403,-0.25000,0.02523,0.01961,0.23596,0.15113,1,2,2,2,2,2,2
-0.55556,-0.02506,-0.04688,0.01403,-0.23718,0.02590,0.05882,0.23917,0.14469,1,2,2,2,2,2,2
-0.79798,-0.08994,0.31250,0.01352,-0.28205,0.02531,0.51634,0.35474,0.14469,1,2,2,2,2,2,2
-0.65657,-0.02506,-0.12500,0.01403,-0.25641,0.02575,0.05882,0.23917,0.14469,1,2,2,2,2,2,2
0.59596,-0.02526,0.35938,0.01403,-0.17308,0.02560,-0.35948,0.25522,0.26045,2,2,2,2,1,2,2
