A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,L1,L2,L3,L4,L5
5,7,35,1.40000,0.40000,0.65700,2.33000,14,23,6,0.99600,0.00000,0.00000,0.00000,0.00400
6,7,42,1.16700,0.42900,0.88100,3.60000,18,37,5,0.99800,0.00000,0.00000,0.00000,0.00200
6,18,108,3.00000,0.28700,0.74100,4.43000,31,80,7,0.99400,0.00200,0.00000,0.00000,0.00400
5,7,35,1.40000,0.37100,0.74300,4.33000,13,26,3,0.98600,0.00000,0.00000,0.00000,0.01400
6,3,18,500.00000,0.50000,0.94400,2.25000,9,17,4,0.85700,0.10400,0.00000,0.00100,0.03800
5,8,40,1.60000,0.55000,1.00000,2.44000,22,40,9,1.00000,0.00000,0.00000,0.00000,0.00000
6,4,24,0.66700,0.41700,0.70800,2.50000,10,17,4,0.99800,0.00000,0.00000,0.00000,0.00200
5,6,30,1.20000,0.33300,0.33300,10.00000,10,10,1,0.93600,0.05000,0.00000,0.00000,0.01400
5,5,25,1.00000,0.40000,0.52000,10.00000,10,13,1,0.97600,0.00400,0.00000,0.00000,0.02000
5,2,10,0.40000,0.80000,1.00000,8.00000,8,10,1,0.81322,0.00000,0.00000,0.17895,0.00783
5,3,15,0.60000,0.53300,0.73300,8.00000,8,11,1,0.98120,0.00000,0.00000,0.00280,0.01600
5,6,30,1.20000,0.43300,0.73300,13.00000,13,22,1,0.96200,0.02800,0.00000,0.00200,0.00800
5,7,35,1.40000,0.42900,0.85700,5.00000,15,30,3,0.99000,0.00200,0.00000,0.00000,0.00800
6,7,42,1.16700,0.40500,0.88100,4.25000,1,737,4,0.89150,0.02800,0.00000,0.00050,0.08000
5,8,40,1.60000,0.37500,0.47500,15.00000,15,19,1,0.93400,0.03000,0.00000,0.00000,0.03600
6,7,42,1.16700,0.40500,0.95200,4.25000,17,40,4,0.99400,0.00200,0.00000,0.00000,0.00400
5,19,95,3.80000,0.23200,0.40000,5.50000,22,38,4,0.83800,0.09600,0.00000,0.01400,0.05200
5,5,25,1.00000,0.40000,0.56000,5.00000,10,14,2,0.96600,0.00000,0.00000,0.00000,0.03400
4,6,24,1.50000,0.41700,0.50000,10.00000,10,12,1,0.95800,0.01600,0.00000,0.00000,0.02600
4,6,24,1.50000,0.45800,0.79200,5.50000,11,19,2,0.94400,0.00400,0.00000,0.00000,0.05200
4,18,72,4.50000,0.25000,0.52800,2.57000,18,38,7,0.97400,0.01600,0.00000,0.00000,0.01000
5,7,35,1.40000,0.42900,0.88600,2.50000,15,31,6,1.00000,0.00000,0.00000,0.00000,0.00000
5,4,20,0.80000,0.50000,0.80000,10.00000,10,16,1,0.99400,0.00400,0.00000,0.00200,0.00000
13,25,325,1.92300,0.23400,0.28600,10.86000,76,93,7,0.81800,0.08200,0.00000,0.00200,0.09800
13,25,325,1.92300,0.35100,0.68000,6.00000,114,221,19,1.00000,0.00000,0.00000,0.00000,0.00000
7,16,112,2.28600,0.32100,0.64300,2.57000,36,72,14,1.00000,0.00000,0.00000,0.00000,0.00000
7,103,721,14.71400,0.29500,0.69100,1.76000,213,498,121,1.00000,0.00000,0.00000,0.00000,0.00000
11,9,99,0.81800,0.34300,0.62600,3.40000,34,62,10,1.00000,0.00000,0.00000,0.00000,0.00000
11,8,88,0.72700,0.58000,1.00000,5.10000,51,88,10,1.00000,0.00000,0.00000,0.00000,0.00000
11,8,88,0.72700,0.40900,0.47700,36.00000,36,42,1,0.99200,0.00000,0.00000,0.00000,0.00800
11,8,88,0.72700,0.60200,1.00000,5.89000,53,88,9,1.00000,0.00000,0.00000,0.00000,0.00000
11,35,385,3.18200,0.38200,0.65700,6.13000,147,253,24,1.00000,0.00000,0.00000,0.00000,0.00000
3,113,339,37.66700,0.41000,0.47200,13.90000,139,160,10,0.02200,0.97400,0.00000,0.00000,0.00400
3,59,177,19.66700,0.47500,0.47500,84.00000,84,84,1,0.03600,0.96200,0.00000,0.00200,0.00000
2,20,40,10.00000,0.67500,0.67500,27.00000,27,27,1,0.00760,0.99200,0.00000,0.00040,0.00000
2,101,202,50.50000,0.54000,0.74300,10.90000,109,150,10,0.00800,0.99200,0.00000,0.00000,0.00000
10,38,380,3.80000,0.42600,0.94700,3.12000,162,360,52,1.00000,0.00000,0.00000,0.00000,0.00000
9,21,189,2.33300,0.42900,0.77200,3.00000,81,146,27,1.00000,0.00000,0.00000,0.00000,0.00000
10,98,980,9.80000,0.37900,0.83500,2.22000,371,818,167,1.00000,0.00000,0.00000,0.00000,0.00000
9,50,450,5.55600,0.49600,0.95800,2.69000,223,431,83,1.00000,0.00000,0.00000,0.00000,0.00000
4,194,776,48.50000,0.26300,0.27300,34.00000,204,212,6,0.04400,0.92800,0.00000,0.00200,0.02600
2,22,44,11.00000,0.75000,0.75000,33.00000,33,33,1,0.00067,0.99800,0.00000,0.00133,0.00000
2,18,36,9.00000,0.80600,0.83300,29.00000,29,30,1,0.01067,0.98800,0.00000,0.00133,0.00000
2,22,44,11.00000,0.70500,0.86400,15.50000,31,38,2,0.01200,0.98600,0.00000,0.00200,0.00000
10,66,660,6.60000,0.27300,0.66100,1.94000,180,436,93,1.00000,0.00000,0.00000,0.00000,0.00000
9,90,810,10.00000,0.26000,0.78600,2.18000,211,637,97,1.00000,0.00000,0.00000,0.00000,0.00000
9,22,198,2.44400,0.28800,0.81800,2.48000,57,162,23,1.00000,0.00000,0.00000,0.00000,0.00000
9,92,828,10.22200,0.28600,0.88500,1.93000,237,733,123,1.00000,0.00000,0.00000,0.00000,0.00000
9,12,108,1.33300,0.44400,0.98100,1.71000,48,106,28,1.00000,0.00000,0.00000,0.00000,0.00000
9,51,459,5.66700,0.29600,0.78600,2.34000,136,361,58,1.00000,0.00000,0.00000,0.00000,0.00000
9,80,720,8.88900,0.33300,0.87800,2.02000,240,632,119,1.00000,0.00000,0.00000,0.00000,0.00000
8,95,760,11.87500,0.30300,0.93700,1.77000,230,712,130,1.00000,0.00000,0.00000,0.00000,0.00000
10,53,530,5.30000,0.29400,0.81900,1.79000,156,434,87,1.00000,0.00000,0.00000,0.00000,0.00000
9,92,828,10.22200,0.29200,0.84300,2.05000,242,698,118,1.00000,0.00000,0.00000,0.00000,0.00000
