A1,A2,A3,A4,A5,A6,A7,L1,L2,L3,L4,L5,L6,L7,L8
49.00000,29.00000,48.00000,5.00000,56.00000,24.00000,35.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
7.00000,4.00000,48.00000,5.00000,54.00000,35.00000,44.00000,0.94000,0.02000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04000
56.00000,4.00000,48.00000,5.00000,49.00000,37.00000,46.00000,0.90000,0.00000,0.00000,0.00000,0.00000,0.02000,0.00000,0.08000
59.00000,49.00000,48.00000,5.00000,52.00000,45.00000,36.00000,0.64000,0.00000,0.04000,0.00000,0.10000,0.10000,0.00000,0.12000
23.00000,32.00000,48.00000,5.00000,55.00000,25.00000,35.00000,0.96000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04000
67.00000,39.00000,48.00000,5.00000,36.00000,38.00000,46.00000,0.76000,0.00000,0.02000,0.00000,0.04000,0.00000,0.00000,0.18000
29.00000,28.00000,48.00000,5.00000,44.00000,23.00000,34.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
21.00000,34.00000,48.00000,5.00000,51.00000,28.00000,39.00000,0.98000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02000
2.00000,44.00000,48.00000,5.00000,46.00000,51.00000,57.00000,0.96000,0.00000,0.00000,0.00000,0.02000,0.00000,0.00000,0.02000
42.00000,4.00000,48.00000,5.00000,56.00000,18.00000,3.00000,0.94000,0.04000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02000
42.00000,24.00000,48.00000,5.00000,57.00000,27.00000,37.00000,0.98000,0.02000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
25.00000,48.00000,48.00000,5.00000,44.00000,17.00000,29.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
39.00000,32.00000,48.00000,5.00000,46.00000,24.00000,35.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
51.00000,5.00000,48.00000,5.00000,46.00000,32.00000,35.00000,0.98000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02000
22.00000,43.00000,48.00000,5.00000,48.00000,16.00000,28.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
25.00000,4.00000,48.00000,5.00000,46.00000,44.00000,52.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
34.00000,45.00000,48.00000,5.00000,38.00000,24.00000,35.00000,0.98000,0.02000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
44.00000,27.00000,48.00000,5.00000,55.00000,52.00000,58.00000,0.96000,0.00000,0.00000,0.00000,0.00000,0.02000,0.00000,0.02000
23.00000,4.00000,48.00000,5.00000,39.00000,28.00000,38.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
41.00000,57.00000,48.00000,5.00000,39.00000,21.00000,32.00000,0.94000,0.00000,0.00000,0.00000,0.00000,0.04000,0.00000,0.02000
4.00000,45.00000,48.00000,5.00000,38.00000,22.00000,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
31.00000,23.00000,48.00000,5.00000,73.00000,5.00000,14.00000,0.80000,0.14000,0.00000,0.00000,0.00000,0.06000,0.00000,0.00000
51.00000,54.00000,48.00000,5.00000,41.00000,34.00000,43.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3.00000,16.00000,48.00000,5.00000,56.00000,11.00000,23.00000,0.96000,0.04000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
36.00000,39.00000,48.00000,5.00000,48.00000,22.00000,23.00000,0.94000,0.00000,0.00000,0.00000,0.02000,0.00000,0.00000,0.04000
29.00000,37.00000,48.00000,5.00000,48.00000,44.00000,52.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
25.00000,4.00000,48.00000,5.00000,47.00000,33.00000,42.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
21.00000,51.00000,48.00000,5.00000,5.00000,32.00000,41.00000,0.96000,0.02000,0.00000,0.00000,0.02000,0.00000,0.00000,0.00000
43.00000,37.00000,48.00000,5.00000,53.00000,35.00000,44.00000,0.96000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04000
43.00000,39.00000,48.00000,5.00000,47.00000,31.00000,41.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
53.00000,38.00000,48.00000,5.00000,44.00000,26.00000,36.00000,0.98000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02000
34.00000,33.00000,48.00000,5.00000,38.00000,35.00000,44.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
56.00000,51.00000,48.00000,5.00000,34.00000,37.00000,46.00000,0.88000,0.02000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000
4.00000,29.00000,48.00000,5.00000,42.00000,35.00000,44.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
24.00000,35.00000,48.00000,5.00000,31.00000,19.00000,31.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
36.00000,54.00000,48.00000,5.00000,41.00000,38.00000,46.00000,0.98000,0.02000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
29.00000,52.00000,48.00000,5.00000,42.00000,29.00000,39.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
65.00000,47.00000,48.00000,5.00000,59.00000,3.00000,4.00000,0.88000,0.02000,0.00000,0.00000,0.02000,0.02000,0.00000,0.06000
