A1,A2,A3,A4,A5,A6,A7,A8,A9,L1,L2,L3,L4,L5,L6
1.52101,13.64000,4.49000,1.10000,71.78000,0.06000,8.75000,0.00000,0.00000,0.84500,0.07500,0.07500,0.00000,0.00500,0.00000
1.51761,13.89000,3.60000,1.36000,72.73000,0.48000,7.83000,0.00000,0.00000,0.85500,0.07500,0.05500,0.00000,0.01000,0.00500
1.51618,13.53000,3.55000,1.54000,72.99000,0.39000,7.78000,0.00000,0.00000,0.65000,0.33500,0.01500,0.00000,0.00000,0.00000
1.51766,13.21000,3.69000,1.29000,72.61000,0.57000,8.22000,0.00000,0.00000,0.83000,0.16000,0.01000,0.00000,0.00000,0.00000
1.51742,13.27000,3.62000,1.24000,73.08000,0.55000,8.07000,0.00000,0.00000,0.91500,0.08500,0.00000,0.00000,0.00000,0.00000
1.51596,12.79000,3.61000,1.62000,72.97000,0.64000,8.07000,0.00000,0.26000,0.71500,0.28500,0.00000,0.00000,0.00000,0.00000
1.51743,13.30000,3.60000,1.14000,73.09000,0.58000,8.17000,0.00000,0.00000,0.96000,0.03500,0.00500,0.00000,0.00000,0.00000
1.51756,13.15000,3.61000,1.05000,73.24000,0.57000,8.24000,0.00000,0.00000,0.94000,0.05000,0.01000,0.00000,0.00000,0.00000
1.51918,14.04000,3.58000,1.37000,72.08000,0.56000,8.30000,0.00000,0.00000,0.85000,0.11500,0.03000,0.00000,0.00500,0.00000
1.51755,13.00000,3.60000,1.36000,72.99000,0.57000,8.40000,0.00000,0.11000,0.96500,0.02500,0.01000,0.00000,0.00000,0.00000
1.51571,12.72000,3.46000,1.56000,73.20000,0.67000,8.09000,0.00000,0.24000,0.74500,0.24500,0.01000,0.00000,0.00000,0.00000
1.51763,12.80000,3.66000,1.27000,73.01000,0.60000,8.56000,0.00000,0.00000,0.95500,0.04000,0.00500,0.00000,0.00000,0.00000
1.51589,12.88000,3.43000,1.40000,73.28000,0.69000,8.05000,0.00000,0.24000,0.73500,0.23000,0.03500,0.00000,0.00000,0.00000
1.51748,12.86000,3.56000,1.27000,73.21000,0.54000,8.38000,0.00000,0.17000,0.93500,0.05500,0.01000,0.00000,0.00000,0.00000
1.51763,12.61000,3.59000,1.31000,73.29000,0.58000,8.50000,0.00000,0.00000,0.98500,0.01500,0.00000,0.00000,0.00000,0.00000
1.51761,12.81000,3.54000,1.23000,73.24000,0.58000,8.39000,0.00000,0.00000,0.97500,0.02000,0.00500,0.00000,0.00000,0.00000
1.51784,12.68000,3.67000,1.16000,73.11000,0.61000,8.70000,0.00000,0.00000,0.93000,0.05500,0.01500,0.00000,0.00000,0.00000
1.52196,14.36000,3.85000,0.89000,71.36000,0.15000,9.15000,0.00000,0.00000,0.80500,0.00500,0.17500,0.00000,0.00500,0.01000
1.51911,13.90000,3.73000,1.18000,72.12000,0.06000,8.89000,0.00000,0.00000,0.89000,0.02500,0.07000,0.00000,0.01500,0.00000
1.51735,13.02000,3.54000,1.69000,72.73000,0.54000,8.44000,0.00000,0.07000,0.76000,0.17000,0.07000,0.00000,0.00000,0.00000
1.51750,12.82000,3.55000,1.49000,72.75000,0.54000,8.52000,0.00000,0.19000,0.78000,0.20500,0.01500,0.00000,0.00000,0.00000
1.51966,14.77000,3.75000,0.29000,72.02000,0.03000,9.00000,0.00000,0.00000,0.76000,0.00000,0.17500,0.00000,0.05000,0.01500
1.51736,12.78000,3.62000,1.29000,72.79000,0.59000,8.70000,0.00000,0.00000,0.93500,0.05000,0.01500,0.00000,0.00000,0.00000
1.51751,12.81000,3.57000,1.35000,73.02000,0.62000,8.59000,0.00000,0.00000,0.96500,0.03000,0.00500,0.00000,0.00000,0.00000
1.51720,13.38000,3.50000,1.15000,72.85000,0.50000,8.43000,0.00000,0.00000,0.86500,0.04500,0.09000,0.00000,0.00000,0.00000
1.51764,12.98000,3.54000,1.21000,73.00000,0.65000,8.53000,0.00000,0.00000,0.94500,0.04500,0.01000,0.00000,0.00000,0.00000
1.51793,13.21000,3.48000,1.41000,72.64000,0.59000,8.43000,0.00000,0.00000,0.76000,0.18500,0.05500,0.00000,0.00000,0.00000
1.51721,12.87000,3.48000,1.33000,73.04000,0.56000,8.43000,0.00000,0.00000,0.93500,0.03500,0.03000,0.00000,0.00000,0.00000
1.51768,12.56000,3.52000,1.43000,73.15000,0.57000,8.54000,0.00000,0.00000,0.81500,0.17500,0.00500,0.00500,0.00000,0.00000
1.51784,13.08000,3.49000,1.28000,72.86000,0.60000,8.49000,0.00000,0.00000,0.98000,0.01000,0.01000,0.00000,0.00000,0.00000
1.51768,12.65000,3.56000,1.30000,73.08000,0.61000,8.69000,0.00000,0.14000,0.98500,0.01000,0.00500,0.00000,0.00000,0.00000
1.51747,12.84000,3.50000,1.14000,73.27000,0.56000,8.55000,0.00000,0.00000,0.98500,0.01000,0.00500,0.00000,0.00000,0.00000
1.51775,12.85000,3.48000,1.23000,72.97000,0.61000,8.56000,0.09000,0.22000,0.93000,0.07000,0.00000,0.00000,0.00000,0.00000
1.51753,12.57000,3.47000,1.38000,73.39000,0.60000,8.55000,0.00000,0.06000,0.98500,0.01500,0.00000,0.00000,0.00000,0.00000
1.51783,12.69000,3.54000,1.34000,72.95000,0.57000,8.75000,0.00000,0.00000,0.99000,0.00000,0.01000,0.00000,0.00000,0.00000
1.51567,13.29000,3.45000,1.21000,72.74000,0.56000,8.57000,0.00000,0.00000,0.69500,0.08000,0.22000,0.00000,0.00000,0.00500
1.51909,13.89000,3.53000,1.32000,71.81000,0.51000,8.78000,0.11000,0.00000,0.91500,0.03500,0.04500,0.00000,0.00500,0.00000
1.51797,12.74000,3.48000,1.35000,72.96000,0.64000,8.68000,0.00000,0.00000,0.97000,0.03000,0.00000,0.00000,0.00000,0.00000
1.52213,14.21000,3.82000,0.47000,71.77000,0.11000,9.57000,0.00000,0.00000,0.91000,0.00000,0.09000,0.00000,0.00000,0.00000
1.52213,14.21000,3.82000,0.47000,71.77000,0.11000,9.57000,0.00000,0.00000,0.91000,0.00000,0.09000,0.00000,0.00000,0.00000
1.51793,12.79000,3.50000,1.12000,73.03000,0.64000,8.77000,0.00000,0.00000,0.94000,0.05000,0.01000,0.00000,0.00000,0.00000
1.51755,12.71000,3.42000,1.20000,73.20000,0.59000,8.64000,0.00000,0.00000,0.97000,0.01500,0.01000,0.00000,0.00000,0.00500
1.51779,13.21000,3.39000,1.33000,72.76000,0.59000,8.59000,0.00000,0.00000,0.93000,0.01500,0.05000,0.00000,0.00000,0.00500
1.52210,13.73000,3.84000,0.72000,71.76000,0.17000,9.74000,0.00000,0.00000,0.95500,0.00500,0.04000,0.00000,0.00000,0.00000
1.51786,12.73000,3.43000,1.19000,72.95000,0.62000,8.76000,0.00000,0.30000,0.89500,0.10500,0.00000,0.00000,0.00000,0.00000
1.51900,13.49000,3.48000,1.35000,71.95000,0.55000,9.00000,0.00000,0.00000,0.91500,0.03500,0.04000,0.00000,0.00000,0.01000
1.51869,13.19000,3.37000,1.18000,72.72000,0.57000,8.83000,0.00000,0.16000,0.84000,0.11500,0.03000,0.00000,0.00000,0.01500
1.52667,13.99000,3.70000,0.71000,71.57000,0.02000,9.82000,0.00000,0.10000,0.89000,0.04500,0.05500,0.00000,0.00000,0.01000
1.52223,13.21000,3.77000,0.79000,71.99000,0.13000,10.02000,0.00000,0.00000,0.95500,0.04000,0.00500,0.00000,0.00000,0.00000
1.51898,13.58000,3.35000,1.23000,72.08000,0.59000,8.91000,0.00000,0.00000,0.80500,0.04500,0.06500,0.00500,0.00000,0.08000
1.52320,13.72000,3.72000,0.51000,71.75000,0.09000,10.06000,0.00000,0.16000,0.88500,0.04000,0.05500,0.00500,0.00000,0.01500
1.51926,13.20000,3.33000,1.28000,72.36000,0.60000,9.14000,0.00000,0.11000,0.89500,0.03500,0.02000,0.00000,0.00000,0.05000
1.51808,13.43000,2.87000,1.19000,72.84000,0.55000,9.03000,0.00000,0.00000,0.88000,0.06000,0.03000,0.00000,0.00000,0.03000
