A1,A2,A3,A4,L1,L2,L3
5.10000,3.50000,1.40000,0.20000,1.00000,0.00000,0.00000
4.90000,3.00000,1.40000,0.20000,1.00000,0.00000,0.00000
4.70000,3.20000,1.30000,0.20000,1.00000,0.00000,0.00000
4.60000,3.10000,1.50000,0.20000,1.00000,0.00000,0.00000
5.00000,3.60000,1.40000,0.20000,1.00000,0.00000,0.00000
5.40000,3.90000,1.70000,0.40000,1.00000,0.00000,0.00000
4.60000,3.40000,1.40000,0.30000,1.00000,0.00000,0.00000
5.00000,3.40000,1.50000,0.20000,1.00000,0.00000,0.00000
4.40000,2.90000,1.40000,0.20000,1.00000,0.00000,0.00000
4.90000,3.10000,1.50000,0.10000,1.00000,0.00000,0.00000
5.40000,3.70000,1.50000,0.20000,1.00000,0.00000,0.00000
4.80000,3.40000,1.60000,0.20000,1.00000,0.00000,0.00000
4.80000,3.00000,1.40000,0.10000,1.00000,0.00000,0.00000
4.30000,3.00000,1.10000,0.10000,1.00000,0.00000,0.00000
5.80000,4.00000,1.20000,0.20000,0.99200,0.00800,0.00000
5.70000,4.40000,1.50000,0.40000,0.99600,0.00400,0.00000
5.40000,3.90000,1.30000,0.40000,1.00000,0.00000,0.00000
5.10000,3.50000,1.40000,0.30000,1.00000,0.00000,0.00000
5.70000,3.80000,1.70000,0.30000,0.99600,0.00400,0.00000
5.10000,3.80000,1.50000,0.30000,1.00000,0.00000,0.00000
5.40000,3.40000,1.70000,0.20000,0.99600,0.00400,0.00000
5.10000,3.70000,1.50000,0.40000,1.00000,0.00000,0.00000
4.60000,3.60000,1.00000,0.20000,1.00000,0.00000,0.00000
5.10000,3.30000,1.70000,0.50000,1.00000,0.00000,0.00000
4.80000,3.40000,1.90000,0.20000,1.00000,0.00000,0.00000
5.00000,3.00000,1.60000,0.20000,0.99800,0.00200,0.00000
5.00000,3.40000,1.60000,0.40000,1.00000,0.00000,0.00000
5.20000,3.50000,1.50000,0.20000,1.00000,0.00000,0.00000
5.20000,3.40000,1.40000,0.20000,1.00000,0.00000,0.00000
4.70000,3.20000,1.60000,0.20000,1.00000,0.00000,0.00000
4.80000,3.10000,1.60000,0.20000,1.00000,0.00000,0.00000
5.40000,3.40000,1.50000,0.40000,0.99600,0.00400,0.00000
