A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,L1,L2,L3,L4,L5,L6,L7
218.00000,178.00000,0.11111,0.00000,0.83333,0.54772,1.11111,0.54433,59.62963,52.44444,75.22222,51.22222,-21.55555,46.77778,-25.22222,75.22222,0.31900,-2.04055,0.00000,0.00000,0.00000,0.06600,0.00000,0.93400,0.00000
113.00000,130.00000,0.00000,0.00000,0.27778,0.25092,0.33333,0.36515,0.88889,0.00000,2.55556,0.11111,-2.66667,5.00000,-2.33333,2.55556,1.00000,-2.12325,0.00000,0.00000,0.98400,0.00000,0.01600,0.00000,0.00000
202.00000,41.00000,0.00000,0.00000,0.94445,0.77220,1.11111,1.02560,123.03704,111.88889,139.77779,117.44444,-33.44444,50.22222,-16.77778,139.77779,0.19935,-2.29992,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
32.00000,173.00000,0.00000,0.00000,1.72222,1.78159,9.00000,6.74949,43.59259,39.55556,52.88889,38.33334,-12.11111,27.88889,-15.77778,52.88889,0.26691,-1.99886,0.00000,0.00000,0.00000,0.01000,0.00000,0.99000,0.00000
61.00000,197.00000,0.00000,0.00000,1.44444,1.51535,2.61111,1.92546,49.59259,44.22222,61.55556,43.00000,-16.11111,35.88889,-19.77778,61.55556,0.30292,-2.02227,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
149.00000,185.00000,0.00000,0.00000,1.55556,1.06805,3.05556,1.92546,49.33333,45.33333,59.55556,43.11111,-12.00000,30.66667,-18.66667,59.55556,0.27589,-1.95277,0.00000,0.00000,0.00000,0.00200,0.00000,0.99800,0.00000
197.00000,229.00000,0.00000,0.00000,1.38889,1.57407,1.16667,0.56667,17.74074,14.11111,17.88889,21.22222,-10.88889,0.44444,10.44444,21.22222,0.33572,2.65160,0.00000,0.00000,0.00000,0.00200,0.00000,0.00000,0.99800
29.00000,111.00000,0.00000,0.00000,0.38889,0.24074,0.61111,0.15185,5.40741,6.88889,6.33333,3.00000,4.44444,2.77778,-7.22222,6.88889,0.56415,-0.89786,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1.00000,81.00000,0.00000,0.00000,12.16667,267.45554,9.22222,205.36296,21.33333,14.00000,30.55555,19.44445,-22.00000,27.66667,-5.66667,30.55555,0.59528,-2.43841,0.00200,0.00000,0.98600,0.00200,0.00800,0.00200,0.00000
69.00000,85.00000,0.11111,0.00000,3.11111,8.20741,3.94444,9.44074,21.44445,20.44445,28.11111,15.77778,-3.00000,20.00000,-17.00000,28.11111,0.43740,-1.65988,0.97200,0.00000,0.02000,0.00400,0.00200,0.00200,0.00000
152.00000,83.00000,0.00000,0.00000,4.44444,1.32777,0.94444,0.68041,26.51852,23.33333,33.22222,23.00000,-9.55556,20.11111,-10.55556,33.22222,0.30741,-2.06324,0.01000,0.00000,0.00600,0.80000,0.18000,0.00400,0.00000
248.00000,153.00000,0.00000,0.00000,0.27778,0.06296,0.11111,0.02963,0.37037,0.00000,1.11111,0.00000,-1.11111,2.22222,-1.11111,1.11111,0.88889,-2.09440,0.00000,0.00000,0.11000,0.00000,0.89000,0.00000,0.00000
137.00000,141.00000,0.00000,0.00000,0.05556,0.13608,0.05556,0.13608,0.03704,0.00000,0.11111,0.00000,-0.11111,0.22222,-0.11111,0.11111,0.11111,-2.09440,0.00000,0.00000,0.10000,0.00000,0.90000,0.00000,0.00000
86.00000,197.00000,0.11111,0.11111,1.61111,1.45169,1.27778,1.10386,63.22222,56.22222,77.77778,55.66667,-21.00000,43.66667,-22.66667,77.77778,0.28533,-2.06802,0.00000,0.00000,0.00000,0.02400,0.00000,0.97600,0.00000
