A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
-3639,418,-670,1779,-168,1627,-388,529,-874,-814,0.91400,0.06600,0.01000,0.00200,0.00000,0.00000,0.00000,0.00000,0.00400,0.00400,0.00000
-3327,496,-694,1365,-265,1933,-363,510,-621,-488,0.11400,0.86200,0.01000,0.00600,0.00000,0.00200,0.00000,0.00000,0.00200,0.00400,0.00000
-2120,894,-1576,147,-707,1559,-579,676,-809,-49,0.00000,0.00400,0.95600,0.01800,0.00200,0.00800,0.00000,0.00000,0.00800,0.00000,0.00400
-2287,1809,-1498,1012,-1053,1060,-567,235,-91,-795,0.00000,0.00000,0.00200,0.90400,0.03400,0.01200,0.00400,0.00000,0.00400,0.00000,0.04000
-2598,1938,-846,1062,-1633,764,394,-150,277,-396,0.00200,0.00400,0.00400,0.02800,0.68800,0.24800,0.00600,0.00000,0.00200,0.00600,0.01200
-2852,1914,-755,825,-1588,855,217,-246,238,-365,0.00000,0.00200,0.00000,0.00400,0.10800,0.86200,0.00400,0.00000,0.00400,0.00000,0.01600
-3482,2524,-433,1048,-1995,902,322,450,377,-366,0.00200,0.00000,0.00000,0.00000,0.01200,0.00200,0.85000,0.03800,0.08000,0.01400,0.00200
-3941,2305,124,1771,-1815,593,-435,992,575,-301,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01600,0.95400,0.02200,0.00400,0.00400
-3860,2116,-939,688,-675,1679,-512,928,-167,-434,0.00400,0.00400,0.00200,0.00200,0.01000,0.00200,0.02200,0.00400,0.90000,0.03800,0.01200
-3648,1812,-1378,1578,65,1577,-466,702,60,-836,0.01400,0.00000,0.00000,0.00800,0.00400,0.00000,0.00200,0.00000,0.04000,0.91600,0.01600
-3032,1739,-1141,737,-834,1386,-575,679,-18,-823,0.00000,0.00000,0.00400,0.02600,0.02600,0.00800,0.00400,0.00000,0.02600,0.00600,0.90000
-3653,373,-600,1705,-222,1765,-353,537,-797,-813,0.94000,0.04000,0.00400,0.00200,0.00000,0.00000,0.00000,0.00000,0.00400,0.01000,0.00000
-3237,436,-860,1363,-251,1915,-395,751,-774,-327,0.05200,0.93200,0.00600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00600,0.00400,0.00000
-2135,954,-1632,121,-704,1600,-628,713,-903,-27,0.00000,0.01200,0.94400,0.02000,0.00200,0.00800,0.00000,0.00000,0.01000,0.00000,0.00400
-2304,1784,-1506,981,-961,806,-294,-2,119,-760,0.00400,0.00000,0.00200,0.87800,0.03400,0.06200,0.00000,0.00000,0.00000,0.00200,0.01800
-2540,2144,-1024,933,-1567,1024,188,-47,309,-633,0.00000,0.00200,0.00200,0.02200,0.88400,0.04800,0.02000,0.00000,0.00800,0.00400,0.01000
-2826,2003,-738,801,-1669,939,245,-257,256,-458,0.00400,0.00200,0.00000,0.00400,0.17200,0.79600,0.00600,0.00000,0.00000,0.00200,0.01400
-3582,2374,-358,1162,-1953,621,339,355,415,-259,0.00400,0.00000,0.00000,0.00200,0.00000,0.00200,0.84600,0.09600,0.03400,0.01600,0.00000
-3951,2250,127,1772,-1906,567,-432,1045,598,-293,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01200,0.95000,0.02800,0.00800,0.00200
-3783,1974,-1200,606,-650,1504,-134,528,392,-580,0.00400,0.00000,0.00200,0.00400,0.01200,0.01000,0.02200,0.00600,0.80400,0.12800,0.00800
-3673,1811,-1405,1621,44,1572,-453,745,-66,-733,0.00200,0.00200,0.00000,0.00400,0.00000,0.00000,0.00000,0.00200,0.03000,0.95600,0.00400
