A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,L1,L2,L3,L4
1.49432,0.71839,-0.55277,-0.41354,0.56887,2.26164,-0.09134,0.55411,0.94571,0.08035,-0.15402,-0.98566,0.06588,-0.60974,-1.18692,-0.44997,3.00236,-0.94197,1.52699,1.32771,0.45894,0.63200,-0.49006,2.87770,-1.24096,-0.40419,0.52721,0.22793,-0.24968,-0.63276,-0.11602,0.06199,0.68632,0.66190,-1.05917,1.05486,0.09362,-0.64504,0.53869,-0.51839,1.41061,-0.77165,0.41375,-0.67368,0.71541,-0.25029,-0.72850,-0.10745,-0.17382,-0.42307,-0.33343,0.25387,-0.48397,0.03655,0.00356,-0.73720,0.17741,-0.38706,0.42049,1.15176,0.87325,0.25674,0.07968,0.28629,1.84419,-0.20971,-1.04159,-1.01090,-0.90621,-1.34263,0.95400,0.03200,0.00800,0.00600
0.42452,0.24360,-0.55277,0.04483,-0.83244,0.42036,-0.35532,0.92033,1.63195,-0.43354,-0.40506,-0.73763,1.74469,-0.14942,0.10208,-0.44997,0.62105,0.98669,0.04335,0.29070,0.23375,0.19054,-0.49006,1.62368,-1.43525,-0.72367,-0.54538,1.14950,-0.01335,0.13672,-0.11602,-0.40766,1.08302,0.30530,-0.30317,1.05486,-0.56690,-0.27726,0.75209,0.12117,0.30978,-0.28076,0.18603,-0.46125,0.71541,0.71749,2.31205,1.04610,0.69632,-0.42307,-0.04378,0.25387,-0.48397,0.74313,-0.74478,-0.08596,0.25511,-0.78403,-0.54178,0.29023,1.25826,-0.26861,0.81604,0.57089,-0.11015,-0.01331,-0.10472,0.77196,-0.90621,-1.34263,0.89600,0.09600,0.00200,0.00600
1.49432,-1.65554,-0.55277,-0.41354,-1.08722,-0.68440,2.28447,-0.36142,0.03073,1.36508,1.60322,0.25453,1.46489,0.77120,0.61767,0.46190,-0.96649,2.91534,0.25530,-1.26483,0.00857,1.51490,1.81884,0.05614,-0.65808,0.55425,0.66128,-0.69364,0.57749,0.79628,-0.11602,0.53163,1.08302,0.30530,-0.11417,-0.12211,0.48993,1.56166,-0.38602,-0.51839,1.04367,-0.77165,0.41375,-0.24881,1.15619,0.47554,2.31205,0.27707,2.00152,-1.47709,-0.94492,-0.20136,-0.03472,-0.31674,0.00356,-0.30304,0.09970,-0.78403,-0.54178,0.09141,-0.08927,1.04475,-0.28850,0.28629,0.28072,-0.01331,0.08266,-0.50151,0.63447,-1.34263,0.95000,0.02800,0.00400,0.01800
0.91080,-0.46858,-0.55277,-0.29895,0.44148,0.05211,-0.35532,1.28654,0.94571,0.97966,0.59908,-0.24155,-0.49373,-0.60974,-0.92912,0.91783,-0.96649,1.95101,1.31504,-1.00557,1.58487,0.19054,-0.81990,1.05936,-1.14381,-0.72367,-0.00909,-1.15443,0.10482,-0.96254,1.05957,-0.87731,0.68632,-0.76451,-0.77567,0.17214,-0.03848,-0.27726,1.10775,0.33436,-0.79104,0.21013,-0.26943,-0.46125,1.15619,-0.25029,-1.23526,-0.10745,1.13139,-0.57365,0.08496,1.84716,-0.03472,-0.67003,0.00356,-0.08596,-0.13342,-0.78403,-0.54178,0.22395,0.68075,-0.79395,0.44786,1.42468,0.67158,-0.40611,1.39428,-0.24682,-0.39265,-1.34263,0.93200,0.06200,0.00400,0.00200
-0.15901,-0.94336,-0.55277,-0.06976,-0.32287,0.78862,2.54844,0.73722,-0.65550,0.46577,1.85426,-0.98566,0.34568,1.23151,-0.41352,0.00596,-0.96649,1.95101,0.67920,0.29070,-0.21662,0.19054,1.65392,0.11884,-1.14381,-0.08471,1.59981,0.22793,0.10482,0.24665,2.23516,-0.87731,-0.10708,1.01850,-0.68117,0.46638,0.75414,0.09052,1.60567,-1.15795,0.67672,1.68279,2.23555,-0.03637,-0.16614,0.95943,1.29853,0.66159,-1.04396,-1.02537,0.31024,1.16432,-1.38248,-0.67003,0.00356,-0.52012,-0.83279,0.00991,-0.54178,0.02514,-0.28178,0.51941,-0.28850,2.27847,-0.50102,-0.20971,1.20691,1.28134,-0.90621,-1.34263,0.88400,0.08800,0.00000,0.02800
-0.35352,-0.23118,-0.55277,-0.41354,-0.95983,-0.31615,2.81242,-0.36142,1.17446,-0.04812,0.34805,0.25453,1.18509,0.31089,3.19566,-0.90591,-0.17272,-0.45980,-1.01640,-1.00557,-0.66699,-0.69236,0.99424,0.11884,-0.65808,2.15164,-1.48391,-1.15443,1.16833,0.24665,-0.70382,0.53163,-0.10708,0.30530,-0.01966,-0.41635,2.07518,0.09052,-0.10150,-0.30521,0.67672,-0.28076,-0.26943,-0.03637,1.59697,1.20137,-0.72850,0.27707,-0.60889,0.48037,-0.59090,-0.65659,-1.38248,0.38984,-0.74478,0.13113,-0.59967,0.40688,-0.54178,-0.63758,0.29574,0.25674,-1.39305,0.57089,1.06245,-0.40611,0.64478,-0.24682,-0.05028,-1.34263,0.88200,0.03200,0.00800,0.07800
0.32727,-0.23118,-0.55277,0.96157,-0.83244,-0.31615,0.43662,0.55411,1.17446,-0.17659,0.09701,0.99864,0.34568,-0.14942,1.64887,-0.44997,-0.96649,0.98669,0.04335,-0.22781,-0.10402,0.63200,0.66439,-0.06926,-0.94952,-0.40419,-1.21576,-0.23286,-0.13152,2.22531,0.47177,-0.87731,-0.90047,0.66190,-0.01966,0.76062,-0.17059,-0.27726,0.39643,-0.09202,1.04367,1.19191,-0.26943,-0.67368,-0.16614,1.20137,1.29853,1.43062,-0.17382,0.17922,-0.49435,-0.65659,-0.48397,-0.31674,0.75190,-0.30304,-1.06591,0.40688,-0.06064,0.29023,-0.66678,-0.53128,-0.28850,-0.85210,0.28072,0.77228,-0.66684,0.26257,-0.22146,-1.34263,0.84000,0.11800,0.00200,0.04000
0.71629,-0.70597,0.69022,-0.52814,0.63256,0.05211,0.43662,0.73722,-1.11299,1.10813,-0.15402,-1.23370,1.46489,-1.07005,-0.67132,-0.44997,0.62105,-0.94197,0.25530,0.03144,0.68412,-0.25091,-1.14975,1.56097,-0.17235,-0.72367,-0.67946,0.22793,0.22299,-0.41291,-0.70382,0.06199,-0.90047,0.30530,-0.68117,-1.29907,0.09362,0.09052,1.03662,-0.09202,-0.05716,2.17368,-0.95260,-0.67368,0.71541,0.23360,-0.72850,0.27707,0.26125,-0.72422,-0.07596,-0.65659,0.41453,-1.02332,0.00356,-0.08596,0.79907,0.40688,-1.02291,-0.43877,0.10323,-1.05662,-0.65669,-0.28290,1.06245,0.37949,0.08266,-0.50151,-0.05028,-1.34263,0.94200,0.04000,0.00600,0.01200
0.32727,0.71839,-0.55277,-0.18436,-0.45026,-0.31615,0.96457,-1.09385,0.94571,-0.69048,0.34805,-0.48959,0.62548,0.77120,0.87547,-0.90591,-0.17272,0.02236,0.04335,0.29070,0.34635,0.63200,0.99424,1.31017,-1.14381,0.23477,-0.27724,0.22793,0.45932,0.35657,-0.11602,-0.40766,1.08302,-0.76451,-0.01966,-0.71059,1.81097,-0.27726,-0.52829,-0.51839,0.30978,-0.28076,0.18603,-0.46125,-1.04770,1.20137,-0.72850,1.81514,-0.17382,-1.02537,-0.84837,-0.20136,-0.93323,-0.31674,-0.74478,1.43362,0.72136,0.00991,-0.06064,-0.23995,0.10323,0.51941,0.81604,0.28629,-0.89188,-0.60251,-0.29209,1.79073,-0.05028,-1.34263,0.85800,0.10400,0.01600,0.02200
2.27236,-0.23118,-0.55277,-0.06976,-0.83244,0.42036,0.96457,0.00479,1.86069,0.20883,-0.65609,-0.48959,0.06588,-0.14942,0.61767,2.28564,-0.96649,-0.94197,0.25530,-1.26483,-0.55440,-0.25091,-0.32514,0.80856,0.31339,0.23477,1.33166,-0.23286,0.81383,0.02680,2.82296,-0.40766,-1.29717,-0.40791,-0.58667,0.46638,1.41466,0.45831,-0.10150,-0.73158,0.67672,-0.77165,0.64148,-0.24881,0.27464,-0.00834,-0.22174,0.66159,-1.04396,-0.27250,-0.33343,-0.42897,0.41453,3.21616,0.00356,-0.73720,-0.13342,-0.38706,0.42049,0.09141,-0.66678,0.25674,-1.39305,0.28629,-0.11015,-0.01331,0.08266,0.26257,-0.56383,-1.34263,0.93400,0.03200,0.00400,0.03000
