A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,L1,L2,L3,L4,L5
-0.99004,-0.97826,-0.99961,-0.99481,-0.26582,0.26866,-0.99946,-0.99921,-0.99931,-0.99689,0.99600,0.00000,0.00000,0.00000,0.00400
-0.98755,-0.97826,-0.99951,-0.99568,-0.20464,0.74627,-0.99895,-0.99897,-0.99870,-0.99751,0.99800,0.00000,0.00000,0.00000,0.00200
-0.98755,-0.93841,-0.99860,-0.98885,-0.50422,0.44776,-0.99862,-0.99818,-0.99683,-0.99626,0.99400,0.00200,0.00000,0.00000,0.00400
-0.99004,-0.97826,-0.99961,-0.99481,-0.32700,0.45203,-0.99866,-0.99927,-0.99918,-0.99875,0.98600,0.00000,0.00000,0.00000,0.01400
-0.98755,-0.99275,-0.99985,0.86220,-0.05485,0.88060,-0.99950,-0.99952,-0.99957,-0.99813,0.85700,0.10400,0.00000,0.00100,0.03800
-0.99004,-0.97464,-0.99954,-0.99407,0.05063,1.00000,-0.99942,-0.99873,-0.99857,-0.99502,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98755,-0.98913,-0.99976,-0.99754,-0.22996,0.37740,-0.99939,-0.99945,-0.99957,-0.99813,0.99800,0.00000,0.00000,0.00000,0.00200
-0.99004,-0.98188,-0.99968,-0.99556,-0.40717,-0.42217,-0.99637,-0.99945,-0.99987,-1.00000,0.93600,0.05000,0.00000,0.00000,0.01400
-0.99004,-0.98551,-0.99975,-0.99630,-0.26582,-0.02345,-0.99637,-0.99945,-0.99974,-1.00000,0.97600,0.00400,0.00000,0.00000,0.02000
-0.99004,-0.99638,-0.99996,-0.99854,0.57806,1.00000,-0.99717,-0.99958,-0.99987,-1.00000,0.81322,0.00000,0.00000,0.17895,0.00783
-0.99004,-0.99275,-0.99989,-0.99779,0.01477,0.43070,-0.99717,-0.99958,-0.99983,-1.00000,0.98120,0.00000,0.00000,0.00280,0.01600
-0.99004,-0.98188,-0.99968,-0.99556,-0.19620,0.43070,-0.99516,-0.99927,-0.99935,-1.00000,0.96200,0.02800,0.00000,0.00200,0.00800
-0.99004,-0.97826,-0.99961,-0.99481,-0.20464,0.69510,-0.99839,-0.99915,-0.99900,-0.99875,0.99000,0.00200,0.00000,0.00000,0.00800
-0.98755,-0.97826,-0.99951,-0.99568,-0.25527,0.74627,-0.99869,-1.00000,-0.96835,-0.99813,0.89150,0.02800,0.00000,0.00050,0.08000
-0.99004,-0.97464,-0.99954,-0.99407,-0.31857,-0.11940,-0.99435,-0.99915,-0.99948,-1.00000,0.93400,0.03000,0.00000,0.00000,0.03600
-0.98755,-0.97826,-0.99951,-0.99568,-0.25527,0.89765,-0.99869,-0.99903,-0.99857,-0.99813,0.99400,0.00200,0.00000,0.00000,0.00400
-0.99004,-0.93478,-0.99878,-0.98587,-0.62025,-0.27932,-0.99818,-0.99873,-0.99866,-0.99813,0.83800,0.09600,0.00000,0.01400,0.05200
-0.99004,-0.98551,-0.99975,-0.99630,-0.26582,0.06183,-0.99839,-0.99945,-0.99970,-0.99938,0.96600,0.00000,0.00000,0.00000,0.03400
-0.99253,-0.98188,-0.99976,-0.99444,-0.22996,-0.06610,-0.99637,-0.99945,-0.99978,-1.00000,0.95800,0.01600,0.00000,0.00000,0.02600
-0.99253,-0.98188,-0.99976,-0.99444,-0.14346,0.55650,-0.99818,-0.99939,-0.99948,-0.99938,0.94400,0.00400,0.00000,0.00000,0.05200
-0.99253,-0.93841,-0.99910,-0.98327,-0.58228,-0.00640,-0.99937,-0.99897,-0.99866,-0.99626,0.97400,0.01600,0.00000,0.00000,0.01000
-0.99004,-0.97826,-0.99961,-0.99481,-0.20464,0.75693,-0.99939,-0.99915,-0.99896,-0.99689,1.00000,0.00000,0.00000,0.00000,0.00000
-0.99004,-0.98913,-0.99982,-0.99705,-0.05485,0.57356,-0.99637,-0.99945,-0.99961,-1.00000,0.99400,0.00400,0.00000,0.00200,0.00000
-0.97011,-0.91304,-0.99558,-0.99286,-0.61603,-0.52239,-0.99602,-0.99546,-0.99627,-0.99626,0.81800,0.08200,0.00000,0.00200,0.09800
-0.97011,-0.91304,-0.99558,-0.99286,-0.36920,0.31770,-0.99798,-0.99315,-0.99072,-0.98879,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98506,-0.94565,-0.99854,-0.99151,-0.43249,0.23881,-0.99937,-0.99788,-0.99718,-0.99190,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98506,-0.63043,-0.99008,-0.94522,-0.48734,0.34115,-0.99969,-0.98716,-0.97871,-0.92526,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97509,-0.97101,-0.99872,-0.99698,-0.38608,0.20256,-0.99903,-0.99800,-0.99762,-0.99439,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97509,-0.97464,-0.99887,-0.99732,0.11392,1.00000,-0.99834,-0.99697,-0.99649,-0.99439,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97509,-0.97464,-0.99887,-0.99732,-0.24684,-0.11514,-0.98587,-0.99788,-0.99848,-1.00000,0.99200,0.00000,0.00000,0.00000,0.00800
-0.97509,-0.97464,-0.99887,-0.99732,0.16034,1.00000,-0.99803,-0.99685,-0.99649,-0.99502,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97509,-0.87681,-0.99475,-0.98817,-0.30380,0.26866,-0.99793,-0.99116,-0.98933,-0.98567,1.00000,0.00000,0.00000,0.00000,0.00000
-0.99502,-0.59420,-0.99539,-0.85974,-0.24473,-0.12580,-0.99479,-0.99164,-0.99337,-0.99439,0.02200,0.97400,0.00000,0.00000,0.00400
-0.99502,-0.78986,-0.99764,-0.92678,-0.10759,-0.11940,-0.96649,-0.99497,-0.99666,-1.00000,0.03600,0.96200,0.00000,0.00200,0.00000
-0.99751,-0.93116,-0.99954,-0.96278,0.31435,0.30704,-0.98950,-0.99843,-0.99913,-1.00000,0.00760,0.99200,0.00000,0.00040,0.00000
-0.99751,-0.63768,-0.99729,-0.81194,0.02954,0.45203,-0.99600,-0.99346,-0.99380,-0.99439,0.00800,0.99200,0.00000,0.00000,0.00000
-0.97758,-0.86594,-0.99482,-0.98587,-0.21097,0.88699,-0.99914,-0.99025,-0.98469,-0.96823,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.92754,-0.99747,-0.99134,-0.20464,0.51386,-0.99919,-0.99515,-0.99397,-0.98381,1.00000,0.00000,0.00000,0.00000,0.00000
-0.97758,-0.64855,-0.98648,-0.96353,-0.31013,0.64819,-0.99951,-0.97759,-0.96484,-0.89661,1.00000,0.00000,0.00000,0.00000,0.00000
-0.98007,-0.82246,-0.99385,-0.97933,-0.06329,0.91045,-0.99932,-0.98655,-0.98162,-0.94893,1.00000,0.00000,0.00000,0.00000,0.00000
-0.99253,-0.30072,-0.98932,-0.81939,-0.55485,-0.55011,-0.98668,-0.98770,-0.99111,-0.99689,0.04400,0.92800,0.00000,0.00200,0.02600
-0.99751,-0.92391,-0.99949,-0.95906,0.47257,0.46695,-0.98708,-0.99806,-0.99887,-1.00000,0.00067,0.99800,0.00000,0.00133,0.00000
-0.99751,-0.93841,-0.99960,-0.96651,0.59072,0.64392,-0.98870,-0.99830,-0.99900,-1.00000,0.01067,0.98800,0.00000,0.00133,0.00000
-0.99751,-0.92391,-0.99949,-0.95906,0.37764,0.71002,-0.99415,-0.99818,-0.99866,-0.99938,0.01200,0.98600,0.00000,0.00200,0.00000
