A1,A2,A3,A4,A5,A6,A7,A8,A9,L1,L2,L3,L4,L5,L6
-0.68721,0.01211,-0.63137,-0.59925,-0.92233,-0.65146,-0.75598,-0.53386,-0.68838,0.91500,0.00500,0.01500,0.03000,0.02500,0.01000
-0.83166,0.24016,0.24183,-0.80550,-0.96453,-0.69825,-0.71154,-0.78042,-0.80138,0.94000,0.00000,0.06000,0.00000,0.00000,0.00000
-0.66713,0.27245,-0.51373,-0.53026,-0.86448,-0.46701,-0.67382,-0.46688,-0.61626,0.93000,0.00000,0.00500,0.00500,0.05000,0.01000
-0.79459,0.32089,0.32026,-0.77392,-0.93886,-0.53651,-0.62259,-0.76803,-0.73393,0.96500,0.00000,0.03000,0.00000,0.00000,0.00500
-0.80732,0.08880,0.16340,-0.79830,-0.96308,-0.69538,-0.71308,-0.77073,-0.78365,0.97500,0.00000,0.02500,0.00000,0.00000,0.00000
-0.78727,-0.20383,-0.38562,-0.81035,-0.97242,-0.76276,-0.80479,-0.76299,-0.78034,0.77000,0.02500,0.14500,0.04000,0.01000,0.01000
-0.86099,-0.23814,-0.55294,-0.89464,-0.98717,-0.82345,-0.87044,-0.84840,-0.85186,0.66000,0.14000,0.19000,0.01000,0.00000,0.00000
-0.87195,-0.18163,-0.04837,-0.86227,-0.98067,-0.78345,-0.85361,-0.81371,-0.85091,0.71000,0.02500,0.26000,0.00500,0.00000,0.00000
-0.72785,0.16044,0.09281,-0.68396,-0.90694,-0.47380,-0.64257,-0.64860,-0.65483,0.98500,0.00000,0.00000,0.00000,0.01000,0.00500
-0.76270,0.19778,0.22876,-0.70737,-0.93076,-0.58345,-0.66792,-0.67080,-0.68733,0.99000,0.00000,0.00000,0.00500,0.00500,0.00000
-0.77234,0.76589,0.36209,-0.54748,-0.87900,-0.50850,-0.72179,-0.48116,-0.72322,0.99500,0.00000,0.00000,0.00500,0.00000,0.00000
-0.70560,0.24218,-0.56078,-0.61746,-0.88821,-0.46846,-0.67814,-0.56116,-0.65540,0.98500,0.00000,0.00000,0.00500,0.01000,0.00000
-0.75100,0.15641,-0.52418,-0.80599,-0.94485,-0.52284,-0.65981,-0.79895,-0.71104,0.92500,0.00000,0.05500,0.01500,0.00500,0.00000
-0.80427,0.54793,0.19216,-0.70665,-0.91979,-0.51622,-0.68404,-0.66644,-0.74989,0.99000,0.00000,0.00000,0.00500,0.00500,0.00000
-0.71623,0.25933,-0.24967,-0.55116,-0.90751,-0.62519,-0.73426,-0.48373,-0.69953,0.99000,0.00000,0.00000,0.00500,0.00500,0.00000
-0.78717,1.00000,0.01176,-0.56689,-0.88550,-0.51582,-0.70871,-0.50193,-0.74558,0.99500,0.00000,0.00000,0.00500,0.00000,0.00000
-0.87653,0.12815,-0.60784,-0.88357,-0.97829,-0.71905,-0.82822,-0.84577,-0.85271,0.78500,0.07500,0.12500,0.01000,0.00000,0.00500
-0.85391,0.02725,-0.12680,-0.85158,-0.96595,-0.63434,-0.79733,-0.81420,-0.81087,0.80000,0.01000,0.18000,0.00000,0.00000,0.01000
-0.83537,0.22704,0.32288,-0.59845,-0.93538,-0.71325,-0.87091,-0.52063,-0.75630,0.89500,0.00000,0.09000,0.00500,0.01000,0.00000
-0.85801,0.12311,1.00000,-0.66426,-0.93726,-0.66962,-0.86548,-0.59250,-0.76870,0.82000,0.00000,0.16000,0.00500,0.01500,0.00000
-0.70560,0.04238,-0.02222,-0.76041,-0.96578,-0.75973,-0.58613,-0.76285,-0.69843,0.93000,0.00500,0.02000,0.01500,0.02500,0.00500
-0.91991,-0.75984,-0.39869,-0.97872,-0.99906,-0.95881,-0.97057,-0.92602,-0.93350,0.00000,0.74500,0.07000,0.18500,0.00000,0.00000
-0.93040,-0.95560,-0.41176,-0.98286,-0.99987,-0.98432,-1.00000,-0.92517,-0.94532,0.00000,0.80500,0.04000,0.15500,0.00000,0.00000
-0.89470,0.02119,-0.44575,-0.91712,-0.98663,-0.77777,-0.84031,-0.88661,-0.87921,0.17000,0.62000,0.20000,0.01000,0.00000,0.00000
-0.81486,-0.36630,-0.41176,-0.90634,-0.98858,-0.82813,-0.83312,-0.87424,-0.81400,0.02500,0.76000,0.18500,0.02500,0.00500,0.00000
-0.89596,-0.84057,-0.50065,-0.90631,-0.99640,-0.95070,-0.99055,-0.84379,-0.89994,0.00500,0.81500,0.15000,0.03000,0.00000,0.00000
-0.88366,-0.66297,-0.72549,-0.92605,-0.99547,-0.92135,-0.95544,-0.86705,-0.89714,0.00000,0.84000,0.13500,0.02500,0.00000,0.00000
-0.89099,-0.67810,-0.80915,-0.92810,-0.99332,-0.87907,-0.95418,-0.86816,-0.88936,0.00000,0.87000,0.10500,0.02500,0.00000,0.00000
-0.92807,-0.85368,-0.31242,-0.95656,-0.99828,-0.95541,-0.98735,-0.89825,-0.93285,0.00500,0.79500,0.07500,0.12000,0.00500,0.00000
-0.81313,-0.70131,-0.43529,-0.86604,-0.98895,-0.87754,-0.90847,-0.80577,-0.82172,0.00000,0.81500,0.18000,0.00500,0.00000,0.00000
-0.87468,-0.54289,-0.73333,-0.91542,-0.99256,-0.88091,-0.94340,-0.85823,-0.88314,0.00000,0.84000,0.15000,0.01000,0.00000,0.00000
-0.82305,-0.53986,-0.47451,-0.87470,-0.98509,-0.82122,-0.90162,-0.81923,-0.81227,0.03500,0.80000,0.13000,0.03500,0.00000,0.00000
-0.95749,-0.04844,-0.13987,-0.96634,-0.99689,-0.90657,-0.89293,-0.93916,-0.95484,0.00000,0.73500,0.17000,0.09500,0.00000,0.00000
-0.85294,-0.43693,-0.61830,-0.91384,-0.99000,-0.84004,-0.90154,-0.86425,-0.84789,0.01500,0.80000,0.15000,0.03500,0.00000,0.00000
-0.96144,-0.07265,-0.30719,-0.96303,-0.99605,-0.88842,-0.91653,-0.92219,-0.95682,0.00000,0.73500,0.10500,0.16000,0.00000,0.00000
-0.96960,-0.37437,-0.57908,-1.00000,-1.00000,-0.97552,-0.95253,-0.96590,-0.97446,0.00000,0.65000,0.02500,0.32500,0.00000,0.00000
-0.94438,-0.08375,0.04575,-0.95805,-0.99520,-0.87461,-0.87023,-0.93835,-0.93439,0.01500,0.11000,0.79500,0.08000,0.00000,0.00000
-0.93178,-0.26741,0.01699,-0.96587,-0.99704,-0.91174,-0.87361,-0.95429,-0.92235,0.00000,0.04000,0.75500,0.20500,0.00000,0.00000
-0.75373,-0.62664,-0.14771,-0.80082,-0.98542,-0.88596,-0.86258,-0.74247,-0.77758,0.04000,0.07000,0.81000,0.06000,0.02000,0.00000
-0.89099,-0.79919,-0.69935,-0.90178,-0.99824,-0.98073,-0.99471,-0.83872,-0.92257,0.00500,0.25000,0.73500,0.01000,0.00000,0.00000
-0.82461,-0.80928,-0.63922,-0.86782,-0.99701,-0.97366,-0.94461,-0.80365,-0.86808,0.00000,0.14000,0.80000,0.04500,0.01500,0.00000
-0.90137,-0.35116,0.00392,-0.94481,-0.99809,-0.95946,-0.86902,-0.91553,-0.91342,0.01000,0.04000,0.85000,0.09500,0.00500,0.00000
-0.71934,-0.61756,-0.69150,-0.88616,-0.98757,-0.83991,-0.87873,-0.83651,-0.72802,0.05000,0.08000,0.79000,0.08000,0.00000,0.00000
-0.88951,-0.45812,-0.63399,-0.96379,-0.99515,-0.86195,-0.91791,-0.92273,-0.88766,0.00000,0.11500,0.69000,0.19500,0.00000,0.00000
-0.94845,-0.33602,-0.60784,-0.96571,-0.99860,-0.95662,-0.94696,-0.91600,-0.96395,0.00000,0.09500,0.70500,0.20000,0.00000,0.00000
-0.98665,-0.06458,-0.41176,-0.99082,-0.99915,-0.94687,-0.93436,-0.95976,-0.98789,0.00000,0.07500,0.64500,0.28000,0.00000,0.00000
-0.93076,-0.01413,-0.21830,-0.93306,-0.99114,-0.82947,-0.87770,-0.89494,-0.91704,0.02500,0.13500,0.79000,0.05000,0.00000,0.00000
-0.80171,-0.46620,-0.75163,-0.81553,-0.98581,-0.88074,-0.89070,-0.75279,-0.82609,0.03500,0.19000,0.75000,0.01500,0.01000,0.00000
-0.88337,-0.61453,-0.62876,-0.92495,-0.99763,-0.96162,-0.95375,-0.86766,-0.91078,0.00000,0.23500,0.73500,0.03000,0.00000,0.00000
-0.67248,-0.70333,-0.74379,-0.84453,-0.98717,-0.87439,-0.89983,-0.78549,-0.69088,0.02500,0.10500,0.74000,0.07000,0.05000,0.01000
-0.84650,-0.06155,-0.13203,-0.84889,-0.96938,-0.67713,-0.80679,-0.80842,-0.80950,0.28500,0.01000,0.67500,0.01000,0.01000,0.01000
-0.87246,-0.22099,-0.23660,-0.91031,-0.98685,-0.79415,-0.84640,-0.87499,-0.85382,0.08500,0.13000,0.78000,0.00500,0.00000,0.00000
-0.86776,0.27144,0.88758,-0.73513,-0.93997,-0.60603,-0.82054,-0.67537,-0.80234,0.36500,0.00000,0.62500,0.01000,0.00000,0.00000
-0.83389,-0.25631,-0.43529,-0.89162,-0.98172,-0.75077,-0.83532,-0.85402,-0.81651,0.22000,0.09500,0.66000,0.01000,0.00500,0.01000
-0.72746,-0.33502,-0.50327,-0.74980,-0.97033,-0.80185,-0.81505,-0.69243,-0.73554,0.11500,0.01500,0.10000,0.72500,0.04000,0.00500
-0.91101,-0.35419,-0.45359,-0.97423,-0.99855,-0.94637,-0.89496,-0.95498,-0.90799,0.00000,0.01500,0.06500,0.92000,0.00000,0.00000
-0.96366,-0.11302,0.10065,-0.97208,-0.99973,-0.98570,-0.89111,-0.95311,-0.95986,0.00500,0.08500,0.10000,0.81000,0.00000,0.00000
-0.85169,-0.70535,-0.60261,-0.99440,-0.99963,-0.96373,-0.93524,-0.96964,-0.85808,0.00000,0.06000,0.05500,0.88500,0.00000,0.00000
-0.89099,-0.56811,-0.40392,-0.98086,-0.99873,-0.94457,-0.91510,-0.95294,-0.88805,0.00000,0.03500,0.05500,0.91000,0.00000,0.00000
-0.93029,-0.30474,-0.47451,-0.97353,-0.99611,-0.86894,-0.91113,-0.94116,-0.92293,0.00000,0.01500,0.03000,0.95500,0.00000,0.00000
-0.93029,-0.30474,-0.47451,-0.97353,-0.99611,-0.86894,-0.91113,-0.94116,-0.92293,0.00000,0.01500,0.03000,0.95500,0.00000,0.00000
-0.91590,-0.39051,-0.49542,-0.93495,-0.99759,-0.95524,-0.93076,-0.88291,-0.93477,0.00500,0.14000,0.11500,0.74000,0.00000,0.00000
-0.94438,-0.20686,-0.38039,-0.96045,-0.99537,-0.87470,-0.91614,-0.91872,-0.93924,0.00000,0.13000,0.09500,0.77500,0.00000,0.00000
-0.93919,-0.20585,-0.43268,-0.96121,-0.99666,-0.90802,-0.91175,-0.92146,-0.93852,0.00000,0.10500,0.04000,0.85500,0.00000,0.00000
-0.78643,-0.73562,-0.70980,-0.96909,-0.99777,-0.92842,-0.93384,-0.92426,-0.80083,0.00000,0.09000,0.16000,0.75000,0.00000,0.00000
-0.70412,-0.69425,-0.64706,-0.93564,-0.99124,-0.82675,-0.88152,-0.89710,-0.69760,0.02000,0.15500,0.17000,0.61500,0.03500,0.00500
-0.94587,-0.55197,-0.46405,-0.99820,-0.99989,-0.97199,-0.95208,-0.96183,-0.95164,0.00000,0.13000,0.00500,0.86500,0.00000,0.00000
-0.96885,-0.39152,-0.33856,-0.99699,-0.99986,-0.97181,-0.94238,-0.96874,-0.97292,0.00000,0.04500,0.04000,0.91500,0.00000,0.00000
-0.98433,-0.30878,-0.34379,-0.99819,-0.99991,-0.97281,-0.95098,-0.96275,-0.99285,0.00000,0.06000,0.06500,0.87500,0.00000,0.00000
-1.00000,-0.15742,0.34118,-0.99213,-0.99991,-0.97909,-0.93294,-0.96478,-1.00000,0.00500,0.06000,0.06000,0.87500,0.00000,0.00000
0.20214,-0.76690,-0.83007,-0.26331,-0.96579,-0.92662,-0.70355,-0.17218,-0.01544,0.00000,0.00000,0.00500,0.00000,0.79500,0.20000
