A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,L1,L2,L3
0.68421,-0.61660,0.14439,-0.48454,0.23913,0.25517,0.14768,-0.43396,0.18612,-0.25597,-0.08943,0.94139,0.12268,1.00000,0.00000,0.00000
0.14211,-0.58893,-0.16578,-0.93814,-0.34783,0.15172,0.02110,-0.50943,-0.45110,-0.47099,-0.07317,0.56044,0.10128,0.98000,0.02000,0.00000
0.12105,-0.35968,0.40107,-0.17526,-0.32609,0.25517,0.22363,-0.35849,0.51420,-0.24915,-0.10569,0.39194,0.29387,1.00000,0.00000,0.00000
0.75789,-0.52174,0.21925,-0.36082,-0.06522,0.97931,0.32911,-0.58491,0.11672,0.11263,-0.38211,0.59707,0.71469,1.00000,0.00000,0.00000
0.16316,-0.26877,0.61497,0.07216,0.04348,0.25517,-0.00844,-0.01887,-0.11041,-0.48123,-0.08943,0.21612,-0.34807,0.83000,0.14000,0.03000
0.66842,-0.59684,0.16578,-0.52577,-0.08696,0.57931,0.28692,-0.20755,-0.01577,-0.06655,-0.07317,0.15751,0.67190,1.00000,0.00000,0.00000
0.76842,-0.55336,0.16578,-0.58763,-0.43478,0.04828,-0.08017,-0.35849,-0.00946,-0.32253,-0.12195,0.69231,0.44365,1.00000,0.00000,0.00000
0.59474,-0.44269,0.33690,-0.27835,0.10870,0.11724,-0.08439,-0.32075,-0.47003,-0.35666,-0.05691,0.69231,0.45078,0.99000,0.01000,0.00000
1.00000,-0.64427,-0.13369,-0.64948,-0.41304,0.25517,0.11392,-0.39623,-0.00946,-0.33106,-0.02439,0.15751,0.09415,1.00000,0.00000,0.00000
0.48947,-0.75889,-0.02674,-0.44330,-0.39130,0.37931,0.18565,-0.66038,-0.09148,0.01365,-0.13821,0.67033,0.09415,0.99000,0.01000,0.00000
0.61579,-0.43874,0.00535,-0.23711,-0.23913,0.35862,0.25738,-0.66038,0.24290,-0.23720,0.25203,0.39194,0.75749,0.98000,0.02000,0.00000
0.62632,-0.70751,0.02674,-0.36082,-0.45652,-0.15862,-0.11814,-0.50943,-0.26814,-0.36519,0.12195,0.13553,0.42939,0.90000,0.10000,0.00000
0.43158,-0.60870,0.12299,-0.44330,-0.58696,0.11724,0.02110,-0.39623,-0.11672,-0.26280,0.08943,0.19414,0.48645,0.97000,0.03000,0.00000
0.95789,-0.60870,0.10160,-0.91753,-0.54348,0.46207,0.41350,0.13208,0.51420,-0.29693,0.25203,0.06960,0.24394,0.98000,0.02000,0.00000
0.76316,-0.55336,0.09091,-0.85567,-0.30435,0.60000,0.39241,-0.39623,0.60883,0.06143,0.17073,0.26740,0.81027,1.00000,0.00000,0.00000
0.36842,-0.57708,0.43316,-0.31959,-0.08696,0.28966,0.08439,-0.35849,-0.33754,0.02730,0.30081,0.17949,0.47218,0.99000,0.01000,0.00000
0.72105,-0.53360,0.45455,-0.03093,0.08696,0.25517,0.18143,-0.24528,-0.01577,-0.16041,-0.04065,0.01099,0.42939,1.00000,0.00000,0.00000
0.47368,-0.67194,0.34759,-0.03093,-0.02174,0.35862,0.29114,0.01887,-0.17350,-0.09215,0.05691,-0.04762,0.21541,0.98000,0.02000,0.00000
0.66316,-0.66403,0.19786,-0.39175,-0.17391,0.60000,0.51477,-0.28302,-0.08517,0.26621,0.21951,0.13553,1.00000,1.00000,0.00000,0.00000
0.37368,-0.06719,0.28342,-0.52577,0.00000,0.18621,0.13502,-0.84906,-0.21136,-0.34812,-0.21951,0.53114,-0.19116,0.99000,0.00000,0.01000
0.59474,-0.64822,-0.01604,-0.44330,0.21739,0.39310,0.19409,-0.58491,0.06625,-0.25427,-0.00813,0.78755,-0.28388,0.99000,0.01000,0.00000
0.00000,0.20949,0.37968,-0.17526,-0.30435,-0.01379,-0.12658,-0.54717,-0.00946,-0.45051,-0.10569,0.64835,-0.29815,0.94000,0.06000,0.00000
0.41053,-0.55731,0.06952,-0.38144,-0.32609,0.12414,0.07173,-0.47170,-0.19243,-0.56997,0.02439,1.00000,0.07989,0.99000,0.01000,0.00000
-0.04211,-0.66008,0.24064,-0.25773,-0.45652,0.03448,-0.14346,-0.50943,-0.33754,-0.54778,-0.00813,0.72894,0.05136,0.92000,0.08000,0.00000
0.30000,-0.57708,0.33690,-0.03093,-0.43478,0.06897,-0.04219,-0.43396,-0.21136,-0.61775,0.04065,0.86813,-0.19116,0.94000,0.06000,0.00000
