A1,A2,A3,A4,A5,A6,A7,A8,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10
0.05618,0.10345,-0.34177,-0.74000,-1.00000,-1.00000,0.31507,-0.56000,0.78400,0.04800,0.13800,0.00000,0.00200,0.00200,0.02200,0.00000,0.00400,0.00000
-0.28090,0.24138,-0.31646,-0.46000,-1.00000,-1.00000,0.45205,-0.56000,0.70400,0.11000,0.12600,0.00600,0.02000,0.00400,0.02000,0.00200,0.00600,0.00200
0.19101,0.12644,-0.29114,-0.70000,-1.00000,-1.00000,0.45205,-0.56000,0.69200,0.04000,0.20800,0.00000,0.00400,0.00600,0.00200,0.04400,0.00400,0.00000
0.05618,-0.28736,-0.08861,-0.74000,-1.00000,-1.00000,0.47945,-0.56000,0.04600,0.68200,0.25600,0.00000,0.00000,0.00000,0.00000,0.01400,0.00200,0.00000
-0.30337,-0.28736,-0.31646,0.08000,-1.00000,-1.00000,0.31507,-0.56000,0.82000,0.03800,0.13000,0.00000,0.00000,0.00000,0.00000,0.00200,0.01000,0.00000
-0.10112,-0.37931,-0.11392,-0.66000,-1.00000,0.20482,0.34247,-0.56000,0.02400,0.05800,0.70800,0.00000,0.00000,0.00000,0.00000,0.00000,0.21000,0.00000
-0.12360,-0.05747,-0.31646,0.30000,-1.00000,-1.00000,0.45205,-0.56000,0.98200,0.00800,0.01000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.16854,-0.26437,-0.03797,-0.60000,-1.00000,-1.00000,0.58904,-0.32000,0.01800,0.88000,0.09800,0.00000,0.00000,0.00000,0.00200,0.00200,0.00000,0.00000
-0.01124,-0.14943,0.13924,-0.28000,-1.00000,-1.00000,0.34247,-0.56000,0.93200,0.02000,0.04000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00800,0.00000
-0.34831,-0.40230,-0.01266,-0.70000,-1.00000,-1.00000,0.58904,-0.40000,0.01400,0.25600,0.71800,0.00000,0.00000,0.00000,0.00400,0.00800,0.00000,0.00000
-0.28090,-0.40230,-0.16456,-0.58000,-1.00000,-1.00000,0.45205,-0.46000,0.02400,0.78000,0.18600,0.00000,0.00000,0.00000,0.00600,0.00400,0.00000,0.00000
-0.30337,-0.44828,-0.03797,-0.60000,-1.00000,-1.00000,0.42466,-0.42000,0.02800,0.86200,0.10800,0.00000,0.00000,0.00000,0.00000,0.00200,0.00000,0.00000
-0.34831,-0.33333,-0.08861,-0.30000,-1.00000,-1.00000,0.45205,-0.50000,0.08000,0.17000,0.74000,0.00000,0.00000,0.00000,0.00400,0.00400,0.00200,0.00000
0.10112,-0.37931,-0.21519,-0.08000,-1.00000,-1.00000,0.45205,-0.56000,0.79000,0.03400,0.17200,0.00000,0.00200,0.00000,0.00000,0.00000,0.00200,0.00000
0.23596,-0.03448,-0.39241,-0.62000,-1.00000,-1.00000,0.26027,-0.56000,0.67800,0.07400,0.21200,0.00000,0.01200,0.01400,0.00400,0.00400,0.00200,0.00000
-0.21348,-0.28736,-0.21519,-0.78000,-1.00000,-1.00000,0.36986,-0.56000,0.01600,0.08800,0.88400,0.00000,0.00000,0.00000,0.00200,0.00400,0.00600,0.00000
-0.19101,-0.40230,-0.26582,-0.78000,-1.00000,-1.00000,0.34247,-0.20000,0.00000,0.28000,0.71600,0.00000,0.00000,0.00000,0.00400,0.00000,0.00000,0.00000
0.05618,-0.21839,-0.16456,-0.78000,-1.00000,-1.00000,0.39726,-0.48000,0.00400,0.83200,0.14400,0.00000,0.00000,0.00000,0.00000,0.02000,0.00000,0.00000
-0.12360,-0.51724,-0.13924,-0.58000,-1.00000,-1.00000,0.34247,-0.56000,0.00400,0.80000,0.16600,0.00000,0.00200,0.00000,0.00000,0.00200,0.02600,0.00000
0.12360,0.08046,-0.13924,-0.58000,-1.00000,-1.00000,0.36986,-0.50000,0.05400,0.72600,0.21200,0.00000,0.00200,0.00200,0.00000,0.00400,0.00000,0.00000
-0.23596,-0.37931,-0.26582,-0.68000,-1.00000,-1.00000,0.36986,-0.56000,0.01400,0.07400,0.89600,0.00000,0.00000,0.00000,0.00400,0.00400,0.00800,0.00000
-0.28090,-0.28736,-0.31646,-0.56000,-1.00000,-1.00000,0.39726,-0.56000,0.02200,0.06200,0.89800,0.00000,0.00000,0.00200,0.00800,0.00600,0.00200,0.00000
