A1,A2,A3,A4,A5,A6,A7,L1,L2,L3,L4,L5,L6,L7,L8
0.10112,-0.35632,1.00000,1.00000,0.27273,-0.50538,-0.29293,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.84270,-0.93103,1.00000,1.00000,0.22727,-0.26882,-0.11111,0.94000,0.02000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04000
0.25843,-0.93103,1.00000,1.00000,0.11364,-0.22581,-0.07071,0.90000,0.00000,0.00000,0.00000,0.00000,0.02000,0.00000,0.08000
0.32584,0.10345,1.00000,1.00000,0.18182,-0.05376,-0.27273,0.64000,0.00000,0.04000,0.00000,0.10000,0.10000,0.00000,0.12000
-0.48315,-0.28736,1.00000,1.00000,0.25000,-0.48387,-0.29293,0.96000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04000
0.50562,-0.12644,1.00000,1.00000,-0.18182,-0.20430,-0.07071,0.76000,0.00000,0.02000,0.00000,0.04000,0.00000,0.00000,0.18000
-0.34831,-0.37931,1.00000,1.00000,0.00000,-0.52688,-0.31313,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.52809,-0.24138,1.00000,1.00000,0.15909,-0.41935,-0.21212,0.98000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02000
-0.95506,-0.01149,1.00000,1.00000,0.04545,0.07527,0.15152,0.96000,0.00000,0.00000,0.00000,0.02000,0.00000,0.00000,0.02000
-0.05618,-0.93103,1.00000,1.00000,0.27273,-0.63441,-0.93939,0.94000,0.04000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02000
-0.05618,-0.47126,1.00000,1.00000,0.29545,-0.44086,-0.25253,0.98000,0.02000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.43820,0.08046,1.00000,1.00000,0.00000,-0.65591,-0.41414,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.12360,-0.28736,1.00000,1.00000,0.04545,-0.50538,-0.29293,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.14607,-0.90805,1.00000,1.00000,0.04545,-0.33333,-0.29293,0.98000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02000
-0.50562,-0.03448,1.00000,1.00000,0.09091,-0.67742,-0.43434,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-0.43820,-0.93103,1.00000,1.00000,0.04545,-0.07527,0.05051,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
