A1,A2,A3,A4,L1,L2,L3
-0.55556,0.25000,-0.86441,-0.91667,1,2,2
-0.66667,-0.16667,-0.86441,-0.91667,1,2,2
-0.77778,0.00000,-0.89831,-0.91667,1,2,2
-0.83333,-0.08333,-0.83051,-0.91667,1,2,2
-0.61111,0.33333,-0.86441,-0.91667,1,2,2
-0.38889,0.58333,-0.76271,-0.75000,1,2,2
-0.83333,0.16667,-0.86441,-0.83333,1,2,2
-0.61111,0.16667,-0.83051,-0.91667,1,2,2
-0.94444,-0.25000,-0.86441,-0.91667,1,2,2
-0.66667,-0.08333,-0.83051,-1.00000,1,2,2
-0.38889,0.41667,-0.83051,-0.91667,1,2,2
-0.72222,0.16667,-0.79661,-0.91667,1,2,2
-0.72222,-0.16667,-0.86441,-1.00000,1,2,2
-1.00000,-0.16667,-0.96610,-1.00000,1,2,2
-0.16667,0.66667,-0.93220,-0.91667,1,2,2
-0.22222,1.00000,-0.83051,-0.75000,1,2,2
-0.38889,0.58333,-0.89831,-0.75000,1,2,2
-0.55556,0.25000,-0.86441,-0.83333,1,2,2
-0.22222,0.50000,-0.76271,-0.83333,1,2,2
-0.55556,0.50000,-0.83051,-0.83333,1,2,2
-0.38889,0.16667,-0.76271,-0.91667,1,2,2
-0.55556,0.41667,-0.83051,-0.75000,1,2,2
-0.83333,0.33333,-1.00000,-0.91667,1,2,2
-0.55556,0.08333,-0.76271,-0.66667,1,2,2
-0.72222,0.16667,-0.69492,-0.91667,1,2,2
-0.61111,-0.16667,-0.79661,-0.91667,1,2,2
-0.61111,0.16667,-0.79661,-0.75000,1,2,2
-0.50000,0.25000,-0.83051,-0.91667,1,2,2
-0.50000,0.16667,-0.86441,-0.91667,1,2,2
-0.77778,0.00000,-0.79661,-0.91667,1,2,2
-0.72222,-0.08333,-0.79661,-0.91667,1,2,2
-0.38889,0.16667,-0.83051,-0.75000,1,2,2
-0.50000,0.75000,-0.83051,-1.00000,1,2,2
-0.33333,0.83333,-0.86441,-0.91667,1,2,2
-0.66667,-0.08333,-0.83051,-1.00000,1,2,2
-0.61111,0.00000,-0.93220,-0.91667,1,2,2
-0.33333,0.25000,-0.89831,-0.91667,1,2,2
-0.66667,-0.08333,-0.83051,-1.00000,1,2,2
-0.94444,-0.16667,-0.89831,-0.91667,1,2,2
-0.55556,0.16667,-0.83051,-0.91667,1,2,2
-0.61111,0.25000,-0.89831,-0.83333,1,2,2
-0.88889,-0.75000,-0.89831,-0.83333,1,2,2
-0.94444,0.00000,-0.89831,-0.91667,1,2,2
-0.61111,0.25000,-0.79661,-0.58333,1,2,2
-0.55556,0.50000,-0.69492,-0.75000,1,2,2
-0.72222,-0.16667,-0.86441,-0.83333,1,2,2
-0.55556,0.50000,-0.79661,-0.91667,1,2,2
-0.83333,0.00000,-0.86441,-0.91667,1,2,2
-0.44444,0.41667,-0.83051,-0.91667,1,2,2
-0.61111,0.08333,-0.86441,-0.91667,1,2,2
0.50000,0.00000,0.25424,0.08333,2,1,2
0.16667,0.00000,0.18644,0.16667,2,1,2
0.44444,-0.08333,0.32203,0.16667,2,1,2
-0.33333,-0.75000,0.01695,0.00000,2,1,2
0.22222,-0.33333,0.22034,0.16667,2,1,2
-0.22222,-0.33333,0.18644,0.00000,2,1,2
0.11111,0.08333,0.25424,0.25000,2,1,2
-0.66667,-0.66667,-0.22034,-0.25000,2,1,2
0.27778,-0.25000,0.22034,0.00000,2,1,2
-0.50000,-0.41667,-0.01695,0.08333,2,1,2
-0.61111,-1.00000,-0.15254,-0.25000,2,1,2
-0.11111,-0.16667,0.08475,0.16667,2,1,2
-0.05556,-0.83333,0.01695,-0.25000,2,1,2
-0.00000,-0.25000,0.25424,0.08333,2,1,2
-0.27778,-0.25000,-0.11864,0.00000,2,1,2
0.33333,-0.08333,0.15254,0.08333,2,1,2
-0.27778,-0.16667,0.18644,0.16667,2,1,2
-0.16667,-0.41667,0.05085,-0.25000,2,1,2
0.05556,-0.83333,0.18644,0.16667,2,1,2
-0.27778,-0.58333,-0.01695,-0.16667,2,1,2
-0.11111,0.00000,0.28814,0.41667,2,1,1
-0.00000,-0.33333,0.01695,0.00000,2,1,2
0.11111,-0.58333,0.32203,0.16667,3,1,2
-0.00000,-0.33333,0.25424,-0.08333,2,1,2
0.16667,-0.25000,0.11864,0.00000,2,1,2
0.27778,-0.16667,0.15254,0.08333,2,1,2
0.38889,-0.33333,0.28814,0.08333,2,1,2
0.33333,-0.16667,0.35593,0.33333,3,1,2
-0.05556,-0.25000,0.18644,0.16667,2,1,2
-0.22222,-0.50000,-0.15254,-0.25000,2,1,2
-0.33333,-0.66667,-0.05085,-0.16667,2,1,2
-0.33333,-0.66667,-0.08475,-0.25000,2,1,2
-0.16667,-0.41667,-0.01695,-0.08333,2,1,2
-0.05556,-0.41667,0.38983,0.25000,3,1,2
-0.38889,-0.16667,0.18644,0.16667,2,1,2
-0.05556,0.16667,0.18644,0.25000,2,1,2
0.33333,-0.08333,0.25424,0.16667,2,1,2
0.11111,-0.75000,0.15254,0.00000,2,1,2
-0.27778,-0.16667,0.05085,0.00000,2,1,2
-0.33333,-0.58333,0.01695,0.00000,2,1,2
-0.33333,-0.50000,0.15254,-0.08333,2,1,2
-0.00000,-0.16667,0.22034,0.08333,2,1,2
-0.16667,-0.50000,0.01695,-0.08333,2,1,2
-0.61111,-0.75000,-0.22034,-0.25000,2,1,2
-0.27778,-0.41667,0.08475,0.00000,2,1,2
-0.22222,-0.16667,0.08475,-0.08333,2,1,2
-0.22222,-0.25000,0.08475,0.00000,2,1,2
0.05556,-0.25000,0.11864,0.00000,2,1,2
-0.55556,-0.58333,-0.32203,-0.16667,2,1,2
-0.22222,-0.33333,0.05085,0.00000,2,1,2
0.11111,0.08333,0.69492,1.00000,2,2,1
-0.16667,-0.41667,0.38983,0.50000,2,2,1
0.55556,-0.16667,0.66102,0.66667,2,2,1
0.11111,-0.25000,0.55932,0.41667,2,2,1
0.22222,-0.16667,0.62712,0.75000,2,2,1
0.83333,-0.16667,0.89831,0.66667,2,2,1
-0.66667,-0.58333,0.18644,0.33333,2,1,1
0.66667,-0.25000,0.79661,0.41667,2,2,1
0.33333,-0.58333,0.62712,0.41667,2,2,1
0.61111,0.33333,0.72881,1.00000,2,2,1
0.22222,0.00000,0.38983,0.58333,2,2,1
0.16667,-0.41667,0.45763,0.50000,2,2,1
0.38889,-0.16667,0.52542,0.66667,2,2,1
-0.22222,-0.58333,0.35593,0.58333,2,2,1
-0.16667,-0.33333,0.38983,0.91667,2,2,1
0.16667,0.00000,0.45763,0.83333,2,2,1
0.22222,-0.16667,0.52542,0.41667,2,2,1
0.88889,0.50000,0.93220,0.75000,2,2,1
0.88889,-0.50000,1.00000,0.83333,2,2,1
-0.05556,-0.83333,0.35593,0.16667,3,2,1
0.44444,0.00000,0.59322,0.83333,2,2,1
-0.27778,-0.33333,0.32203,0.58333,2,2,1
0.88889,-0.33333,0.93220,0.58333,2,2,1
0.11111,-0.41667,0.32203,0.41667,2,2,1
0.33333,0.08333,0.59322,0.66667,2,2,1
0.61111,0.00000,0.69492,0.41667,2,2,1
0.05556,-0.33333,0.28814,0.41667,2,2,1
-0.00000,-0.16667,0.32203,0.41667,2,2,1
0.16667,-0.33333,0.55932,0.66667,2,2,1
0.61111,-0.16667,0.62712,0.25000,3,2,1
0.72222,-0.33333,0.72881,0.50000,2,2,1
1.00000,0.50000,0.83051,0.58333,2,2,1
0.16667,-0.33333,0.55932,0.75000,2,2,1
0.11111,-0.33333,0.38983,0.16667,3,2,1
-0.00000,-0.50000,0.55932,0.08333,3,2,1
0.88889,-0.16667,0.72881,0.83333,2,2,1
0.11111,0.16667,0.55932,0.91667,2,2,1
0.16667,-0.08333,0.52542,0.41667,2,2,1
-0.05556,-0.16667,0.28814,0.41667,3,2,1
0.44444,-0.08333,0.49153,0.66667,2,2,1
0.33333,-0.08333,0.55932,0.91667,2,2,1
0.44444,-0.08333,0.38983,0.83333,2,2,1
-0.16667,-0.41667,0.38983,0.50000,2,2,1
0.38889,0.00000,0.66102,0.83333,2,2,1
0.33333,0.08333,0.59322,1.00000,2,2,1
0.33333,-0.16667,0.42373,0.83333,2,2,1
0.11111,-0.58333,0.35593,0.50000,2,2,1
0.22222,-0.16667,0.42373,0.58333,2,2,1
0.05556,0.16667,0.49153,0.83333,2,2,1
-0.11111,-0.16667,0.38983,0.41667,2,2,1
