A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
-0.55303,-0.46692,-0.06821,0.77111,-0.01011,0.55738,-0.21837,0.22859,-0.49418,-0.43693,1,2,2,2,2,2,2,2,2,2,2
-0.46432,-0.44234,-0.08051,0.54111,-0.05912,0.75087,-0.20136,0.21578,-0.32101,-0.22497,2,1,2,2,2,2,2,2,2,2,2
-0.12113,-0.31695,-0.53282,-0.13556,-0.28247,0.51439,-0.34830,0.32771,-0.44969,0.06047,2,2,1,2,2,2,2,2,2,2,2
-0.16861,-0.02867,-0.49282,0.34500,-0.45730,0.19886,-0.34014,0.03034,0.04175,-0.42458,2,2,2,1,2,2,2,2,2,2,2
-0.25704,0.01197,-0.15846,0.37278,-0.75038,0.01170,0.31361,-0.22927,0.29363,-0.16515,3,3,3,3,1,2,3,3,3,3,3
-0.32926,0.00441,-0.11179,0.24111,-0.72764,0.06924,0.19320,-0.29400,0.26694,-0.14499,2,2,2,2,2,1,2,2,2,2,2
-0.50839,0.19660,0.05333,0.36500,-0.93330,0.09896,0.26463,0.17532,0.36208,-0.14564,2,2,2,2,2,2,1,2,2,2,2
-0.63890,0.12760,0.33897,0.76667,-0.84234,-0.09643,-0.25034,0.54080,0.49760,-0.10338,2,2,2,2,2,2,2,1,2,2,2
-0.61587,0.06805,-0.20615,0.16500,-0.26630,0.59026,-0.30272,0.49764,-0.01027,-0.18986,2,2,2,2,2,2,2,2,1,2,2
-0.55559,-0.02773,-0.43128,0.65944,0.10763,0.52577,-0.27143,0.34525,0.14511,-0.45124,2,2,2,2,2,2,2,2,2,1,2
-0.38044,-0.05072,-0.30974,0.19222,-0.34664,0.40500,-0.34558,0.32974,0.09172,-0.44278,2,2,2,2,2,2,2,2,2,2,1
-0.55701,-0.48110,-0.03231,0.73000,-0.03739,0.64464,-0.19456,0.23399,-0.44148,-0.43628,1,2,2,2,2,2,2,2,2,2,2
