A1,A2,A3,A4,A5,A6,A7,A8,A9,L1,L2,L3,L4,L5
1.389727,-1.165868,0.295955,0.396339,-0.880312,0.273713,-0.794765,0.718931,0.273713,5,3,4,1,2
-0.043422,-1.491886,-1.715824,1.150636,0.921378,0.346721,-1.280248,1.335093,-1.471873,2,3,4,1,5
-0.959527,-0.350821,0.563961,0.095313,1.191113,0.739578,0.273296,-0.094541,0.259832,1,2,3,5,4
1.400137,1.42494,1.542006,1.655808,0.215918,0.847353,0.436279,1.099705,-0.65287,4,2,3,1,5
1.011486,1.230716,-0.480216,1.188697,-1.188086,1.556581,-1.342667,-0.721088,-0.295424,4,1,5,3,2
-0.602108,0.315089,-1.433897,1.475884,1.478138,0.461449,-0.243396,-0.603395,-1.617627,1,2,3,4,5
0.216835,1.345169,-1.708863,0.659305,0.765762,-1.016109,-0.770491,-0.752243,-1.322648,1,4,3,2,5
-0.064243,0.384455,0.007067,0.247556,1.43664,0.98294,-1.030571,-0.250313,1.148241,1,3,5,4,2
0.435451,-1.058351,0.793679,0.441321,0.146755,-0.066995,-0.142832,-1.659178,0.929609,2,3,4,5,1
-1.004639,0.058436,-1.628809,0.379039,0.779594,0.05121,-0.45146,0.798548,0.270243,2,4,5,1,3
-1.44187,-0.021334,-0.038181,1.081435,-0.320093,-0.032229,-0.288476,-0.541086,1.668793,4,2,3,5,1
0.817161,0.91857,0.000105,0.174895,0.132922,-0.032229,1.504341,-0.011463,-0.385653,2,4,1,3,5
0.251536,-1.557784,0.588325,-1.160696,0.828008,0.527505,-0.229525,0.483543,-1.492695,1,2,4,3,5
-0.404312,-0.357758,-0.831755,1.140256,1.671794,0.371058,1.050068,0.099307,-1.180363,1,3,2,4,5
0.556904,-0.267582,1.113893,-1.638186,0.164046,0.259806,-1.096458,1.41471,-0.25378,3,2,5,1,4
0.091911,-1.391306,1.162622,0.029571,-0.686656,-0.404226,1.313615,-0.464931,-1.104016,4,2,1,3,5
1.174581,1.088516,-0.950095,1.590066,0.78651,-0.963959,0.946036,-0.655318,1.058012,3,5,2,4,1
-0.924826,0.408733,-1.687979,-1.406361,1.38131,1.420993,-1.04791,0.943934,-0.118436,2,1,5,3,4
1.455658,0.537059,-0.650764,0.84615,-0.392714,-0.167816,-0.531218,0.798548,-1.274063,3,2,4,1,5
-0.980348,-1.051414,1.079087,0.382499,-1.2365,-0.703214,1.715872,-1.126094,1.099656,5,3,1,4,2
0.848392,-0.732332,1.284442,-1.555144,1.595715,-0.404226,-1.117264,0.708546,1.071893,1,4,5,3,2
