A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,L1,L2,L3,L4,L5,L6,L7
1.27591,0.94953,2.41015,-0.19451,-0.39298,-0.11509,-0.36387,-0.13092,0.59141,0.56007,0.71298,0.46959,-0.76528,1.29620,-1.42874,0.70092,-0.03715,-0.43852,0.00000,0.00000,0.00000,0.06600,0.00000,0.93400,0.00000
-0.16330,0.11451,-0.35697,-0.19451,-0.59882,-0.12171,-0.57932,-0.13396,-0.94725,-0.93677,-0.95646,-0.93592,0.86538,-0.83839,0.55271,-0.99208,0.01162,-0.49203,0.00000,0.00000,0.98400,0.00000,0.01600,0.00000,0.00000
1.05660,-1.43375,-0.35697,-0.19451,-0.35181,-0.11009,-0.36387,-0.12273,2.25232,2.25670,2.19608,2.29065,-1.79164,1.47219,-0.69772,2.20495,-0.04572,-0.60635,0.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.27355,0.86255,-0.35697,-0.19451,-0.06362,-0.08758,1.82136,-0.02541,0.17134,0.19221,0.19990,0.11516,0.05005,0.33109,-0.61115,0.18059,-0.04088,-0.41154,0.00000,0.00000,0.00000,0.01000,0.00000,0.99000,0.00000
-0.87605,1.28006,-0.35697,-0.19451,-0.16655,-0.09352,0.05163,-0.10743,0.32850,0.32540,0.39901,0.24349,-0.29527,0.73984,-0.95742,0.38251,-0.03830,-0.42669,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000
0.33014,1.07130,-0.35697,-0.19451,-0.12538,-0.10349,0.17474,-0.10743,0.32171,0.35711,0.35306,0.24654,0.05964,0.47302,-0.86124,0.33592,-0.04024,-0.38171,0.00000,0.00000,0.00000,0.00200,0.00000,0.99800,0.00000
0.98807,1.83674,-0.35697,-0.19451,-0.18713,-0.09221,-0.34848,-0.13054,-0.50583,-0.53402,-0.60419,-0.35538,0.15556,-1.07115,1.65885,-0.55718,-0.03595,2.59782,0.00000,0.00000,0.00000,0.00200,0.00000,0.00000,0.99800
-1.31467,-0.21601,-0.35697,-0.19451,-0.55765,-0.12194,-0.50237,-0.13759,-0.82889,-0.74015,-0.86967,-0.85648,1.47928,-0.95193,0.12949,-0.89112,-0.01959,0.30093,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-1.69846,-0.73790,-0.35697,-0.19451,3.80625,5.83650,1.88292,3.35171,-0.41173,-0.53719,-0.31319,-0.40427,-0.80365,0.31974,0.26415,-0.33973,-0.01736,-0.69597,0.00200,0.00000,0.98600,0.00200,0.00800,0.00200,0.00000
-0.76640,-0.66831,2.41015,-0.19451,0.45099,0.05570,0.42097,0.02035,-0.40882,-0.35325,-0.36935,-0.50510,0.83660,-0.07198,-0.71696,-0.39668,-0.02867,-0.19218,0.97200,0.00000,0.02000,0.00400,0.00200,0.00200,0.00000
0.37126,-0.70311,-0.35697,-0.19451,0.94501,-0.09770,-0.41004,-0.12860,-0.27591,-0.27080,-0.25193,-0.30649,0.27067,-0.06631,-0.15907,-0.27760,-0.03798,-0.45320,0.01000,0.00000,0.00600,0.80000,0.18000,0.00400,0.00000
1.68712,0.51463,-0.35697,-0.19451,-0.59882,-0.12590,-0.64087,-0.13967,-0.96083,-0.93677,-0.98965,-0.93897,0.99967,-0.98032,0.65851,-1.02574,0.00366,-0.47336,0.00000,0.00000,0.11000,0.00000,0.89000,0.00000,0.00000
0.16566,0.30587,-0.35697,-0.19451,-0.68116,-0.12427,-0.65626,-0.13786,-0.96957,-0.93677,-1.01262,-0.93897,1.08600,-1.08251,0.74508,-1.04903,-0.05204,-0.47336,0.00000,0.00000,0.10000,0.00000,0.90000,0.00000,0.00000
-0.53338,1.28006,2.41015,4.39036,-0.10479,-0.09494,-0.31771,-0.12140,0.68552,0.66790,0.77169,0.59181,-0.71732,1.13724,-1.20751,0.76046,-0.03956,-0.45629,0.00000,0.00000,0.00000,0.02400,0.00000,0.97600,0.00000
1.30333,1.68017,2.41015,-0.19451,0.14222,-0.10212,-0.04070,-0.06958,-0.80173,-0.77503,-0.89264,-0.70982,0.89416,-1.26417,1.24525,-0.85747,-0.02939,2.16604,0.00200,0.00000,0.00000,0.00400,0.00600,0.00000,0.98800
