A1,A2,A3,A4,A5,A6,A7,A8,A9,L1,L2,L3,L4,L5,L6
-0.13433,-0.12481,1.00000,-0.49533,-0.29643,-0.98068,-0.38290,-1.00000,-1.00000,1,2,2,2,2,2
-0.43284,-0.04962,0.60356,-0.33333,0.04286,-0.84541,-0.55390,-1.00000,-1.00000,1,2,2,2,2,2
-0.55838,-0.15789,0.58129,-0.22118,0.13571,-0.87440,-0.56320,-1.00000,-1.00000,1,1,2,2,2,2
-0.42845,-0.25414,0.64365,-0.37695,0.00000,-0.81643,-0.48141,-1.00000,-1.00000,1,2,3,3,3,3
-0.44952,-0.23609,0.61247,-0.40810,0.16786,-0.82287,-0.50929,-1.00000,-1.00000,1,2,2,2,2,2
-0.57770,-0.38045,0.60802,-0.17134,0.12857,-0.79388,-0.50929,-1.00000,0.01961,1,2,3,3,3,3
-0.44864,-0.22707,0.60356,-0.47040,0.17143,-0.81320,-0.49071,-1.00000,-1.00000,1,2,2,2,2,2
-0.43723,-0.27218,0.60802,-0.52648,0.22500,-0.81643,-0.47770,-1.00000,-1.00000,1,2,2,2,2,2
-0.29500,-0.00451,0.59465,-0.32710,-0.18929,-0.81965,-0.46654,-1.00000,-1.00000,1,2,2,2,2,2
-0.43810,-0.31729,0.60356,-0.33333,0.13571,-0.81643,-0.44796,-1.00000,-0.56863,1,2,2,2,2,2
-0.59965,-0.40150,0.54120,-0.20872,0.21071,-0.78422,-0.50558,-1.00000,-0.05882,1,2,3,3,3,3
-0.43108,-0.37744,0.63029,-0.38941,0.14286,-0.80676,-0.41822,-1.00000,-1.00000,1,2,2,2,2,2
-0.58385,-0.35338,0.52784,-0.30841,0.23929,-0.77778,-0.51301,-1.00000,-0.05882,1,2,3,3,3,3
-0.44425,-0.35940,0.58575,-0.38941,0.21429,-0.82609,-0.45167,-1.00000,-0.33333,1,2,2,2,2,2
-0.43108,-0.43459,0.59911,-0.36449,0.24286,-0.81320,-0.42937,-1.00000,-1.00000,1,2,2,2,2,2
-0.43284,-0.37444,0.57684,-0.41433,0.22500,-0.81320,-0.44981,-1.00000,-1.00000,1,2,2,2,2,2
-0.41264,-0.41353,0.63474,-0.45794,0.17857,-0.80354,-0.39219,-1.00000,-1.00000,1,2,2,2,2,2
-0.05092,0.09173,0.71492,-0.62617,-0.44643,-0.95169,-0.30855,-1.00000,-1.00000,1,3,2,3,3,3
-0.30114,-0.04662,0.66147,-0.44548,-0.17500,-0.98068,-0.35688,-1.00000,-1.00000,1,2,2,2,2,2
-0.45566,-0.31128,0.57684,-0.12773,0.04286,-0.82609,-0.44052,-1.00000,-0.72549,1,2,2,2,2,2
-0.44249,-0.37143,0.58129,-0.25234,0.05000,-0.82609,-0.42565,-1.00000,-0.25490,1,2,3,3,3,3
-0.25285,0.21504,0.67038,-1.00000,-0.21071,-0.99034,-0.33643,-1.00000,-1.00000,1,2,2,2,2,2
-0.45478,-0.38346,0.61247,-0.37695,0.06429,-0.80998,-0.39219,-1.00000,-1.00000,1,2,2,2,2,2
-0.44162,-0.37444,0.59020,-0.33956,0.14643,-0.80032,-0.41264,-1.00000,-1.00000,1,2,2,2,2,2
-0.46883,-0.20301,0.55902,-0.46417,0.08571,-0.83897,-0.44238,-1.00000,-1.00000,1,2,2,3,3,3
-0.43020,-0.32331,0.57684,-0.42679,0.13929,-0.79066,-0.42379,-1.00000,-1.00000,1,2,2,2,2,2
-0.40474,-0.25414,0.55011,-0.30218,0.01071,-0.80998,-0.44238,-1.00000,-1.00000,1,2,2,2,2,2
-0.46795,-0.35639,0.55011,-0.35202,0.15357,-0.81965,-0.44238,-1.00000,-1.00000,1,2,2,2,2,2
-0.42669,-0.44962,0.56793,-0.28972,0.19286,-0.81643,-0.42193,-1.00000,-1.00000,1,2,3,3,3,3
-0.41264,-0.29323,0.55457,-0.38318,0.08929,-0.80676,-0.43123,-1.00000,-1.00000,1,2,2,2,2,2
-0.42669,-0.42256,0.58575,-0.37072,0.16786,-0.80354,-0.39405,-1.00000,-0.45098,1,2,2,2,2,2
-0.44513,-0.36541,0.55902,-0.47040,0.23571,-0.81965,-0.42007,-1.00000,-1.00000,1,2,2,2,2,2
-0.42054,-0.36241,0.55011,-0.41433,0.12857,-0.80354,-0.41822,-0.94286,-0.13725,1,2,2,2,2,2
