A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10
0.23894,0.91745,-0.51648,-0.14476,0.21201,-1.05839,-0.82481,-1.48796,-1.66596,-0.39249,-0.12112,0.67011,2.01373,1.66075,-0.17451,1.93288,2,2,2,2,2,2,2,2,1,2
-1.13301,0.23922,-0.51648,0.84670,-0.22787,0.34919,-0.72670,0.01675,-1.22654,-0.68605,-0.63067,-1.28416,0.62581,-0.99341,1.26226,-0.63853,2,2,1,2,2,2,2,2,2,2
-1.13301,-1.73383,-0.36464,-0.82313,0.65189,0.90481,1.59531,1.85584,0.56046,1.51566,-0.28203,0.59637,-1.20983,-0.29971,-0.74921,-0.80623,2,1,2,2,2,2,2,2,2,2
-1.13301,0.91745,-1.27570,0.42924,-1.31289,0.08989,-1.05375,0.01675,0.85341,0.01116,1.05888,0.37513,0.84966,-0.36003,0.47204,-0.80623,2,2,2,2,1,2,2,2,2,2
-1.13301,-1.11725,0.31866,-0.04040,1.47299,1.27523,0.97393,1.18708,0.09174,0.96523,-0.55021,0.19076,-0.98598,-0.45052,-0.00688,-0.80623,2,1,2,2,2,2,2,2,2,2
1.78604,0.91745,1.79913,0.79451,-0.02259,0.31214,-1.11915,0.08363,-1.66596,-0.64936,-0.63067,-1.28416,0.80489,-0.57116,-0.65343,-0.24723,2,2,2,2,2,2,1,2,2,2
-1.13301,0.91745,-1.42754,-0.61440,-0.69707,-1.13248,1.10475,-0.31763,1.26354,1.36888,0.33479,2.29253,0.44672,0.42415,0.44809,-0.80623,2,2,2,2,1,2,2,2,2,2
-1.13301,-2.84367,-1.46550,-1.13622,-1.13694,-2.24373,0.38525,-1.48796,1.26354,0.34141,0.76388,2.36628,-0.85166,1.96236,-1.13235,0.78692,1,2,2,2,2,2,2,2,2,2
-0.75353,0.23922,-1.08589,-1.76241,0.65189,-1.02135,0.15632,-1.48796,-1.54878,-0.61266,-1.62294,0.96510,-1.03075,1.78139,1.26226,1.98878,2,2,2,2,2,1,2,2,2,2
0.53085,0.91745,-0.70628,-0.61440,-1.45952,-1.28064,-0.85752,-1.48796,0.53116,-0.75944,1.05888,0.55949,0.89444,1.57027,-0.50975,1.56953,1,2,2,2,2,2,2,2,2,2
1.02709,0.11590,-0.36464,0.84670,-1.45952,0.12694,0.35255,0.65207,1.26354,1.66244,1.05888,0.11702,1.29738,-1.05373,-0.70132,-0.77828,2,2,2,2,2,2,2,2,2,1
0.26813,0.67082,0.81215,-0.97968,1.12109,-1.42881,-0.98834,-1.48796,-1.05077,-0.02554,0.49570,1.18634,2.01373,1.96236,-1.13235,1.56953,2,2,2,2,2,2,2,2,1,2
1.78604,0.91745,1.19175,0.79451,-0.40382,0.46031,-0.56318,0.31769,0.64834,0.48819,0.09342,-0.80481,-1.61278,-1.05373,-1.13235,-0.75033,2,2,2,2,2,1,2,2,2,2
1.52332,-0.68565,0.50846,0.84670,-1.45952,0.79368,-0.92293,0.48488,0.70693,1.22210,1.05888,0.15389,1.07352,-0.93309,-0.62948,-0.80623,2,2,2,2,2,2,2,2,2,1
-1.13301,-0.00742,-0.09891,0.84670,0.91581,0.83073,1.17016,0.18394,0.79482,-0.79614,-0.06748,-1.28416,-0.09054,-0.39019,1.26226,-0.13543,2,2,2,2,2,2,2,1,2,2
-0.11134,-0.56233,0.62234,0.84670,1.47299,0.97889,0.54877,0.71895,0.70693,0.15794,0.57615,-0.95231,-1.03075,-1.05373,-1.13235,-0.33108,2,2,2,1,2,2,2,2,2,2
0.32652,-0.06907,0.96399,0.84670,0.73986,0.34919,-0.00720,0.21738,1.26354,0.30472,0.97843,-0.80481,-0.26963,-1.05373,-1.13235,-0.61058,2,2,2,1,2,2,2,2,2,2
1.75685,-0.31570,0.85011,0.84670,-0.72639,0.38623,0.90852,0.78583,1.26354,1.03862,0.97843,-0.43608,-0.04577,-1.05373,-1.13235,-0.35903,2,2,2,2,2,2,2,2,2,1
-0.43244,-1.17891,0.09089,0.84670,0.27066,-0.02123,-0.56318,-0.55169,-1.66596,-1.19978,-1.19385,-0.87856,0.13332,-1.05373,1.26226,-0.77828,2,2,1,2,2,2,2,2,2,2
-1.13301,-0.74731,-0.82017,0.79451,0.65189,1.27523,0.61418,0.95302,-0.72852,0.52489,-1.48885,-0.62045,-0.40394,-1.05373,1.26226,-0.80623,2,2,1,2,2,2,2,2,2,2
-0.78272,-0.50068,-0.78221,-1.13622,0.82784,-0.94727,-0.03991,-1.48796,-1.63667,-0.61266,-1.62294,1.07572,-1.43369,1.90204,1.26226,1.98878,2,2,2,2,2,1,2,2,2,2
-1.13301,-2.41207,0.31866,-1.03186,0.82784,0.79368,1.59531,1.85584,0.99988,1.51566,0.65661,0.52262,0.89444,-0.32987,0.99885,-0.80623,2,1,2,2,2,2,2,2,2,2
-0.84110,0.05424,-0.25075,-0.92750,0.53458,-1.16952,-0.56318,-1.48796,-1.54878,-0.28240,-1.62294,1.26009,-0.94120,1.81156,1.26226,1.98878,2,2,2,2,2,1,2,2,2,2
0.99790,-1.42554,0.47050,0.84670,-1.45952,0.23806,1.00663,-0.18388,1.26354,-1.23648,-1.22067,-0.76794,-0.13531,0.66544,1.02280,1.82108,2,2,2,2,2,2,2,2,1,2
0.44328,0.91745,-0.25075,-0.45786,-1.28357,-0.83614,-1.67513,-1.12014,0.38469,-1.23648,1.05888,-0.25172,-0.49349,0.33367,-0.27029,-0.21928,2,2,2,2,2,2,1,2,2,2
