A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,L1,L2,L3,L4
-0.04348,0.15385,0.19444,-0.35371,-0.45055,-0.69811,-0.34641,-0.08571,-0.50000,0.17143,-0.51579,-0.53237,-0.05660,-0.71053,-0.45455,-0.21951,-0.26667,0.06667,1,2,2,2
-0.21739,-0.38462,0.22222,-0.67686,-0.78022,-0.73585,-0.51634,0.08571,-0.66667,-0.28571,-0.57895,-0.64988,-0.38365,-0.65789,-0.18182,-0.31707,-0.13333,0.20000,1,2,2,2
0.34783,0.30769,0.83333,-0.08297,-0.58242,-0.69811,0.24183,-0.65714,0.00000,0.14286,-0.02105,0.08153,0.39623,-0.63158,0.27273,-0.56098,-0.20000,0.00000,2,1,2,2
-0.13043,-0.38462,0.16667,-0.51965,-0.64835,-0.73585,-0.58170,0.14286,-0.66667,-0.28571,-0.68421,-0.70024,-0.77358,-0.89474,-0.45455,-0.51220,0.53333,0.73333,1,2,2,2
-0.47826,-0.15385,-0.16667,-0.11790,0.23077,0.88679,-0.51634,0.08571,-0.66667,-0.25714,0.16842,-0.66187,-0.00629,0.78947,-0.18182,-0.46341,-0.73333,-0.86667,2,2,1,2
0.47826,0.84615,0.83333,-0.40611,-0.93407,-0.84906,0.86928,-1.00000,0.83333,0.45714,0.57895,0.85372,0.94969,-0.31579,-0.54545,-0.56098,-0.66667,-0.86667,2,2,1,2
0.04348,-0.23077,-0.08333,-0.39738,-0.60440,-0.84906,-0.46405,-0.08571,-0.66667,-0.28571,-0.51579,-0.57554,-0.20755,-0.81579,0.18182,-0.95122,0.60000,0.53333,2,2,1,2
-0.26087,-0.23077,-0.27778,-0.53712,-0.60440,-0.73585,-0.67320,0.25714,-0.83333,-0.20000,-0.66316,-0.76739,-0.30818,-0.78947,-0.72727,-0.85366,0.13333,0.40000,1,2,2,2
-0.43478,-0.92308,-0.38889,-0.68559,-0.69231,-0.81132,-0.86928,0.60000,-1.00000,-0.74286,-0.88421,-0.90647,-0.96226,-0.86842,-0.81818,-0.31707,0.60000,0.80000,1,2,2,2
-0.13043,-0.15385,0.61111,-0.18777,-0.67033,-0.66038,-0.07190,-0.42857,-0.16667,-0.20000,-0.24211,-0.23022,-0.45912,-0.86842,-0.63636,-0.31707,0.26667,0.53333,3,1,3,2
